Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Tampa Bay Lightning,82,3.54,497,787,66,23.9,9,2680,10.8,753,76.1,24,9,37.5
Winnipeg Jets,82,3.33,466,739,64,23.4,9,2643,10.3,697,81.8,23,9,39.1
Pittsburgh Penguins,82,3.29,463,733,68,26.2,6,2823,9.6,775,80.0,12,5,41.7
Toronto Maple Leafs,82,3.29,445,715,56,24.9,4,2640,10.2,570,81.4,36,13,36.1
Vegas Golden Knights,82,3.27,443,711,53,21.4,8,2686,10.0,560,81.4,29,6,20.7
Boston Bruins,82,3.26,458,725,61,23.6,9,2703,9.9,780,83.7,28,7,25.0
New York Islanders,82,3.18,451,712,58,23.2,5,2572,10.1,643,73.2,18,5,27.8
Nashville Predators,82,3.18,430,691,58,21.2,10,2641,9.9,928,81.9,44,12,27.3
Washington Capitals,82,3.12,438,694,55,22.5,4,2379,10.8,800,80.3,11,4,36.4
Colorado Avalanche,82,3.11,424,679,65,22.0,7,2432,10.5,731,83.3,8,3,37.5
Minnesota Wild,82,3.05,429,679,49,20.4,7,2476,10.1,684,81.3,29,8,27.6
Philadelphia Flyers,82,3.04,444,693,54,20.7,3,2631,9.5,679,75.8,37,7,18.9
San Jose Sharks,82,3.01,436,683,53,20.7,8,2702,9.1,630,84.8,39,16,41.0
Florida Panthers,82,2.99,423,668,47,18.9,10,2822,8.7,899,80.2,24,8,33.3
New Jersey Devils,82,2.96,387,630,54,21.4,12,2599,9.4,694,81.8,39,10,25.6
Los Angeles Kings,82,2.89,406,643,49,20.4,5,2544,9.3,735,85.0,12,5,41.7
Columbus Blue Jackets,82,2.88,390,626,39,17.2,4,2761,8.5,565,76.2,41,13,31.7
Dallas Stars,82,2.82,378,609,47,19.3,7,2560,9.0,830,80.8,19,8,42.1
Anaheim Ducks,82,2.82,393,624,38,17.8,10,2475,9.3,818,83.2,50,13,26.0
Edmonton Oilers,82,2.79,384,613,31,14.8,11,2740,8.4,752,76.7,19,11,57.9
Chicago Blackhawks,82,2.78,385,613,43,16.0,5,2793,8.2,613,79.1,13,4,30.8
New York Rangers,82,2.78,382,610,51,21.2,5,2538,9.0,655,81.4,26,10,38.5
Carolina Hurricanes,82,2.74,389,614,44,18.4,3,2780,8.1,512,77.5,19,6,31.6
St. Louis Blues,82,2.72,388,611,38,15.4,5,2677,8.3,631,79.7,7,6,85.7
Ottawa Senators,82,2.67,374,593,41,16.6,4,2515,8.7,667,76.1,35,8,22.9
Vancouver Canucks,82,2.66,367,585,53,21.5,7,2464,8.8,712,78.3,23,6,26.1
Calgary Flames,82,2.63,375,591,43,16.0,7,2759,7.8,912,81.8,22,7,31.8
Detroit Red Wings,82,2.59,363,575,41,17.5,9,2490,8.5,726,77.5,28,9,32.1
Montreal Canadiens,82,2.52,330,537,52,21.2,7,2687,7.7,708,74.1,28,5,17.9
Buffalo Sabres,82,2.41,329,527,49,19.1,9,2557,7.7,673,77.9,11,3,27.3
