Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Detroit Red Wings,84,4.24,592,948,85,20.8,22,2990,11.9,1775,80.9,0,0,0.0
New Jersey Devils,84,3.64,510,816,61,18.3,10,2657,11.5,1734,81.1,0,0,0.0
Calgary Flames,84,3.6,495,797,87,21.2,16,2640,11.4,1847,80.6,0,0,0.0
New York Rangers,84,3.56,495,794,96,23.0,20,2871,10.4,1688,84.6,0,0,0.0
Pittsburgh Penguins,84,3.56,518,817,76,18.8,6,2731,10.9,1624,82.0,0,0,0.0
Los Angeles Kings,84,3.5,491,785,92,20.7,19,2769,10.6,2017,80.5,0,0,0.0
Philadelphia Flyers,84,3.5,521,815,80,20.8,9,2409,12.2,1697,80.7,0,0,0.0
Boston Bruins,84,3.44,486,775,84,21.7,17,2980,9.7,1442,84.7,0,0,0.0
Dallas Stars,84,3.4,487,773,81,18.4,8,2558,11.2,1919,84.1,0,0,0.0
Montreal Canadiens,84,3.37,472,755,78,20.1,8,2621,10.8,1524,82.6,0,0,0.0
Buffalo Sabres,84,3.36,447,729,96,22.6,21,2369,11.9,1760,84.7,0,0,0.0
New York Islanders,84,3.36,465,747,74,20.1,15,2511,11.2,1787,81.1,0,0,0.0
Toronto Maple Leafs,84,3.33,461,741,88,19.2,8,2530,11.1,1877,81.9,0,0,0.0
Vancouver Canucks,84,3.32,455,734,83,18.8,14,2625,10.6,1923,81.7,0,0,0.0
Quebec Nordiques,84,3.3,455,732,67,15.6,10,2405,11.5,1625,79.6,0,0,0.0
Washington Capitals,84,3.3,470,747,70,18.1,8,2606,10.6,2007,81.6,0,0,0.0
St. Louis Blues,84,3.21,447,717,86,20.5,17,2570,10.5,1659,81.2,0,0,0.0
Edmonton Oilers,84,3.11,438,699,74,18.4,2,2549,10.2,1858,80.5,0,0,0.0
Chicago Blackhawks,84,3.02,433,687,67,17.5,15,2545,10.0,2125,83.4,0,0,0.0
San Jose Sharks,84,3.0,424,676,68,16.0,6,2101,12.0,1343,78.6,0,0,0.0
Florida Panthers,84,2.77,379,612,65,15.9,8,2291,10.2,1620,82.6,0,0,0.0
Anaheim Mighty Ducks,84,2.73,359,588,54,14.4,9,2402,9.5,1507,82.7,0,0,0.0
Hartford Whalers,84,2.7,388,615,61,15.0,8,2319,9.8,1809,78.8,0,0,0.0
Tampa Bay Lightning,84,2.67,356,580,57,14.7,7,2503,8.9,1579,82.7,0,0,0.0
Ottawa Senators,84,2.39,343,544,63,14.5,9,2149,9.4,1710,73.3,0,0,0.0
