Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Washington Capitals,82,3.82,523,836,79,25.2,4,2693,11.6,940,78.8,48,13,27.1
Vancouver Canucks,82,3.27,466,734,68,20.9,9,2534,10.6,1269,81.6,24,12,50.0
Chicago Blackhawks,82,3.2,464,726,52,17.7,13,2798,9.4,924,85.0,69,22,31.9
San Jose Sharks,82,3.13,443,700,65,21.0,8,2602,9.9,1155,85.0,52,13,25.0
Pittsburgh Penguins,82,3.04,433,682,56,17.2,7,2688,9.3,1195,84.1,29,15,51.7
Colorado Avalanche,82,2.89,420,657,56,18.1,8,2287,10.4,1027,80.2,55,18,32.7
Anaheim Ducks,82,2.84,387,620,63,21.0,8,2472,9.4,1321,79.3,42,13,31.0
Philadelphia Flyers,82,2.83,394,626,68,21.5,6,2589,9.0,1362,83.0,20,7,35.0
Buffalo Sabres,82,2.82,414,645,55,17.6,4,2588,8.9,918,86.6,47,15,31.9
Los Angeles Kings,82,2.82,408,639,64,20.8,4,2389,9.7,979,80.3,74,27,36.5
Dallas Stars,82,2.8,396,626,61,18.6,9,2524,9.1,963,77.4,75,14,18.7
Atlanta Thrashers,82,2.8,411,641,51,16.1,9,2409,9.5,1053,82.2,33,10,30.3
Carolina Hurricanes,82,2.76,388,614,56,16.9,7,2402,9.4,966,80.6,31,9,29.0
Detroit Red Wings,82,2.72,386,609,59,19.2,8,2737,8.1,723,83.9,63,19,30.2
Ottawa Senators,82,2.68,379,599,49,16.9,6,2436,9.0,1141,84.3,32,13,40.6
New York Rangers,82,2.67,370,589,55,18.3,5,2425,9.0,1159,84.3,26,7,26.9
St. Louis Blues,82,2.66,376,594,53,17.2,7,2445,8.9,1318,86.8,39,17,43.6
Nashville Predators,82,2.65,366,583,47,16.4,5,2508,8.7,710,77.1,52,18,34.6
New Jersey Devils,82,2.63,378,594,51,18.7,7,2459,8.8,859,82.8,32,12,37.5
New York Islanders,82,2.61,367,581,49,16.0,7,2493,8.6,950,76.3,57,24,42.1
Columbus Blue Jackets,82,2.61,383,597,56,18.2,6,2338,9.2,1086,81.7,50,13,26.0
Minnesota Wild,82,2.61,368,582,59,19.1,4,2266,9.4,924,82.7,51,14,27.5
Tampa Bay Lightning,82,2.6,373,586,63,19.3,2,2367,9.0,1377,80.1,36,6,16.7
Montreal Canadiens,82,2.56,356,566,57,21.8,4,2346,9.0,936,83.0,37,11,29.7
Toronto Maple Leafs,82,2.56,368,578,44,14.0,4,2671,7.9,1091,74.7,20,9,45.0
Edmonton Oilers,82,2.51,354,560,52,17.3,6,2321,8.9,1133,78.0,61,20,32.8
Florida Panthers,82,2.46,351,553,44,14.2,7,2331,8.7,977,79.4,59,15,25.4
Calgary Flames,82,2.45,342,543,43,16.0,8,2350,8.6,1143,82.3,28,10,35.7
Boston Bruins,82,2.39,348,544,44,16.6,6,2599,7.5,953,86.4,66,19,28.8
