Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Tampa Bay Lightning,82,3.16,445,704,53,18.8,7,2428,10.7,812,83.7,21,5,23.8
Dallas Stars,82,3.13,440,697,55,19.0,9,2558,10.0,789,80.7,32,10,31.3
New York Rangers,82,3.02,411,659,39,16.8,9,2582,9.6,712,84.3,26,9,34.6
New York Islanders,82,2.99,411,656,50,18.7,10,2771,8.8,700,78.0,46,15,32.6
St. Louis Blues,82,2.91,421,660,56,22.3,2,2535,9.4,904,83.7,39,16,41.0
Calgary Flames,82,2.89,427,664,48,18.8,6,2252,10.5,626,80.6,29,9,31.0
Washington Capitals,82,2.89,415,652,60,25.3,4,2419,9.8,857,81.2,47,16,34.0
Vancouver Canucks,82,2.88,406,642,46,19.3,6,2453,9.6,892,85.7,20,10,50.0
Ottawa Senators,82,2.83,387,619,47,16.8,6,2539,9.1,841,82.9,53,16,30.2
Detroit Red Wings,82,2.82,399,630,70,23.8,3,2429,9.5,724,80.9,52,16,30.8
Anaheim Ducks,82,2.78,385,613,37,15.7,9,2458,9.3,887,81.0,40,19,47.5
Columbus Blue Jackets,82,2.77,397,624,53,21.7,5,2366,9.6,978,80.2,46,16,34.8
Minnesota Wild,82,2.77,381,608,39,15.9,4,2522,9.0,728,86.3,25,10,40.0
Nashville Predators,82,2.76,385,611,42,16.2,4,2614,8.6,693,80.8,42,12,28.6
San Jose Sharks,82,2.73,401,625,55,21.7,4,2591,8.6,760,78.5,46,11,23.9
Winnipeg Jets,82,2.72,371,594,48,17.8,10,2439,9.1,1068,81.8,46,13,28.3
Chicago Blackhawks,82,2.68,381,601,46,17.6,3,2777,7.9,596,83.4,36,17,47.2
Los Angeles Kings,82,2.66,379,597,47,19.0,7,2536,8.6,744,80.9,35,5,14.3
Pittsburgh Penguins,82,2.65,383,600,49,19.3,6,2594,8.4,1123,84.8,36,12,33.3
Montreal Canadiens,82,2.61,365,579,40,16.5,7,2334,9.2,833,83.7,44,15,34.1
Philadelphia Flyers,82,2.59,384,596,60,23.4,3,2413,8.8,833,77.1,53,12,22.6
Boston Bruins,82,2.55,358,567,38,17.8,8,2546,8.2,778,82.0,60,9,15.0
Colorado Avalanche,82,2.55,362,571,37,15.0,4,2286,9.1,771,84.6,52,23,44.2
Toronto Maple Leafs,82,2.51,338,544,45,15.9,7,2397,8.6,823,80.5,32,10,31.3
Florida Panthers,82,2.41,343,541,40,16.3,1,2516,7.9,733,80.0,81,22,27.2
Edmonton Oilers,82,2.35,324,517,41,17.7,4,2331,8.3,677,76.7,63,10,15.9
Carolina Hurricanes,82,2.23,327,510,45,18.8,2,2524,7.3,549,84.7,39,8,20.5
New Jersey Devils,82,2.15,309,485,41,19.3,7,2008,8.8,760,80.6,36,11,30.6
Buffalo Sabres,82,1.87,268,421,30,13.4,7,1984,7.7,853,75.1,45,14,31.1
