Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Ottawa Senators,82,3.8,528,840,102,20.8,25,2811,11.1,1462,84.7,23,4,17.4
Detroit Red Wings,82,3.67,519,820,102,22.1,7,2797,10.8,1117,85.5,25,12,48.0
Carolina Hurricanes,82,3.49,481,767,95,17.9,17,2553,11.2,1125,81.8,34,17,50.0
Colorado Avalanche,82,3.41,494,774,89,18.8,11,2464,11.4,1178,84.6,30,6,20.0
Buffalo Sabres,82,3.37,487,763,101,21.2,10,2510,11.0,1164,86.6,32,12,37.5
Atlanta Thrashers,82,3.37,471,747,100,18.9,13,2522,10.9,1344,79.2,36,11,30.6
San Jose Sharks,82,3.23,456,721,91,18.2,10,2483,10.7,1058,80.7,29,7,24.1
Philadelphia Flyers,82,3.21,438,701,80,18.0,19,2552,10.3,1201,79.1,33,11,33.3
Toronto Maple Leafs,82,3.1,446,700,107,21.4,14,2323,10.9,1398,80.0,24,4,16.7
Dallas Stars,82,3.09,455,708,88,17.7,10,2336,10.8,1496,83.7,42,24,57.1
Nashville Predators,82,3.09,442,695,94,18.4,12,2380,10.6,1533,84.6,25,12,48.0
Vancouver Canucks,82,3.07,442,694,96,18.3,6,2358,10.7,1475,81.8,23,7,30.4
Anaheim Mighty Ducks,82,3.06,432,683,87,18.1,9,2585,9.7,1459,83.5,31,8,25.8
New York Rangers,82,3.05,434,684,83,18.9,4,2448,10.2,1194,83.7,49,18,36.7
Edmonton Oilers,82,3.04,438,687,88,18.1,15,2442,10.2,1204,84.1,53,19,35.8
Tampa Bay Lightning,82,3.0,437,683,81,16.7,11,2594,9.5,959,81.5,27,12,44.4
Los Angeles Kings,82,2.96,431,674,77,14.2,15,2394,10.2,1474,78.7,20,10,50.0
Pittsburgh Penguins,82,2.96,433,676,94,19.0,13,2297,10.6,1559,78.8,28,6,21.4
Montreal Canadiens,82,2.94,413,654,89,19.2,10,2470,9.8,1336,81.1,14,4,28.6
Florida Panthers,82,2.88,404,640,63,15.3,5,2724,8.7,1279,82.3,31,8,25.8
New Jersey Devils,82,2.84,417,650,78,17.8,3,2395,9.7,948,81.9,45,18,40.0
Washington Capitals,82,2.8,367,597,72,14.7,15,2445,9.4,1499,78.9,54,18,33.3
Boston Bruins,82,2.78,382,610,62,14.8,9,2511,9.1,1174,83.7,36,6,16.7
Minnesota Wild,82,2.76,386,612,77,17.0,11,2194,10.3,1209,87.4,31,9,29.0
New York Islanders,82,2.7,392,613,76,16.9,5,2481,8.9,1266,79.2,41,19,46.3
Calgary Flames,82,2.63,364,580,87,18.2,8,2299,9.4,1482,84.3,29,6,20.7
Columbus Blue Jackets,82,2.62,359,574,64,14.2,10,2250,9.6,1414,81.8,43,15,34.9
Chicago Blackhawks,82,2.55,357,566,51,12.2,6,2480,8.4,1544,83.9,31,10,32.3
St. Louis Blues,82,2.35,342,535,75,14.6,6,2335,8.3,1373,82.2,38,10,26.3
