Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Vancouver Canucks,82,3.1,439,693,69,18.5,3,2326,10.9,1342,85.0,0,0,0.0
Detroit Red Wings,82,3.06,433,684,73,20.3,9,2538,9.9,1053,86.0,0,0,0.0
Toronto Maple Leafs,82,3.04,426,675,54,15.5,9,2339,10.6,1212,84.5,0,0,0.0
San Jose Sharks,82,3.02,411,659,59,16.0,15,2228,11.1,1249,85.8,0,0,0.0
Ottawa Senators,82,2.96,383,626,55,16.6,11,2469,9.8,1347,84.4,0,0,0.0
New York Islanders,82,2.91,402,641,59,16.3,17,2319,10.3,1255,85.8,0,0,0.0
Boston Bruins,82,2.88,387,623,39,13.8,14,2596,9.1,1454,87.1,0,0,0.0
Philadelphia Flyers,82,2.85,386,620,39,13.0,8,2442,9.6,1242,86.3,0,0,0.0
Washington Capitals,82,2.78,393,621,58,19.4,2,2293,9.9,1043,82.2,0,0,0.0
New York Rangers,82,2.77,385,612,48,14.7,8,2392,9.5,1753,79.9,0,0,0.0
St. Louis Blues,82,2.77,391,618,62,17.4,5,2380,9.5,1343,85.2,0,0,0.0
Carolina Hurricanes,82,2.65,369,586,63,16.1,4,2347,9.2,1022,83.7,0,0,0.0
Chicago Blackhawks,82,2.63,385,601,54,17.9,4,2271,9.5,1234,81.5,0,0,0.0
Dallas Stars,82,2.62,367,582,60,17.1,7,2335,9.2,959,81.5,0,0,0.0
Los Angeles Kings,82,2.61,375,589,73,20.7,5,2110,10.1,1348,86.6,0,0,0.0
Buffalo Sabres,82,2.6,348,561,50,13.3,7,2295,9.3,1217,86.5,0,0,0.0
Colorado Avalanche,82,2.59,366,578,62,18.0,7,2252,9.4,1007,87.0,0,0,0.0
Montreal Canadiens,82,2.52,351,558,45,15.0,7,2092,9.9,974,86.3,0,0,0.0
Edmonton Oilers,82,2.5,343,548,51,15.3,12,2256,9.1,1267,85.6,0,0,0.0
New Jersey Devils,82,2.5,353,558,44,16.9,2,2445,8.4,1010,83.8,0,0,0.0
Calgary Flames,82,2.45,331,532,55,15.1,10,2207,9.1,1581,81.5,0,0,0.0
Pittsburgh Penguins,82,2.41,341,539,47,14.0,5,2215,8.9,1248,83.8,0,0,0.0
Nashville Predators,82,2.39,326,522,48,14.2,6,2019,9.7,1071,85.9,0,0,0.0
Minnesota Wild,82,2.38,329,524,55,14.7,11,1954,10.0,1209,82.9,0,0,0.0
Atlanta Thrashers,82,2.28,292,479,37,12.1,3,1984,9.4,1290,81.8,0,0,0.0
Florida Panthers,82,2.2,300,480,50,14.7,8,2205,8.2,1994,80.7,0,0,0.0
Tampa Bay Lightning,82,2.17,303,481,46,14.7,6,2179,8.2,1072,85.3,0,0,0.0
Anaheim Mighty Ducks,82,2.13,295,470,43,11.5,4,2142,8.2,1254,86.1,0,0,0.0
Columbus Blue Jackets,82,2.0,276,440,50,14.0,3,2046,8.0,1198,83.0,0,0,0.0
