Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Tampa Bay Lightning,82,3.89,547,866,74,28.2,12,2620,12.2,779,85.0,25,12,48.0
Calgary Flames,82,3.52,505,794,53,19.3,18,2656,10.9,695,79.7,17,3,17.6
San Jose Sharks,82,3.52,504,793,57,23.7,9,2708,10.7,749,80.8,9,0,0.0
Toronto Maple Leafs,82,3.49,480,766,46,21.8,5,2736,10.5,503,79.9,9,1,11.1
Washington Capitals,82,3.34,478,752,49,20.8,5,2492,11.0,730,78.9,22,11,50.0
Pittsburgh Penguins,82,3.3,459,730,56,24.6,12,2731,9.9,675,79.7,15,3,20.0
Winnipeg Jets,82,3.29,458,728,62,24.8,10,2557,10.6,759,79.2,12,5,41.7
Chicago Blackhawks,82,3.26,463,730,48,20.2,6,2669,10.0,600,72.7,10,6,60.0
Florida Panthers,82,3.22,457,721,72,26.8,3,2705,9.8,688,81.3,27,9,33.3
Colorado Avalanche,82,3.15,429,687,63,22.0,9,2676,9.6,772,78.7,14,4,28.6
Boston Bruins,82,3.13,442,699,65,25.9,7,2680,9.6,797,79.9,26,5,19.2
Columbus Blue Jackets,82,3.12,415,671,34,15.4,8,2592,9.9,512,85.0,9,5,55.6
Montreal Canadiens,82,3.0,424,670,31,13.2,5,2796,8.8,682,80.9,11,5,45.5
Vegas Golden Knights,82,3.0,395,641,39,16.7,11,2814,8.7,583,80.8,18,4,22.2
St. Louis Blues,82,2.98,416,660,50,21.1,5,2604,9.4,623,81.5,20,7,35.0
Carolina Hurricanes,82,2.96,399,642,44,17.8,8,2822,8.6,618,81.6,15,3,20.0
Ottawa Senators,82,2.95,421,663,46,20.4,4,2429,10.0,693,79.2,2,0,0.0
Philadelphia Flyers,82,2.94,419,660,40,17.1,4,2583,9.3,731,78.5,18,6,33.3
Nashville Predators,82,2.88,385,621,33,12.9,8,2678,8.8,686,82.1,25,8,32.0
Edmonton Oilers,82,2.79,386,615,47,21.2,10,2392,9.6,754,74.8,22,8,36.4
Detroit Red Wings,82,2.73,379,603,39,18.1,7,2394,9.4,649,77.1,27,5,18.5
New York Islanders,82,2.72,372,595,33,14.5,6,2360,9.4,644,79.9,35,7,20.0
Buffalo Sabres,82,2.7,378,599,46,19.5,3,2697,8.2,570,80.9,31,12,38.7
New York Rangers,82,2.7,372,593,44,19.4,7,2393,9.2,854,78.2,40,16,40.0
New Jersey Devils,82,2.67,355,574,45,17.7,10,2488,8.8,745,84.3,29,7,24.1
Vancouver Canucks,82,2.67,356,575,43,17.1,7,2448,8.9,721,81.1,52,10,19.2
Minnesota Wild,82,2.56,361,571,49,20.3,5,2567,8.2,656,81.7,17,2,11.8
Dallas Stars,82,2.55,357,566,45,21.0,4,2519,8.3,631,82.8,17,2,11.8
Los Angeles Kings,82,2.43,326,525,35,15.9,4,2358,8.4,663,76.6,24,9,37.5
Anaheim Ducks,82,2.39,326,522,36,17.0,5,2271,8.6,736,79.7,18,5,27.8
