Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Toronto Maple Leafs,82,3.27,454,722,53,14.4,7,2318,11.6,1095,80.3,0,0,0.0
New Jersey Devils,82,3.02,430,678,60,19.7,7,2565,9.7,1355,85.5,0,0,0.0
Detroit Red Wings,82,2.99,434,679,67,16.1,14,2622,9.3,1202,87.3,0,0,0.0
Pittsburgh Penguins,82,2.95,417,659,65,17.9,10,2089,11.6,977,81.5,0,0,0.0
Ottawa Senators,82,2.91,392,631,59,14.9,6,2503,9.5,892,86.1,0,0,0.0
Colorado Avalanche,82,2.91,420,659,71,18.9,7,2299,10.4,1619,83.7,0,0,0.0
St. Louis Blues,82,2.89,409,646,61,20.3,7,2469,9.6,1308,87.9,0,0,0.0
Dallas Stars,82,2.88,396,632,74,18.8,6,2266,10.4,1108,86.5,0,0,0.0
Philadelphia Flyers,82,2.82,399,630,65,16.8,4,2451,9.4,1075,84.1,0,0,0.0
Edmonton Oilers,82,2.8,385,615,63,14.4,8,2396,9.6,1373,82.1,0,0,0.0
New York Rangers,82,2.65,374,591,71,20.4,7,2085,10.4,1087,85.7,0,0,0.0
Anaheim Mighty Ducks,82,2.62,350,565,83,22.0,6,2331,9.2,1323,84.5,0,0,0.0
Boston Bruins,82,2.61,366,580,65,17.7,3,2262,9.5,1182,89.2,0,0,0.0
Calgary Flames,82,2.57,348,559,51,14.3,12,2344,9.0,1389,79.8,0,0,0.0
Carolina Hurricanes,82,2.56,348,558,42,11.0,5,2142,9.8,1158,85.3,0,0,0.0
Florida Panthers,82,2.56,352,562,51,13.4,10,2307,9.1,1522,81.9,0,0,0.0
Buffalo Sabres,82,2.52,348,555,49,13.5,6,2150,9.6,1561,86.2,0,0,0.0
Chicago Blackhawks,82,2.46,333,535,50,14.9,8,2145,9.4,1807,80.2,0,0,0.0
Washington Capitals,82,2.44,324,524,52,17.3,8,2377,8.4,1381,84.4,0,0,0.0
San Jose Sharks,82,2.39,330,526,53,13.3,8,2143,9.1,1423,85.0,0,0,0.0
New York Islanders,82,2.37,314,508,54,15.8,8,2157,9.0,1111,83.5,0,0,0.0
Vancouver Canucks,82,2.34,305,497,57,15.9,17,1945,9.9,1764,82.9,0,0,0.0
Nashville Predators,82,2.32,332,522,40,12.3,7,2219,8.6,1420,79.0,0,0,0.0
Los Angeles Kings,82,2.3,302,491,43,13.2,12,2317,8.2,1383,85.8,0,0,0.0
Montreal Canadiens,82,2.24,312,496,50,14.5,8,2269,8.1,1299,87.2,0,0,0.0
Tampa Bay Lightning,82,2.18,291,470,43,13.9,11,2130,8.4,1316,82.4,0,0,0.0
