Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Pittsburgh Penguins,82,3.48,496,781,74,21.8,11,2414,11.8,1498,81.1,0,0,0.0
Colorado Avalanche,82,3.38,465,742,83,20.6,14,2620,10.6,1361,87.6,0,0,0.0
Philadelphia Flyers,82,3.34,455,729,53,14.6,11,2644,10.4,1699,85.7,0,0,0.0
New York Rangers,82,3.15,432,690,63,22.0,15,2528,10.2,1481,79.9,0,0,0.0
Vancouver Canucks,82,3.13,436,693,51,16.8,12,2301,11.2,1607,80.8,0,0,0.0
Detroit Red Wings,82,3.09,435,688,66,17.9,10,2726,9.3,1582,86.7,0,0,0.0
Edmonton Oilers,82,3.07,406,658,73,18.0,9,2521,10.0,1368,82.5,0,0,0.0
Dallas Stars,82,3.07,432,684,46,14.7,11,2439,10.3,1325,83.4,0,0,0.0
Montreal Canadiens,82,3.04,431,680,53,15.7,10,2474,10.1,1469,79.5,0,0,0.0
Anaheim Mighty Ducks,82,2.99,417,662,56,16.8,9,2331,10.5,1710,81.5,0,0,0.0
New York Islanders,82,2.93,372,612,48,13.9,14,2188,11.0,1640,83.4,0,0,0.0
Buffalo Sabres,82,2.89,394,631,43,13.2,16,2090,11.3,1840,83.8,0,0,0.0
St. Louis Blues,82,2.88,386,622,50,15.3,9,2415,9.8,1336,83.4,0,0,0.0
Boston Bruins,82,2.85,392,626,46,14.8,15,2427,9.6,1369,81.8,0,0,0.0
New Jersey Devils,82,2.82,394,625,40,13.9,4,2593,8.9,1135,88.1,0,0,0.0
Toronto Maple Leafs,82,2.8,365,595,48,15.5,11,2401,9.6,1331,82.0,0,0,0.0
Hartford Whalers,82,2.76,356,582,58,18.1,12,2435,9.3,1513,84.6,0,0,0.0
Ottawa Senators,82,2.76,368,594,56,16.7,9,2397,9.4,1087,81.9,0,0,0.0
Chicago Blackhawks,82,2.72,370,593,45,14.8,5,2491,9.0,1763,84.2,0,0,0.0
Florida Panthers,82,2.7,381,602,50,14.2,5,2387,9.3,1628,85.5,0,0,0.0
Tampa Bay Lightning,82,2.65,352,569,47,13.8,13,2574,8.4,1686,84.8,0,0,0.0
Calgary Flames,82,2.61,346,560,61,16.9,11,2571,8.3,1444,83.2,0,0,0.0
Los Angeles Kings,82,2.61,340,554,46,13.6,5,2379,9.0,1638,87.2,0,0,0.0
Washington Capitals,82,2.61,342,556,51,15.8,8,2370,9.0,1652,84.7,0,0,0.0
San Jose Sharks,82,2.57,330,541,50,14.3,9,2360,8.9,2085,83.9,0,0,0.0
