Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Pittsburgh Penguins,82,4.41,643,1005,109,25.9,18,2645,13.7,1623,83.3,0,0,0.0
Colorado Avalanche,82,3.98,542,868,86,21.1,21,2644,12.3,1536,83.7,0,0,0.0
Detroit Red Wings,82,3.96,555,880,97,21.3,17,2648,12.3,1551,88.2,0,0,0.0
Boston Bruins,82,3.44,457,739,68,18.3,13,2838,9.9,1039,80.2,0,0,0.0
Philadelphia Flyers,82,3.44,482,764,82,19.9,12,2530,11.1,1785,86.0,0,0,0.0
Vancouver Canucks,82,3.39,465,743,69,16.9,17,2472,11.2,1546,81.8,0,0,0.0
Chicago Blackhawks,82,3.33,475,748,63,17.7,13,2240,12.2,1880,85.5,0,0,0.0
New York Rangers,82,3.32,469,741,85,19.9,6,2671,10.2,1852,82.0,0,0,0.0
Montreal Canadiens,82,3.23,433,698,77,19.1,15,2363,11.2,1847,82.4,0,0,0.0
Los Angeles Kings,82,3.12,438,694,72,18.0,12,2573,9.9,1460,81.1,0,0,0.0
Florida Panthers,82,3.1,434,688,81,17.4,11,2364,10.7,1494,83.0,0,0,0.0
San Jose Sharks,82,3.07,403,655,62,16.1,15,2143,11.8,1480,76.5,0,0,0.0
Buffalo Sabres,82,3.01,417,664,74,15.5,10,2333,10.6,2195,84.5,0,0,0.0
Toronto Maple Leafs,82,3.01,394,641,83,18.6,11,2675,9.2,1742,82.9,0,0,0.0
Calgary Flames,82,2.94,383,624,70,18.1,11,2466,9.8,1524,80.4,0,0,0.0
Edmonton Oilers,82,2.93,405,645,71,15.7,10,2459,9.8,1709,81.1,0,0,0.0
Tampa Bay Lightning,82,2.9,386,624,83,20.4,6,2546,9.3,1628,84.1,0,0,0.0
Hartford Whalers,82,2.89,382,619,67,18.0,8,2494,9.5,1844,80.7,0,0,0.0
Washington Capitals,82,2.85,405,639,63,15.6,12,2470,9.5,1553,82.6,0,0,0.0
Anaheim Mighty Ducks,82,2.85,403,637,60,14.1,10,2354,9.9,1707,80.9,0,0,0.0
New York Islanders,82,2.79,373,602,69,18.7,8,2310,9.9,1669,78.9,0,0,0.0
Dallas Stars,82,2.77,377,604,67,15.0,8,2472,9.2,1652,80.3,0,0,0.0
St. Louis Blues,82,2.67,344,563,74,16.5,11,2548,8.6,1823,83.0,0,0,0.0
New Jersey Devils,82,2.62,347,562,54,14.8,11,2637,8.2,1486,84.7,0,0,0.0
Ottawa Senators,82,2.33,309,500,53,12.3,6,2204,8.7,1553,77.9,0,0,0.0
