Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Edmonton Oilers,82,3.96,545,870,89,32.4,18,2754,11.8,706,77.0,17,3,17.6
Boston Bruins,82,3.66,515,815,62,22.2,8,2702,11.1,861,87.3,15,6,40.0
Buffalo Sabres,82,3.57,487,780,63,23.4,9,2665,11.0,608,73.0,19,7,36.8
New Jersey Devils,82,3.52,480,769,49,21.9,9,2821,10.2,632,82.6,12,2,16.7
Seattle Kraken,82,3.52,479,768,48,19.8,6,2497,11.6,698,76.7,7,0,0.0
Florida Panthers,82,3.51,484,772,63,22.8,6,3019,9.5,998,75.9,11,4,36.4
Dallas Stars,82,3.41,459,739,64,25.0,10,2617,10.7,637,83.5,13,5,38.5
Tampa Bay Lightning,82,3.41,492,772,71,25.4,7,2621,10.7,995,79.7,15,5,33.3
Toronto Maple Leafs,82,3.39,479,757,64,26.0,8,2628,10.6,691,81.9,6,2,33.3
Los Angeles Kings,82,3.34,469,743,68,25.3,7,2658,10.3,703,75.8,24,9,37.5
Colorado Avalanche,82,3.34,469,743,64,24.5,6,2727,10.0,675,79.0,24,6,25.0
New York Rangers,82,3.33,472,745,59,24.1,8,2582,10.6,625,81.2,23,9,39.1
Vancouver Canucks,82,3.29,480,750,62,22.7,15,2438,11.1,734,71.6,19,7,36.8
Vegas Golden Knights,82,3.26,443,710,42,20.3,10,2587,10.3,589,77.6,24,7,29.2
Carolina Hurricanes,82,3.2,425,687,50,19.8,11,2852,9.2,614,84.4,27,11,40.7
Pittsburgh Penguins,82,3.18,450,711,63,21.7,5,2818,9.3,705,79.1,4,3,75.0
St. Louis Blues,82,3.17,442,702,46,19.3,7,2341,11.1,641,72.4,21,5,23.8
Ottawa Senators,82,3.16,419,678,72,23.5,9,2746,9.4,1027,80.1,3,2,66.7
Calgary Flames,82,3.13,442,699,50,19.8,8,2948,8.7,757,82.6,23,7,30.4
Washington Capitals,82,3.09,425,678,52,21.2,4,2548,9.9,713,81.9,14,3,21.4
Winnipeg Jets,82,3.0,445,691,52,19.3,7,2486,9.9,699,82.4,6,2,33.3
New York Islanders,82,2.95,388,630,35,15.8,6,2524,9.6,656,82.2,13,2,15.4
Minnesota Wild,82,2.91,394,633,54,21.4,14,2535,9.4,925,82.0,42,18,42.9
Detroit Red Wings,82,2.89,403,640,57,21.1,5,2312,10.3,662,78.3,23,6,26.1
San Jose Sharks,82,2.84,403,636,41,18.4,4,2415,9.6,667,82.4,19,4,21.1
Montreal Canadiens,82,2.77,384,611,38,16.0,8,2237,10.1,955,72.7,25,10,40.0
Nashville Predators,82,2.71,379,601,44,17.6,6,2419,9.2,791,82.5,24,11,45.8
Philadelphia Flyers,82,2.68,365,585,35,15.6,11,2416,9.1,855,74.7,9,3,33.3
Columbus Blue Jackets,82,2.54,354,562,41,18.3,5,2399,8.7,654,75.1,12,4,33.3
Anaheim Ducks,82,2.51,353,559,36,15.7,1,2326,8.9,929,72.1,13,4,30.8
Chicago Blackhawks,82,2.46,331,533,38,16.4,7,2209,9.1,707,76.2,10,4,40.0
