Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Vancouver Canucks,82,3.15,450,708,72,24.4,6,2624,9.8,943,85.6,30,10,33.3
Detroit Red Wings,82,3.13,456,713,67,22.3,5,2757,9.3,754,82.3,26,6,23.1
Philadelphia Flyers,82,3.12,427,683,49,16.6,13,2605,9.8,1119,82.7,35,10,28.6
Chicago Blackhawks,82,3.07,437,689,64,23.1,6,2637,9.6,742,79.2,33,11,33.3
Boston Bruins,82,2.98,413,657,43,16.2,11,2696,9.1,1115,82.6,23,6,26.1
San Jose Sharks,82,2.96,426,669,68,23.5,6,2832,8.6,931,79.4,34,10,29.4
Calgary Flames,82,2.94,421,662,62,19.4,7,2501,9.6,836,81.2,50,19,38.0
Tampa Bay Lightning,82,2.94,421,662,69,20.5,1,2605,9.3,905,83.8,52,11,21.2
Buffalo Sabres,82,2.93,413,653,54,19.4,2,2690,8.9,958,83.0,26,12,46.2
St. Louis Blues,82,2.88,393,629,52,18.6,7,2475,9.5,1225,81.7,38,16,42.1
Anaheim Ducks,82,2.87,417,652,67,23.5,7,2334,10.1,1178,81.3,24,6,25.0
Carolina Hurricanes,82,2.82,388,619,55,15.9,7,2517,9.2,835,81.3,29,8,27.6
Pittsburgh Penguins,82,2.78,390,618,49,15.8,13,2582,8.8,1388,86.1,49,16,32.7
New York Islanders,82,2.74,376,601,52,17.2,15,2408,9.3,1515,83.2,31,11,35.5
New York Rangers,82,2.73,384,608,49,16.9,11,2453,9.1,1074,83.7,51,16,31.4
Dallas Stars,82,2.71,375,597,55,18.0,10,2269,9.8,1066,80.1,42,15,35.7
Colorado Avalanche,82,2.7,376,597,49,18.5,8,2394,9.2,1077,76.1,25,7,28.0
Washington Capitals,82,2.67,370,589,46,17.5,7,2566,8.5,926,85.6,36,11,30.6
Atlanta Thrashers,82,2.66,358,576,53,18.3,6,2581,8.4,930,77.5,42,12,28.6
Montreal Canadiens,82,2.6,365,578,57,19.7,5,2602,8.2,1097,84.4,28,7,25.0
Toronto Maple Leafs,82,2.6,359,572,52,16.0,5,2360,9.0,985,77.5,36,12,33.3
Nashville Predators,82,2.6,370,583,41,15.2,5,2362,9.0,720,85.0,31,9,29.0
Columbus Blue Jackets,82,2.56,375,585,42,14.0,6,2506,8.4,1113,80.3,46,13,28.3
Los Angeles Kings,82,2.55,370,579,47,16.2,4,2363,8.8,962,85.5,49,20,40.8
Minnesota Wild,82,2.48,357,560,53,18.2,7,2148,9.5,983,82.8,29,11,37.9
Edmonton Oilers,82,2.33,337,528,44,14.5,8,2188,8.7,1270,76.9,46,8,17.4
Florida Panthers,82,2.33,336,527,35,13.1,4,2493,7.7,716,84.6,37,9,24.3
Ottawa Senators,82,2.32,312,502,45,17.5,6,2381,8.0,1149,83.7,22,3,13.6
New Jersey Devils,82,2.09,288,459,34,14.4,3,2344,7.3,765,83.4,19,6,31.6
