Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Buffalo Sabres,82,3.63,534,832,71,17.4,8,2417,12.3,1200,81.3,47,17,36.2
Ottawa Senators,82,3.49,508,794,72,17.9,17,2651,10.8,1173,84.5,31,9,29.0
Pittsburgh Penguins,82,3.26,468,735,94,20.3,14,2366,11.3,1249,82.1,47,17,36.2
Colorado Avalanche,82,3.26,472,739,79,21.1,7,2603,10.3,884,80.2,33,12,36.4
Nashville Predators,82,3.24,473,739,71,17.4,8,2261,11.8,1179,85.8,34,14,41.2
San Jose Sharks,82,3.12,459,715,92,22.4,7,2346,10.9,955,83.3,12,7,58.3
Calgary Flames,82,3.11,446,701,73,18.2,15,2242,11.4,1204,80.4,29,9,31.0
Toronto Maple Leafs,82,3.1,445,699,71,17.7,3,2681,9.5,1139,78.5,44,14,31.8
Anaheim Ducks,82,3.1,453,707,89,22.3,4,2582,9.8,1452,85.0,55,14,25.5
Detroit Red Wings,82,3.07,431,683,68,17.1,12,2771,9.1,982,84.6,39,10,25.6
Florida Panthers,82,2.99,417,662,61,18.1,5,2730,9.0,1181,82.4,38,9,23.7
Tampa Bay Lightning,82,2.96,422,665,69,18.4,14,2418,10.1,897,78.4,53,16,30.2
Carolina Hurricanes,82,2.94,429,670,67,15.0,12,2559,9.4,1021,84.6,17,1,5.9
New York Islanders,82,2.93,422,662,63,18.1,7,2459,9.8,1062,81.8,58,16,27.6
Montreal Canadiens,82,2.91,399,638,86,22.8,17,2426,9.9,1133,83.5,39,15,38.5
Atlanta Thrashers,82,2.91,397,636,67,16.5,9,2438,9.8,1097,79.8,29,15,51.7
Washington Capitals,82,2.85,380,614,67,16.4,12,2295,10.2,1233,80.2,40,5,12.5
New York Rangers,82,2.84,410,643,75,18.5,11,2586,9.0,1109,83.8,57,17,29.8
Minnesota Wild,82,2.74,386,611,72,18.9,9,2431,9.3,862,86.0,62,27,43.5
Los Angeles Kings,82,2.72,406,629,81,18.3,6,2542,8.8,1239,77.9,46,18,39.1
Dallas Stars,82,2.65,387,604,79,18.5,3,2296,9.5,1133,84.4,51,18,35.3
Vancouver Canucks,82,2.65,392,609,70,17.2,5,2405,9.0,1206,86.9,37,15,40.5
Philadelphia Flyers,82,2.6,371,584,53,14.1,15,2361,9.0,1301,84.5,28,2,7.1
Boston Bruins,82,2.56,361,571,71,17.2,8,2370,8.9,1256,81.7,54,18,33.3
St. Louis Blues,82,2.54,369,577,46,12.1,7,2202,9.4,1223,80.0,36,14,38.9
New Jersey Devils,82,2.51,385,591,65,17.7,4,2354,8.8,830,85.2,62,25,40.3
Columbus Blue Jackets,82,2.39,337,533,65,14.8,6,2273,8.6,1357,81.2,42,13,31.0
Chicago Blackhawks,82,2.38,324,519,43,11.8,12,2201,8.9,1332,82.6,47,17,36.2
Edmonton Oilers,82,2.34,336,528,53,14.2,6,2193,8.8,1285,84.6,22,6,27.3
