Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Detroit Red Wings,82,3.39,467,745,69,20.4,15,2620,10.6,1014,85.9,0,0,0.0
New Jersey Devils,82,3.06,438,689,55,20.1,9,2717,9.2,1313,87.5,0,0,0.0
St. Louis Blues,82,3.02,428,676,61,17.8,13,2445,10.1,1139,87.8,0,0,0.0
Toronto Maple Leafs,82,3.0,406,652,57,17.8,11,2161,11.4,1103,82.4,0,0,0.0
Los Angeles Kings,82,2.99,425,670,60,16.9,4,2421,10.1,1313,82.3,0,0,0.0
Ottawa Senators,82,2.98,397,641,52,16.8,6,2584,9.4,850,87.5,0,0,0.0
Florida Panthers,82,2.98,413,657,58,17.2,2,2198,11.1,1329,85.4,0,0,0.0
Chicago Blackhawks,82,2.95,402,644,52,16.0,10,2106,11.5,1444,83.7,0,0,0.0
Pittsburgh Penguins,82,2.94,427,668,54,15.6,7,2137,11.3,1221,82.6,0,0,0.0
Philadelphia Flyers,82,2.89,386,623,69,20.3,7,2495,9.5,1233,86.7,0,0,0.0
Colorado Avalanche,82,2.84,393,626,59,19.5,3,2188,10.6,1118,84.5,0,0,0.0
Vancouver Canucks,82,2.77,381,608,51,15.8,9,2187,10.4,1047,80.4,0,0,0.0
Washington Capitals,82,2.77,377,604,43,15.0,9,2269,10.0,994,86.2,0,0,0.0
Edmonton Oilers,82,2.76,377,603,53,15.8,9,2310,9.8,1354,85.4,0,0,0.0
San Jose Sharks,82,2.74,383,608,62,16.4,16,2248,10.0,1292,83.6,0,0,0.0
New York Rangers,82,2.66,382,600,55,16.9,5,2416,9.0,916,83.2,0,0,0.0
Carolina Hurricanes,82,2.65,369,586,58,17.0,3,2161,10.0,799,84.2,0,0,0.0
Anaheim Mighty Ducks,82,2.65,375,592,55,16.6,4,2352,9.2,926,79.1,0,0,0.0
Buffalo Sabres,82,2.6,345,558,37,10.5,8,2228,9.6,1173,85.0,0,0,0.0
Calgary Flames,82,2.57,370,581,59,17.9,4,2468,8.5,1267,79.7,0,0,0.0
Dallas Stars,82,2.57,366,577,54,15.7,9,2099,10.1,1029,89.3,0,0,0.0
Boston Bruins,82,2.56,343,553,51,14.4,0,2516,8.3,865,79.5,0,0,0.0
Tampa Bay Lightning,82,2.49,344,548,51,14.0,9,2084,9.8,1723,80.7,0,0,0.0
Nashville Predators,82,2.43,331,530,41,13.5,9,2215,9.0,946,85.1,0,0,0.0
Montreal Canadiens,82,2.39,326,522,54,16.7,7,2135,9.2,1067,86.8,0,0,0.0
New York Islanders,82,2.37,308,502,45,14.1,8,2147,9.0,1376,80.0,0,0,0.0
Atlanta Thrashers,82,2.07,286,456,44,12.6,6,2115,8.0,1422,80.3,0,0,0.0
