Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Quebec Nordiques,48,3.85,309,494,45,24.2,9,1448,12.8,770,81.3,0,0,0.0
Pittsburgh Penguins,48,3.77,316,497,42,19.0,8,1400,12.9,1036,79.9,0,0,0.0
Detroit Red Wings,48,3.75,311,491,52,24.2,5,1571,11.5,932,86.4,0,0,0.0
St. Louis Blues,48,3.71,290,468,36,16.4,7,1411,12.6,1077,80.3,0,0,0.0
Calgary Flames,48,3.4,273,436,39,18.5,7,1451,11.2,1249,85.1,0,0,0.0
Chicago Blackhawks,48,3.25,258,414,52,24.5,7,1443,10.8,1123,84.2,0,0,0.0
Vancouver Canucks,48,3.19,255,408,47,19.7,7,1579,9.7,1093,83.5,0,0,0.0
Boston Bruins,48,3.13,247,397,46,21.8,3,1651,9.1,793,86.9,0,0,0.0
Philadelphia Flyers,48,3.13,248,398,40,19.6,2,1314,11.4,741,80.8,0,0,0.0
Los Angeles Kings,48,2.96,249,391,35,17.5,5,1443,9.8,978,81.0,0,0,0.0
New York Rangers,48,2.9,224,363,40,20.0,5,1529,9.1,781,83.9,0,0,0.0
Edmonton Oilers,48,2.83,232,368,42,16.2,8,1427,9.5,1183,77.7,0,0,0.0
Dallas Stars,48,2.83,222,358,39,15.7,4,1520,8.9,1117,84.4,0,0,0.0
New Jersey Devils,48,2.83,227,363,22,13.4,3,1444,9.4,787,81.2,0,0,0.0
Washington Capitals,48,2.83,236,372,45,19.9,13,1386,9.8,1144,84.5,0,0,0.0
Toronto Maple Leafs,48,2.81,219,354,37,17.0,5,1520,8.9,744,84.9,0,0,0.0
Buffalo Sabres,48,2.71,212,342,45,18.6,13,1276,10.2,1022,85.5,0,0,0.0
San Jose Sharks,48,2.69,220,349,24,11.8,6,1152,11.2,840,81.3,0,0,0.0
Hartford Whalers,48,2.65,217,344,30,17.2,3,1428,8.9,915,80.0,0,0,0.0
New York Islanders,48,2.63,199,325,28,15.7,4,1357,9.3,901,78.4,0,0,0.0
Montreal Canadiens,48,2.6,208,333,28,16.3,1,1376,9.1,840,80.6,0,0,0.0
Anaheim Mighty Ducks,48,2.6,211,336,23,11.4,4,1346,9.3,734,75.6,0,0,0.0
Tampa Bay Lightning,48,2.5,187,307,25,14.1,6,1280,9.4,1040,84.4,0,0,0.0
Ottawa Senators,48,2.44,179,296,31,14.4,1,1247,9.4,749,80.4,0,0,0.0
Florida Panthers,48,2.4,183,298,29,13.1,1,1191,9.7,770,83.2,0,0,0.0
