Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Anaheim Ducks,82,3.21,449,712,44,16.0,10,2569,10.2,894,82.2,42,12,28.6
Chicago Blackhawks,82,3.18,453,714,50,19.5,9,2715,9.6,699,81.5,59,17,28.8
Boston Bruins,82,3.15,442,700,50,21.7,9,2613,9.9,886,83.7,36,7,19.4
Colorado Avalanche,82,2.99,435,680,50,19.8,3,2420,10.1,891,80.7,25,9,36.0
Pittsburgh Penguins,82,2.95,424,666,65,23.4,4,2454,9.9,832,85.0,32,11,34.4
San Jose Sharks,82,2.91,425,664,50,17.2,8,2851,8.4,737,84.9,57,22,38.6
St. Louis Blues,82,2.91,420,659,56,19.8,6,2402,10.0,1162,85.7,43,21,48.8
Philadelphia Flyers,82,2.84,402,635,58,19.8,8,2490,9.4,1180,84.8,39,11,28.2
Tampa Bay Lightning,82,2.83,406,638,50,18.5,10,2446,9.5,844,80.7,58,16,27.6
Dallas Stars,82,2.82,395,626,46,15.9,8,2597,8.9,900,81.4,39,9,23.1
Ottawa Senators,82,2.79,382,611,50,18.5,5,2692,8.5,1094,80.9,48,15,31.3
Columbus Blue Jackets,82,2.76,382,608,54,19.3,9,2431,9.3,910,82.1,22,9,40.9
Washington Capitals,82,2.74,401,626,68,23.4,5,2412,9.3,960,82.0,80,27,33.8
Toronto Maple Leafs,82,2.71,358,580,50,19.8,7,2290,9.7,1040,78.3,35,17,48.6
Winnipeg Jets,82,2.67,375,594,40,15.4,5,2516,8.7,973,83.2,52,19,36.5
Detroit Red Wings,82,2.65,362,579,50,17.7,3,2464,8.8,725,83.1,51,11,21.6
New York Islanders,82,2.63,370,586,49,17.8,8,2537,8.5,1015,78.1,57,23,40.4
New York Rangers,82,2.61,364,578,48,18.2,10,2719,7.9,817,85.3,26,9,34.6
Nashville Predators,82,2.61,373,587,46,19.2,2,2382,9.0,808,80.3,44,9,20.5
Montreal Canadiens,82,2.55,349,558,48,17.2,6,2330,9.0,1063,85.1,28,11,39.3
Carolina Hurricanes,82,2.5,331,536,41,14.6,11,2561,8.0,650,81.7,16,4,25.0
Calgary Flames,82,2.46,355,557,39,15.7,12,2199,9.2,858,81.7,46,18,39.1
Edmonton Oilers,82,2.43,348,547,46,17.0,4,2208,9.0,966,82.1,21,10,47.6
Minnesota Wild,82,2.43,360,559,45,17.9,4,2180,9.1,783,78.8,52,17,32.7
Los Angeles Kings,82,2.41,339,537,43,15.1,5,2595,7.6,876,83.1,52,16,30.8
New Jersey Devils,82,2.4,344,541,47,19.5,9,2199,9.0,656,86.4,45,4,8.9
Vancouver Canucks,82,2.33,322,513,39,15.2,6,2527,7.6,1115,83.2,50,8,16.0
Florida Panthers,82,2.29,302,490,27,10.0,8,2451,7.7,848,76.0,50,19,38.0
Buffalo Sabres,82,1.83,252,402,36,14.1,5,2156,7.0,903,81.4,51,16,31.4
