Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Dallas Stars,82,3.23,433,698,58,22.1,10,2624,10.1,719,82.3,17,8,47.1
Washington Capitals,82,3.02,422,670,55,21.9,2,2510,9.9,753,85.1,17,8,47.1
Pittsburgh Penguins,82,2.94,409,650,48,18.4,11,2722,8.9,693,84.4,25,9,36.0
San Jose Sharks,82,2.89,408,645,62,22.5,6,2491,9.5,727,80.5,17,8,47.1
Boston Bruins,82,2.88,399,635,48,20.5,9,2620,9.0,933,82.2,19,5,26.3
Chicago Blackhawks,82,2.85,400,634,57,22.6,10,2498,9.4,611,80.3,11,3,27.3
New York Rangers,82,2.84,383,616,42,18.6,3,2336,10.0,704,78.2,13,6,46.2
Florida Panthers,82,2.83,381,613,47,16.9,5,2358,9.8,849,79.5,32,17,53.1
Ottawa Senators,82,2.8,362,592,38,15.9,17,2325,9.9,892,75.8,43,15,34.9
Calgary Flames,82,2.79,407,636,46,17.0,10,2398,9.6,754,75.6,16,6,37.5
New York Islanders,82,2.77,377,604,42,18.3,7,2412,9.4,718,84.5,33,12,36.4
Tampa Bay Lightning,82,2.73,361,585,44,15.8,7,2402,9.3,809,84.0,19,6,31.6
Nashville Predators,82,2.73,370,594,51,19.7,7,2507,8.9,810,81.2,21,6,28.6
Los Angeles Kings,82,2.72,377,600,47,20.0,5,2625,8.5,866,81.4,19,5,26.3
St. Louis Blues,82,2.67,370,589,51,21.5,4,2474,8.9,861,85.1,49,13,26.5
Montreal Canadiens,82,2.63,377,593,42,16.2,8,2504,8.6,774,81.9,31,9,29.0
Anaheim Ducks,82,2.62,362,577,56,23.0,7,2483,8.7,1023,87.2,22,7,31.8
Columbus Blue Jackets,82,2.6,357,570,43,17.3,3,2387,8.9,995,81.0,34,11,32.4
Minnesota Wild,82,2.6,356,569,48,18.5,7,2374,9.0,545,77.9,15,5,33.3
Colorado Avalanche,82,2.59,371,583,48,18.0,7,2348,9.0,774,80.2,12,6,50.0
Winnipeg Jets,82,2.59,352,564,38,14.8,10,2427,8.7,920,78.4,18,7,38.9
Philadelphia Flyers,82,2.57,370,581,53,18.9,3,2540,8.3,966,80.5,37,8,21.6
Detroit Red Wings,82,2.55,349,558,50,18.8,2,2432,8.6,724,81.6,25,6,24.0
Buffalo Sabres,82,2.43,322,521,48,18.9,6,2418,8.2,749,82.6,27,4,14.8
Edmonton Oilers,82,2.43,343,542,43,18.1,5,2386,8.3,794,81.1,23,9,39.1
Carolina Hurricanes,82,2.39,328,524,40,16.8,3,2451,8.0,562,84.3,28,5,17.9
Toronto Maple Leafs,82,2.34,339,531,40,15.4,3,2515,7.6,756,81.6,47,12,25.5
Vancouver Canucks,82,2.27,316,502,39,15.8,4,2311,8.0,821,81.1,35,11,31.4
New Jersey Devils,82,2.22,297,479,51,19.9,5,2003,9.1,814,83.0,30,8,26.7
