Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
New Jersey Devils,82,3.6,516,811,71,22.9,9,2590,11.4,1235,84.7,0,0,0.0
Pittsburgh Penguins,82,3.43,501,782,76,20.3,7,2394,11.7,1585,80.7,0,0,0.0
Ottawa Senators,82,3.34,462,736,71,18.6,10,2476,11.1,1062,86.4,0,0,0.0
Colorado Avalanche,82,3.29,471,741,80,22.0,11,2395,11.3,1138,82.7,0,0,0.0
Detroit Red Wings,82,3.09,430,683,85,22.1,10,2650,9.5,1082,85.7,0,0,0.0
Los Angeles Kings,82,3.07,436,688,71,19.3,14,2288,11.0,1196,81.2,0,0,0.0
New York Rangers,82,3.05,424,674,65,17.9,16,2345,10.7,1522,78.5,0,0,0.0
St. Louis Blues,82,3.04,408,657,72,18.7,15,2494,10.0,1345,85.3,0,0,0.0
Edmonton Oilers,82,2.96,411,654,59,14.8,13,2145,11.3,1287,83.8,0,0,0.0
Dallas Stars,82,2.94,412,653,72,19.6,7,2100,11.5,1041,86.2,0,0,0.0
Philadelphia Flyers,82,2.93,398,638,55,15.7,11,2452,9.8,1183,82.5,0,0,0.0
Vancouver Canucks,82,2.91,399,638,71,17.1,12,2434,9.8,1113,80.9,0,0,0.0
Washington Capitals,82,2.84,409,642,75,21.2,6,2348,9.9,1141,84.1,0,0,0.0
Toronto Maple Leafs,82,2.83,404,636,57,16.1,2,2276,10.2,1430,85.0,0,0,0.0
Boston Bruins,82,2.77,388,615,64,16.4,8,2359,9.6,1325,82.8,0,0,0.0
Buffalo Sabres,82,2.66,382,600,60,16.1,6,2204,9.9,1249,88.0,0,0,0.0
San Jose Sharks,82,2.65,374,591,57,14.0,8,2266,9.6,1364,86.2,0,0,0.0
Carolina Hurricanes,82,2.59,369,581,72,18.8,6,2217,9.6,1083,87.2,0,0,0.0
Atlanta Thrashers,82,2.57,349,560,54,13.7,9,2291,9.2,1500,77.9,0,0,0.0
Chicago Blackhawks,82,2.56,347,557,41,12.9,15,2160,9.7,1001,83.9,0,0,0.0
Montreal Canadiens,82,2.51,347,553,68,16.2,5,2148,9.6,1020,82.2,0,0,0.0
Tampa Bay Lightning,82,2.45,335,536,53,12.5,9,2014,10.0,1404,82.9,0,0,0.0
Florida Panthers,82,2.44,333,533,46,13.0,8,2170,9.2,1509,83.9,0,0,0.0
Calgary Flames,82,2.4,347,544,65,14.9,3,2230,8.8,1376,79.9,0,0,0.0
Columbus Blue Jackets,82,2.32,304,494,56,14.7,3,2082,9.1,1234,80.7,0,0,0.0
Anaheim Mighty Ducks,82,2.29,323,511,66,17.7,6,2123,8.9,1136,81.8,0,0,0.0
Nashville Predators,82,2.27,319,505,51,14.1,7,2182,8.5,944,85.2,0,0,0.0
New York Islanders,82,2.26,309,494,51,13.2,9,2257,8.2,1339,82.2,0,0,0.0
Minnesota Wild,82,2.05,281,449,36,9.6,13,2020,8.3,1200,84.7,0,0,0.0
