Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Florida Panthers,82,4.11,575,912,64,24.4,12,3062,11.0,832,79.5,22,7,31.8
Toronto Maple Leafs,82,3.8,538,850,63,27.3,13,2835,11.0,702,82.1,16,6,37.5
St. Louis Blues,82,3.77,548,857,65,27.0,9,2492,12.4,611,84.1,18,5,27.8
Colorado Avalanche,82,3.76,531,839,67,24.0,6,2874,10.7,742,79.7,19,6,31.6
Minnesota Wild,82,3.72,512,817,53,20.5,2,2666,11.4,882,76.1,27,11,40.7
Calgary Flames,82,3.55,486,777,54,22.9,7,2908,10.0,744,83.2,16,5,31.3
Edmonton Oilers,82,3.48,488,773,61,26.0,11,2790,10.2,666,79.4,24,8,33.3
Tampa Bay Lightning,82,3.48,487,772,62,23.9,7,2535,11.2,901,80.6,27,8,29.6
Carolina Hurricanes,82,3.38,481,758,51,22.0,4,2798,9.9,758,88.0,8,1,12.5
Washington Capitals,82,3.29,436,706,48,18.8,8,2577,10.5,631,80.4,36,12,33.3
Pittsburgh Penguins,82,3.28,470,739,50,20.2,3,2849,9.4,566,84.4,35,8,22.9
Nashville Predators,82,3.2,463,725,63,24.4,2,2439,10.7,1035,79.2,22,6,27.3
Vegas Golden Knights,82,3.2,429,691,39,18.4,10,2830,9.3,624,77.4,39,10,25.6
Columbus Blue Jackets,82,3.15,439,697,41,18.6,7,2463,10.5,635,78.6,26,8,30.8
Boston Bruins,82,3.09,435,688,50,21.2,5,2962,8.5,809,81.3,17,5,29.4
New York Rangers,82,3.05,431,681,55,25.2,8,2392,10.5,675,82.3,37,12,32.4
Winnipeg Jets,82,3.01,419,666,51,20.6,9,2645,9.3,722,75.0,19,5,26.3
Vancouver Canucks,82,3.0,407,653,58,23.5,5,2622,9.4,655,74.9,33,9,27.3
New Jersey Devils,82,2.99,413,658,35,15.6,6,2562,9.6,668,80.2,32,12,37.5
Los Angeles Kings,82,2.84,373,606,40,16.1,11,2865,8.1,635,77.1,30,11,36.7
Dallas Stars,82,2.84,406,639,54,22.5,7,2486,9.4,551,79.0,27,9,33.3
Buffalo Sabres,82,2.79,374,603,47,21.2,6,2451,9.3,667,76.4,18,9,50.0
New York Islanders,82,2.79,377,606,46,22.1,5,2367,9.7,729,84.2,35,4,11.4
Anaheim Ducks,82,2.78,386,614,48,21.9,6,2393,9.5,759,80.8,29,13,44.8
Detroit Red Wings,82,2.77,382,609,37,16.3,4,2414,9.4,733,73.8,16,5,31.3
Ottawa Senators,82,2.73,367,591,47,19.3,9,2463,9.1,822,80.3,16,5,31.3
Montreal Canadiens,82,2.66,366,584,34,13.7,6,2442,8.9,836,75.5,23,7,30.4
Chicago Blackhawks,82,2.6,375,588,47,19.2,2,2362,9.0,646,76.2,30,8,26.7
Seattle Kraken,82,2.6,368,581,32,14.5,8,2380,9.0,700,74.9,19,7,36.8
San Jose Sharks,82,2.57,363,574,41,19.0,4,2400,8.8,725,85.2,16,5,31.3
Philadelphia Flyers,82,2.56,345,555,30,12.6,6,2539,8.3,739,75.7,20,1,5.0
