Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Pittsburgh Penguins,82,3.39,475,753,60,23.1,5,2756,10.1,703,79.8,26,9,34.6
Minnesota Wild,82,3.21,446,709,47,21.0,5,2527,10.4,669,82.9,21,8,38.1
Washington Capitals,82,3.18,453,714,57,23.1,5,2495,10.5,750,83.8,24,8,33.3
New York Rangers,82,3.09,428,681,47,20.3,9,2438,10.4,593,79.8,20,7,35.0
Toronto Maple Leafs,82,3.05,411,661,58,23.8,6,2617,9.6,799,82.5,28,5,17.9
Columbus Blue Jackets,82,3.01,400,647,42,19.9,10,2540,9.7,714,82.5,11,4,36.4
Winnipeg Jets,82,3.0,417,663,48,18.2,10,2448,10.0,835,77.5,15,6,40.0
Edmonton Oilers,82,2.96,400,643,56,22.9,4,2547,9.5,738,80.7,27,10,37.0
Chicago Blackhawks,82,2.93,407,647,42,18.0,1,2508,9.6,584,77.7,19,8,42.1
New York Islanders,82,2.91,389,628,35,15.0,5,2480,9.6,648,81.9,27,7,25.9
Nashville Predators,82,2.9,387,625,49,18.9,12,2557,9.3,833,80.9,16,3,18.8
St. Louis Blues,82,2.84,394,627,50,21.3,3,2330,10.0,734,84.8,18,4,22.2
Boston Bruins,82,2.83,366,598,53,21.7,10,2721,8.5,831,85.7,28,6,21.4
Tampa Bay Lightning,82,2.8,395,625,62,22.8,4,2452,9.4,875,81.4,32,11,34.4
Montreal Canadiens,82,2.72,378,601,45,19.7,5,2459,9.1,759,81.1,17,8,47.1
Calgary Flames,82,2.71,396,618,52,20.2,8,2388,9.3,956,81.6,19,5,26.3
Dallas Stars,82,2.71,374,596,46,17.9,5,2505,8.9,810,73.9,10,4,40.0
Anaheim Ducks,82,2.68,364,584,47,18.7,9,2425,9.1,934,84.7,42,13,31.0
San Jose Sharks,82,2.67,382,601,41,16.7,7,2453,8.9,642,80.7,9,3,33.3
Carolina Hurricanes,82,2.59,363,575,41,17.7,10,2493,8.5,476,84.2,25,8,32.0
Philadelphia Flyers,82,2.59,358,570,54,19.5,4,2585,8.2,844,79.8,46,13,28.3
Ottawa Senators,82,2.51,346,552,43,17.0,7,2463,8.4,848,79.7,35,10,28.6
Florida Panthers,82,2.5,346,551,45,17.0,8,2644,7.8,813,85.3,34,12,35.3
Buffalo Sabres,82,2.43,332,531,57,24.5,3,2491,8.0,741,77.6,27,6,22.2
Los Angeles Kings,82,2.43,341,540,46,19.1,5,2553,7.8,754,84.5,27,7,25.9
Detroit Red Wings,82,2.41,334,532,38,15.1,3,2335,8.5,718,80.9,37,15,40.5
New Jersey Devils,82,2.2,298,478,44,17.5,6,2279,7.9,817,79.6,18,6,33.3
Vancouver Canucks,82,2.17,292,470,32,14.1,2,2273,7.8,648,76.7,17,5,29.4
Colorado Avalanche,82,2.01,278,443,30,12.6,5,2303,7.2,767,76.6,9,2,22.2
