Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
St. Louis Blues,82,3.12,426,682,62,16.8,12,2203,11.6,1414,86.6,0,0,0.0
Detroit Red Wings,82,3.05,425,675,67,17.6,8,2531,9.9,1346,86.4,0,0,0.0
Dallas Stars,82,2.95,405,647,77,20.0,11,2200,11.0,1301,88.0,0,0,0.0
Philadelphia Flyers,82,2.95,414,656,71,17.8,7,2352,10.3,1766,86.6,0,0,0.0
Montreal Canadiens,82,2.87,414,649,68,18.3,13,2277,10.3,1547,84.5,0,0,0.0
Colorado Avalanche,82,2.82,404,635,74,17.4,8,2290,10.1,1729,87.0,0,0,0.0
Pittsburgh Penguins,82,2.78,400,628,67,16.5,11,2176,10.5,1225,86.4,0,0,0.0
Los Angeles Kings,82,2.77,374,601,52,14.2,10,2200,10.3,1763,84.2,0,0,0.0
New Jersey Devils,82,2.74,384,609,63,18.9,4,2401,9.4,1488,86.7,0,0,0.0
Vancouver Canucks,82,2.73,350,574,48,12.8,19,2092,10.7,2166,82.2,0,0,0.0
Boston Bruins,82,2.7,366,587,62,17.3,5,2230,9.9,1117,84.6,0,0,0.0
Washington Capitals,82,2.67,370,589,55,15.7,14,2225,9.8,1198,89.2,0,0,0.0
Calgary Flames,82,2.65,341,558,43,12.1,18,2270,9.6,1859,84.0,0,0,0.0
Edmonton Oilers,82,2.62,345,560,77,15.9,10,2351,9.1,1690,83.7,0,0,0.0
New York Islanders,82,2.59,331,543,61,16.7,11,2119,10.0,1646,85.9,0,0,0.0
Buffalo Sabres,82,2.57,342,553,51,12.9,15,2172,9.7,1768,84.3,0,0,0.0
San Jose Sharks,82,2.56,338,548,54,13.5,10,2169,9.7,1417,85.2,0,0,0.0
Anaheim Mighty Ducks,82,2.5,318,523,46,11.7,9,2184,9.4,1843,81.8,0,0,0.0
Florida Panthers,82,2.48,328,531,55,13.4,12,2278,8.9,1676,79.7,0,0,0.0
Carolina Hurricanes,82,2.44,337,537,50,13.2,8,2177,9.2,1455,85.2,0,0,0.0
New York Rangers,82,2.4,352,549,62,17.7,0,2075,9.5,1548,85.4,0,0,0.0
Toronto Maple Leafs,82,2.37,320,514,41,11.4,5,2272,8.5,1481,86.6,0,0,0.0
Ottawa Senators,82,2.35,309,502,48,12.8,6,2401,8.0,1091,84.5,0,0,0.0
Chicago Blackhawks,82,2.34,327,519,47,12.9,13,2278,8.4,1546,84.8,0,0,0.0
Tampa Bay Lightning,82,1.84,248,399,33,9.3,11,2100,7.2,1823,82.4,0,0,0.0
