Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Detroit Red Wings,82,3.28,459,728,76,23.8,11,2441,11.0,1214,85.4,0,0,0.0
Vancouver Canucks,82,3.22,458,722,87,20.7,12,2388,11.1,1178,84.1,0,0,0.0
Ottawa Senators,82,3.21,458,721,83,21.2,4,2442,10.8,1135,84.9,0,0,0.0
St. Louis Blues,82,3.09,446,699,80,20.5,11,2301,11.0,1608,81.7,0,0,0.0
Colorado Avalanche,82,3.06,448,699,68,18.7,5,2386,10.5,1084,82.5,0,0,0.0
Boston Bruins,82,2.99,409,654,59,18.2,10,2636,9.3,1370,82.7,0,0,0.0
Dallas Stars,82,2.99,416,661,62,19.0,9,2466,9.9,1166,85.5,0,0,0.0
Toronto Maple Leafs,82,2.88,411,647,63,17.5,11,2153,11.0,1390,86.9,0,0,0.0
Edmonton Oilers,82,2.82,398,629,56,14.5,13,2293,10.1,1203,82.6,0,0,0.0
Atlanta Thrashers,82,2.76,365,591,64,17.3,8,2163,10.4,1253,81.7,0,0,0.0
New York Islanders,82,2.73,388,612,58,15.1,12,2427,9.2,1244,83.5,0,0,0.0
Washington Capitals,82,2.73,399,623,57,17.2,8,2223,10.1,1268,81.3,0,0,0.0
Tampa Bay Lightning,82,2.67,388,607,70,17.9,6,2395,9.1,1079,82.6,0,0,0.0
New Jersey Devils,82,2.63,368,584,36,11.9,7,2601,8.3,938,87.9,0,0,0.0
San Jose Sharks,82,2.61,368,582,68,18.1,5,2303,9.3,1112,81.0,0,0,0.0
Columbus Blue Jackets,82,2.6,362,575,71,17.3,12,2143,9.9,1505,85.3,0,0,0.0
Philadelphia Flyers,82,2.57,345,556,47,14.3,8,2537,8.3,1003,85.2,0,0,0.0
New York Rangers,82,2.56,342,552,55,16.2,8,2465,8.5,1306,81.2,0,0,0.0
Chicago Blackhawks,82,2.52,349,556,39,12.7,8,2279,9.1,1189,84.8,0,0,0.0
Montreal Canadiens,82,2.51,347,553,44,14.0,2,2119,9.7,900,81.7,0,0,0.0
Los Angeles Kings,82,2.48,341,544,52,14.6,8,2272,8.9,1146,83.3,0,0,0.0
Anaheim Mighty Ducks,82,2.48,355,558,56,16.1,8,2246,9.0,954,87.4,0,0,0.0
Minnesota Wild,82,2.41,327,525,52,14.2,9,2086,9.5,1063,86.0,0,0,0.0
Buffalo Sabres,82,2.32,324,514,51,14.4,8,2345,8.1,1276,85.4,0,0,0.0
Pittsburgh Penguins,82,2.3,334,523,66,18.3,3,2079,9.1,1125,83.5,0,0,0.0
Calgary Flames,82,2.27,315,501,47,12.1,5,2341,7.9,1391,83.3,0,0,0.0
Nashville Predators,82,2.23,303,486,58,13.9,2,2316,7.9,969,82.7,0,0,0.0
Florida Panthers,82,2.15,286,462,49,14.1,7,2229,7.9,1127,81.5,0,0,0.0
Carolina Hurricanes,82,2.09,286,457,58,13.8,6,2414,7.1,1208,81.9,0,0,0.0
