Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Colorado Avalanche,56,3.52,354,551,47,22.7,1,1937,10.2,499,83.1,2,1,50.0
Pittsburgh Penguins,56,3.45,329,522,36,23.7,6,1684,11.5,441,77.4,5,2,40.0
Vegas Golden Knights,56,3.39,326,516,31,17.8,4,1829,10.4,408,86.8,8,2,25.0
Washington Capitals,56,3.36,314,502,38,24.8,2,1647,11.4,527,84.0,12,4,33.3
Florida Panthers,56,3.36,311,499,39,20.5,4,1954,9.6,568,79.8,14,4,28.6
Toronto Maple Leafs,56,3.32,336,522,31,20.0,3,1751,10.6,390,78.5,2,1,50.0
Tampa Bay Lightning,56,3.21,299,479,40,22.3,3,1692,10.6,597,84.2,13,5,38.5
Minnesota Wild,56,3.21,292,472,29,17.6,2,1585,11.4,498,80.7,10,3,30.0
Edmonton Oilers,57,3.21,315,498,48,27.6,2,1674,10.9,434,82.5,0,0,0.0
New York Rangers,56,3.14,305,481,37,20.7,8,1607,11.0,565,82.2,5,2,40.0
Carolina Hurricanes,56,3.13,308,483,42,25.6,7,1794,9.8,414,85.2,23,9,39.1
Winnipeg Jets,56,3.04,294,464,37,23.0,3,1661,10.2,404,80.5,7,1,14.3
St. Louis Blues,56,2.98,293,460,36,23.2,6,1622,10.3,456,77.8,16,5,31.3
Boston Bruins,56,2.93,284,448,35,21.9,9,1866,8.8,533,86.0,13,6,46.2
Philadelphia Flyers,57,2.86,285,448,33,19.5,2,1716,9.5,517,73.1,25,8,32.0
Chicago Blackhawks,56,2.84,269,428,38,21.7,3,1635,9.7,368,76.8,11,2,18.2
Montreal Canadiens,57,2.77,257,415,29,19.2,9,1746,9.0,465,78.5,15,3,20.0
Ottawa Senators,56,2.77,252,407,27,15.5,7,1663,9.3,509,78.9,11,4,36.4
Dallas Stars,57,2.74,265,421,37,23.6,3,1699,9.2,410,79.1,25,6,24.0
Calgary Flames,57,2.72,270,425,32,18.3,2,1689,9.2,449,80.2,8,3,37.5
New York Islanders,56,2.71,249,401,27,18.8,4,1623,9.4,370,83.7,25,7,28.0
Nashville Predators,57,2.65,239,390,28,17.6,6,1679,9.0,514,75.4,16,8,50.0
New Jersey Devils,57,2.63,261,411,24,15.1,3,1631,9.2,385,70.9,15,3,20.0
San Jose Sharks,56,2.61,233,379,22,14.1,5,1682,8.7,514,80.4,26,9,34.6
Vancouver Canucks,57,2.6,229,377,27,17.4,6,1629,9.1,551,79.8,17,5,29.4
Los Angeles Kings,56,2.54,237,379,32,18.9,3,1587,8.9,395,83.6,7,3,42.9
Buffalo Sabres,56,2.39,218,352,30,21.0,5,1592,8.4,342,77.7,19,4,21.1
Columbus Blue Jackets,56,2.39,238,372,18,15.4,6,1625,8.2,391,78.9,22,6,27.3
Anaheim Ducks,56,2.21,200,324,11,8.9,2,1500,8.3,500,79.9,10,4,40.0
Detroit Red Wings,58,2.16,209,334,17,11.4,0,1528,8.2,412,77.6,23,7,30.4
