Team,Year,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Dallas Stars,2007,82,2.89,410,647,64,18.0,13,2187,10.8,1176,85.6,28,10,35.7
Detroit Red Wings,2007,82,3.07,443,695,81,20.8,5,2820,8.9,937,84.0,30,12,40.0
Edmonton Oilers,2007,82,2.68,380,600,57,16.6,7,2156,10.2,1175,84.7,65,24,36.9
Florida Panthers,2007,82,2.57,353,564,60,19.2,4,2549,8.3,1026,82.4,41,9,22.0
Los Angeles Kings,2007,82,2.76,381,607,64,17.5,11,2349,9.6,954,78.0,29,12,41.4
Minnesota Wild,2007,82,2.68,390,610,64,18.9,3,2218,9.9,1098,85.2,33,10,30.3
Montreal Canadiens,2007,82,3.13,441,698,90,24.1,8,2383,10.8,1090,82.5,37,9,24.3
Nashville Predators,2007,82,2.77,407,634,53,14.8,7,2425,9.4,1027,85.4,21,6,28.6
New Jersey Devils,2007,82,2.41,346,544,50,15.6,6,2362,8.4,974,82.8,42,15,35.7
New York Islanders,2007,82,2.3,313,502,48,14.5,10,2435,7.8,1041,81.9,32,11,34.4
New York Rangers,2007,82,2.5,370,575,61,16.5,4,2579,7.9,1154,84.5,53,15,28.3
Ottawa Senators,2007,82,3.15,441,699,60,18.3,18,2471,10.4,1175,81.2,31,10,32.3
Philadelphia Flyers,2007,82,2.99,405,650,84,21.8,13,2359,10.4,1471,83.2,25,10,40.0
Pittsburgh Penguins,2007,82,2.93,427,667,77,20.4,6,2269,10.6,1179,81.0,44,17,38.6
San Jose Sharks,2007,82,2.63,376,592,70,18.7,7,2428,8.9,1075,86.0,41,18,43.9
St. Louis Blues,2007,82,2.46,358,560,47,14.0,3,2141,9.4,1153,84.4,27,5,18.5
Tampa Bay Lightning,2007,82,2.7,380,601,57,19.3,7,2354,9.4,1038,82.1,10,4,40.0
Toronto Maple Leafs,2007,82,2.78,399,627,61,17.8,4,2542,9.0,1087,78.2,24,8,33.3
Vancouver Canucks,2007,82,2.52,351,558,63,17.0,8,2252,9.2,1474,82.6,56,13,23.2
Washington Capitals,2007,82,2.9,401,639,65,18.8,5,2538,9.4,975,80.5,39,10,25.6
Anaheim Ducks,2006,82,3.1,453,707,89,22.3,4,2582,9.8,1452,85.0,55,14,25.5
Atlanta Thrashers,2006,82,2.91,397,636,67,16.5,9,2438,9.8,1097,79.8,29,15,51.7
Boston Bruins,2006,82,2.56,361,571,71,17.2,8,2370,8.9,1256,81.7,54,18,33.3
Buffalo Sabres,2006,82,3.63,534,832,71,17.4,8,2417,12.3,1200,81.3,47,17,36.2
Calgary Flames,2006,82,3.11,446,701,73,18.2,15,2242,11.4,1204,80.4,29,9,31.0
Carolina Hurricanes,2006,82,2.94,429,670,67,15.0,12,2559,9.4,1021,84.6,17,1,5.9
Chicago Blackhawks,2006,82,2.38,324,519,43,11.8,12,2201,8.9,1332,82.6,47,17,36.2
Colorado Avalanche,2006,82,3.26,472,739,79,21.1,7,2603,10.3,884,80.2,33,12,36.4
Columbus Blue Jackets,2006,82,2.39,337,533,65,14.8,6,2273,8.6,1357,81.2,42,13,31.0
Dallas Stars,2006,82,2.65,387,604,79,18.5,3,2296,9.5,1133,84.4,51,18,35.3
Detroit Red Wings,2006,82,3.07,431,683,68,17.1,12,2771,9.1,982,84.6,39,10,25.6
Edmonton Oilers,2006,82,2.34,336,528,53,14.2,6,2193,8.8,1285,84.6,22,6,27.3
Florida Panthers,2006,82,2.99,417,662,61,18.1,5,2730,9.0,1181,82.4,38,9,23.7
Los Angeles Kings,2006,82,2.72,406,629,81,18.3,6,2542,8.8,1239,77.9,46,18,39.1
Minnesota Wild,2006,82,2.74,386,611,72,18.9,9,2431,9.3,862,86.0,62,27,43.5
Montreal Canadiens,2006,82,2.91,399,638,86,22.8,17,2426,9.9,1133,83.5,39,15,38.5
Nashville Predators,2006,82,3.24,473,739,71,17.4,8,2261,11.8,1179,85.8,34,14,41.2
New Jersey Devils,2006,82,2.51,385,591,65,17.7,4,2354,8.8,830,85.2,62,25,40.3
New York Islanders,2006,82,2.93,422,662,63,18.1,7,2459,9.8,1062,81.8,58,16,27.6
New York Rangers,2006,82,2.84,410,643,75,18.5,11,2586,9.0,1109,83.8,57,17,29.8
Ottawa Senators,2006,82,3.49,508,794,72,17.9,17,2651,10.8,1173,84.5,31,9,29.0
Philadelphia Flyers,2006,82,2.6,371,584,53,14.1,15,2361,9.0,1301,84.5,28,2,7.1
Pittsburgh Penguins,2006,82,3.26,468,735,94,20.3,14,2366,11.3,1249,82.1,47,17,36.2
San Jose Sharks,2006,82,3.12,459,715,92,22.4,7,2346,10.9,955,83.3,12,7,58.3
St. Louis Blues,2006,82,2.54,369,577,46,12.1,7,2202,9.4,1223,80.0,36,14,38.9
