Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Pittsburgh Penguins,48,3.38,283,445,42,24.7,2,1438,11.3,563,79.6,8,6,75.0
Chicago Blackhawks,48,3.1,248,397,25,16.6,5,1494,10.0,444,87.2,38,16,42.1
Tampa Bay Lightning,48,3.06,269,416,31,19.0,0,1323,11.1,577,80.6,10,2,20.0
Montreal Canadiens,48,3.04,260,406,42,20.7,0,1468,9.9,636,79.8,19,6,31.6
Washington Capitals,48,3.04,258,404,44,26.8,3,1350,10.8,516,77.9,9,5,55.6
Toronto Maple Leafs,48,3.02,249,394,31,18.7,1,1264,11.5,776,87.9,24,3,12.5
New York Islanders,48,2.81,234,369,31,19.9,2,1485,9.1,471,80.3,20,8,40.0
Anaheim Ducks,48,2.79,237,371,29,21.5,5,1347,9.9,535,81.5,30,15,50.0
Philadelphia Flyers,48,2.75,223,355,37,21.6,2,1394,9.5,755,85.9,9,3,33.3
Los Angeles Kings,48,2.73,228,359,33,19.9,2,1431,9.2,481,83.2,21,9,42.9
Calgary Flames,48,2.67,225,353,31,20.0,6,1293,9.9,518,81.5,11,2,18.2
Dallas Stars,48,2.67,226,354,29,17.0,2,1261,10.2,623,81.0,8,3,37.5
Boston Bruins,48,2.65,219,346,18,14.8,5,1557,8.2,584,87.1,29,9,31.0
Carolina Hurricanes,48,2.65,214,341,24,14.5,3,1545,8.2,538,77.6,4,2,50.0
New York Rangers,48,2.63,205,331,24,15.7,5,1483,8.5,444,81.1,28,9,32.1
Winnipeg Jets,48,2.63,215,341,20,13.8,1,1389,9.1,535,79.7,22,6,27.3
St. Louis Blues,48,2.58,221,345,29,19.5,3,1336,9.3,541,84.7,22,14,63.6
Edmonton Oilers,48,2.56,220,343,34,20.1,4,1285,9.6,522,83.4,11,5,45.5
Detroit Red Wings,48,2.54,213,335,34,18.4,3,1447,8.4,469,81.7,23,5,21.7
Vancouver Canucks,48,2.54,204,326,26,15.8,2,1350,9.0,609,84.0,33,8,24.2
Buffalo Sabres,48,2.46,203,321,23,14.1,7,1339,8.8,630,79.2,32,12,37.5
Minnesota Wild,48,2.46,208,326,27,17.9,1,1382,8.5,545,80.7,15,9,60.0
San Jose Sharks,48,2.42,195,311,34,20.1,3,1526,7.6,521,85.0,37,13,35.1
Columbus Blue Jackets,48,2.4,201,316,22,14.2,3,1283,9.0,605,82.6,28,11,39.3
Colorado Avalanche,48,2.38,197,311,21,15.0,3,1415,8.1,598,80.3,10,6,60.0
Ottawa Senators,48,2.33,198,310,25,15.9,2,1591,7.0,655,88.0,30,11,36.7
New Jersey Devils,48,2.29,176,286,28,15.9,11,1362,8.1,519,81.1,29,6,20.7
Florida Panthers,48,2.27,172,281,29,20.4,4,1400,7.8,541,74.2,10,5,50.0
Nashville Predators,48,2.27,191,300,24,17.1,1,1244,8.8,471,75.7,32,9,28.1
