Timestamp,Initials,Shot Distance (feet),# Out of 5,Group
2024-11-18 09:38:20,Lincoln,2,2,St. Thomas More Catholic Elementary School
2024-11-18 09:38:22,S 18,6,5,St. Thomas More Catholic Elementary School
2024-11-18 09:38:25,Isabelle,10,2,St. Thomas More Catholic Elementary School
2024-11-18 09:38:35,MAT,8,5,St. Thomas More Catholic Elementary School
2024-11-18 09:38:38,Sabrina,2,5,St. Thomas More Catholic Elementary School
2024-11-18 09:38:39,Micaela,2,4,St. Thomas More Catholic Elementary School
2024-11-18 09:38:40,JEL19,4,1,St. Thomas More Catholic Elementary School
2024-11-18 09:38:41,AC,2,1,St. Thomas More Catholic Elementary School
2024-11-18 09:38:48,R,2,1,St. Thomas More Catholic Elementary School
2024-11-18 09:38:49,MJY,6,2,St. Thomas More Catholic Elementary School
2024-11-18 09:38:50,Ca 19,2,3,St. Thomas More Catholic Elementary School
2024-11-18 09:38:50,Isabelle,8,3,St. Thomas More Catholic Elementary School
2024-11-18 09:39:10,MJY,4,1,St. Thomas More Catholic Elementary School
2024-11-18 09:41:04,PJB,2,5,St. Thomas More Catholic Elementary School
2024-11-18 09:43:14,PJB,4,4,St. Thomas More Catholic Elementary School
2024-11-18 10:20:26,IBP,2,2,St. Thomas More Catholic Elementary School
2024-11-18 10:21:00,Tj,2,0,St. Thomas More Catholic Elementary School
2024-11-18 10:21:10,A7A,2,2,St. Thomas More Catholic Elementary School
2024-11-18 10:22:12,LG,2,1,St. Thomas More Catholic Elementary School
2024-11-18 10:22:42,GHJ,2,2,St. Thomas More Catholic Elementary School
2024-11-18 10:23:29,VLU,2,4,St. Thomas More Catholic Elementary School
2024-11-18 10:23:49,MRS,2,1,St. Thomas More Catholic Elementary School
2024-11-18 10:23:49,EIMHB,2,2,St. Thomas More Catholic Elementary School
2024-11-18 10:23:55,JNS,2,1,St. Thomas More Catholic Elementary School
2024-11-18 10:24:03,IBP,4,3,St. Thomas More Catholic Elementary School
2024-11-18 10:24:39,A7A,4,5,St. Thomas More Catholic Elementary School
2024-11-18 10:24:40,JHS,2,3,St. Thomas More Catholic Elementary School
2024-11-18 10:24:51,IGN,2,4,St. Thomas More Catholic Elementary School
2024-11-18 10:24:56,AJP,2,1,St. Thomas More Catholic Elementary School
2024-11-18 10:26:08,JNS,4,3,St. Thomas More Catholic Elementary School
2024-11-18 10:26:38,JHS,4,3,St. Thomas More Catholic Elementary School
2024-11-18 10:26:38,MRS,4,1,St. Thomas More Catholic Elementary School
2024-11-18 10:26:43,ZMM,2,1,St. Thomas More Catholic Elementary School
2024-11-18 10:26:45,fb7,2,1,St. Thomas More Catholic Elementary School
2024-11-18 10:26:55,LG,4,2,St. Thomas More Catholic Elementary School
2024-11-18 10:26:57,KCAM,2,4,St. Thomas More Catholic Elementary School
2024-11-18 10:27:28,IBP,6,1,St. Thomas More Catholic Elementary School
2024-11-18 10:27:31,Tj,2,0,St. Thomas More Catholic Elementary School
2024-11-18 10:27:39,GHJ,4,3,St. Thomas More Catholic Elementary School
2024-11-18 10:27:53,AJP,2,0,St. Thomas More Catholic Elementary School
2024-11-18 10:28:02,A7A,6,2,St. Thomas More Catholic Elementary School
2024-11-18 10:28:07,fb7,4,2,St. Thomas More Catholic Elementary School
2024-11-18 10:28:13,Tj,4,2,St. Thomas More Catholic Elementary School
2024-11-18 10:28:16,IGN,4,5,St. Thomas More Catholic Elementary School
2024-11-18 10:28:34,VLU,4,3,St. Thomas More Catholic Elementary School
2024-11-18 10:28:45,fb7,4,4,St. Thomas More Catholic Elementary School
2024-11-18 10:29:34,ZMM,4,0,St. Thomas More Catholic Elementary School
2024-11-18 10:30:28,KCAM,4,3,St. Thomas More Catholic Elementary School
2024-11-18 10:31:21,as12,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:01:31,EIMHB,4,4,St. Thomas More Catholic Elementary School
2024-11-18 11:09:08,MRS,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:18:21,LNC,2,3,St. Thomas More Catholic Elementary School
2024-11-18 11:19:44,LNC,2,5,St. Thomas More Catholic Elementary School
2024-11-18 11:20:33,MFP,2,3,St. Thomas More Catholic Elementary School
2024-11-18 11:20:58,MFP,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:20:58,MGR,2,1,St. Thomas More Catholic Elementary School
2024-11-18 11:21:05,jayjos3,2,1,St. Thomas More Catholic Elementary School
2024-11-18 11:21:10,KRC,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:21:16,MGR,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:21:28,KRC,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:21:32,jayjos,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:21:34,MGR,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:21:42,EHA,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:21:48,MT12,2,3,St. Thomas More Catholic Elementary School
2024-11-18 11:21:49,KRC,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:21:52,MGR,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:21:53,SHREK19,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:21:53,N.G BALL,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:22:00,MER,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:00,SAV,2,1,St. Thomas More Catholic Elementary School
2024-11-18 11:22:08,SHREK19,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:22:08,MGR,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:22:08,MT12,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:22:09,KRC,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:13,EHA,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:22:17,SAV,4,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:19,MER,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:22:23,LUCBEJ,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:26,KRC,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:22:28,jayjos,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:31,N.G BALL,4,3,St. Thomas More Catholic Elementary School
