Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Wayne Gretzky,C,78,41,122,163,30,16,0:00,8,51,212,19.3,0,5,0,0,0.0,0,0,0.0
Brett Hull,RW,78,86,45,131,23,22,0:00,29,16,389,22.1,0,11,0,0,0.0,0,0,0.0
Adam Oates,C,61,25,90,115,15,29,0:00,3,38,139,18.0,0,3,0,0,0.0,0,0,0.0
Mark Recchi,RW,78,40,73,113,0,48,0:00,12,28,184,21.7,0,9,0,0,0.0,0,0,0.0
Barry Cullen,C,78,39,71,110,-6,101,0:00,14,29,205,19.0,0,3,0,0,0.0,0,0,0.0
Joe Sakic,C,80,48,61,109,-26,24,0:00,12,22,245,19.6,0,7,0,0,0.0,0,0,0.0
Steve Yzerman,C,80,51,57,108,-2,34,0:00,12,21,326,15.6,0,4,0,0,0.0,0,0,0.0
Theoren Fleury,RW,79,51,53,104,48,136,0:00,9,23,249,20.5,0,9,0,0,0.0,0,0,0.0
Al MacInnis,D,78,28,75,103,42,90,0:00,17,46,305,9.2,0,1,0,0,0.0,0,0,0.0
Steve Larmer,RW,80,44,57,101,37,79,0:00,17,26,231,19.0,0,9,0,0,0.0,0,0,0.0
Ray Bourque,D,76,21,73,94,33,75,0:00,7,38,323,6.5,0,3,0,0,0.0,0,0,0.0
Jeremy Roenick,C,79,41,53,94,38,80,0:00,15,23,194,21.1,0,10,0,0,0.0,0,0,0.0
Paul Coffey,D,76,24,69,93,-18,128,0:00,8,34,240,10.0,0,3,0,0,0.0,0,0,0.0
Craig Janney,C,77,26,66,92,15,8,0:00,9,25,133,19.5,0,5,0,0,0.0,0,0,0.0
Luc Robitaille,LW,76,45,46,91,28,68,0:00,11,12,229,19.7,0,5,0,0,0.0,0,0,0.0
Cam Neely,RW,69,51,40,91,26,98,0:00,18,10,262,19.5,0,8,0,0,0.0,0,0,0.0
Tomas Sandstrom,RW,68,45,44,89,27,106,0:00,16,12,221,20.4,0,6,0,0,0.0,0,0,0.0
Dale Hawerchuk,C,80,31,58,89,2,32,0:00,12,22,194,16.0,0,1,0,0,0.0,0,0,0.0
Brian Leetch,D,80,16,72,88,2,42,0:00,6,45,206,7.8,0,4,0,0,0.0,0,0,0.0
Ron Francis,C,81,23,64,87,-2,72,0:00,10,19,174,13.2,0,7,0,0,0.0,0,0,0.0
Kevin Stevens,LW,80,40,46,86,-1,133,0:00,18,20,253,15.8,0,6,0,0,0.0,0,0,0.0
Joe Nieuwendyk,C,79,45,40,85,19,36,0:00,22,14,222,20.3,0,1,0,0,0.0,0,0,0.0
Pat Lafontaine,C,75,41,44,85,-6,42,0:00,12,21,225,18.2,0,5,0,0,0.0,0,0,0.0
Pat Verbeek,RW,80,43,39,82,0,246,0:00,15,21,247,17.4,0,5,0,0,0.0,0,0,0.0
Dave Gagner,C,73,40,42,82,9,114,0:00,20,14,223,17.9,0,5,0,0,0.0,0,0,0.0
Doug Gilmour,C,78,20,61,81,27,144,0:00,2,15,135,14.8,0,5,0,0,0.0,0,0,0.0
Sergei Fedorov,C,77,31,48,79,11,66,0:00,11,16,259,12.0,0,5,0,0,0.0,0,0,0.0
Pierre Turgeon,C,78,32,47,79,14,26,0:00,13,8,174,18.4,0,3,0,0,0.0,0,0,0.0
Sergei Makarov,RW,78,30,49,79,15,44,0:00,9,15,93,32.3,0,5,0,0,0.0,0,0,0.0
John MacLean,RW,78,45,33,78,8,150,0:00,19,7,292,15.4,0,7,0,0,0.0,0,0,0.0
Phil Housley,D,78,23,53,76,-13,24,0:00,12,25,206,11.2,0,3,0,0,0.0,0,0,0.0
Russ Courtnall,RW,79,26,50,76,5,29,0:00,5,12,279,9.3,0,5,0,0,0.0,0,0,0.0
Brian Bellows,LW,80,35,40,75,-13,43,0:00,17,16,296,11.8,0,4,0,0,0.0,0,0,0.0
Kevin Hatcher,D,79,24,50,74,-10,69,0:00,9,24,267,9.0,0,3,0,0,0.0,0,0,0.0
Vincent Damphousse,LW,79,26,47,73,-31,65,0:00,10,15,247,10.5,0,4,0,0,0.0,0,0,0.0
Bernie Nicholls,C,71,25,48,73,5,96,0:00,8,22,163,15.3,0,2,0,0,0.0,0,0,0.0
Brian Propp,LW,79,26,47,73,7,58,0:00,9,24,171,15.2,0,1,0,0,0.0,0,0,0.0
Ed Olczyk,RW,79,30,41,71,-27,82,0:00,14,13,226,13.3,0,2,0,0,0.0,0,0,0.0
Rick Tocchet,RW,70,40,31,71,2,150,0:00,8,8,217,18.4,0,5,0,0,0.0,0,0,0.0
Mike Ridley,C,79,23,48,71,9,26,0:00,6,10,155,14.8,0,4,0,0,0.0,0,0,0.0
Trevor Linden,C,80,33,37,70,-25,65,0:00,16,14,229,14.4,0,4,0,0,0.0,0,0,0.0
Kirk Muller,LW,80,19,51,70,1,76,0:00,7,19,221,8.6,0,3,0,0,0.0,0,0,0.0
Gary Suter,D,79,12,58,70,26,102,0:00,6,32,258,4.7,0,1,0,0,0.0,0,0,0.0
Michal Pivonka,C,79,20,50,70,3,34,0:00,6,16,172,11.6,0,4,0,0,0.0,0,0,0.0
Dave Andreychuk,LW,80,36,33,69,11,32,0:00,13,14,234,15.4,0,4,0,0,0.0,0,0,0.0
Esa Tikkanen,LW,79,27,42,69,22,85,0:00,3,13,235,11.5,0,6,0,0,0.0,0,0,0.0
Mike Gartner,RW,79,49,20,69,-9,53,0:00,22,5,262,18.7,0,4,0,0,0.0,0,0,0.0
Pelle Eklund,C,73,19,50,69,-2,14,0:00,8,20,131,14.5,0,4,0,0,0.0,0,0,0.0
Neal Broten,C,79,13,56,69,-3,26,0:00,1,24,191,6.8,0,0,0,0,0.0,0,0,0.0
Petr Klima,LW,70,40,28,68,24,113,0:00,7,9,204,19.6,0,5,0,0,0.0,0,0,0.0
Darren Turcotte,C,74,26,41,67,-5,37,0:00,15,19,212,12.3,0,3,0,0,0.0,0,0,0.0
