Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Evgeni Malkin,C,75,50,59,109,18,70,21:01,12,22,339,14.7,1644,9,575,635,47.5,11,8,72.7
Steven Stamkos,C,82,60,37,97,7,66,22:01,12,13,303,19.8,2016,12,558,669,45.5,4,1,25.0
Claude Giroux,RW,77,28,65,93,6,29,21:32,6,32,242,11.6,1949,5,828,715,53.7,9,5,55.6
Jason Spezza,C,80,34,50,84,11,36,19:55,10,14,232,14.7,2091,2,909,791,53.5,10,6,60.0
Ilya Kovalchuk,LW,77,37,46,83,-9,33,24:26,10,19,310,11.9,1927,5,13,24,35.1,14,11,78.6
Phil Kessel,RW,82,37,45,82,-10,20,20:03,10,13,295,12.5,1874,6,9,19,32.1,7,1,14.3
John Tavares,C,82,31,50,81,-6,26,20:34,7,18,286,10.8,1777,8,814,772,51.3,7,2,28.6
Henrik Sedin,C,82,14,67,81,23,52,19:05,8,19,113,12.4,2034,6,652,650,50.1,0,0,0.0
James Neal,LW,80,40,41,81,6,87,19:08,18,12,329,12.2,1681,4,4,11,26.7,9,4,44.4
Patrik Elias,C,81,26,52,78,-8,16,19:51,8,21,164,15.9,2076,3,604,765,44.1,12,6,50.0
Erik Karlsson,D,81,19,59,78,16,42,25:19,3,25,261,7.3,2202,5,0,1,0.0,1,0,0.0
Marian Hossa,RW,81,29,48,77,18,20,19:57,9,11,248,11.7,2111,4,3,6,33.3,4,0,0.0
Joe Thornton,C,82,18,59,77,17,31,20:28,4,19,156,11.5,2217,2,557,436,56.1,0,0,0.0
Ray Whitney,LW,82,24,53,77,26,28,18:38,8,12,185,13.0,1712,1,4,11,26.7,11,6,54.5
Marian Gaborik,RW,82,41,35,76,15,34,19:30,10,11,276,14.9,1847,7,0,2,0.0,7,4,57.1
Anze Kopitar,C,82,25,51,76,12,20,21:20,8,18,230,10.9,2059,2,763,655,53.8,9,1,11.1
Jordan Eberle,RW,78,34,42,76,4,10,17:35,10,10,180,18.9,1689,4,12,15,44.4,12,3,25.0
Martin St. Louis,RW,77,25,49,74,-3,16,22:37,4,12,185,13.5,1847,3,18,23,43.9,2,1,50.0
Jason Pominville,RW,82,30,43,73,-7,12,19:40,8,18,235,12.8,1985,5,179,196,47.7,13,5,38.5
Loui Eriksson,LW,82,26,45,71,18,12,19:45,5,7,187,13.9,1951,3,7,9,43.8,11,5,45.5
Eric Staal,C,82,24,46,70,-20,48,21:32,7,16,262,9.2,2367,3,882,799,52.5,4,1,25.0
Henrik Zetterberg,C,82,22,47,69,14,47,19:50,3,11,267,8.2,1988,4,548,567,49.1,3,1,33.3
Patrick Sharp,LW,74,33,36,69,28,38,19:53,7,10,282,11.7,1822,8,139,152,47.8,8,1,12.5
Zach Parise,LW,82,31,38,69,-5,32,21:29,7,7,293,10.6,2117,3,30,33,47.6,16,8,50.0
Matt Moulson,LW,82,36,33,69,1,6,19:18,14,10,219,16.4,1718,5,2,2,50.0,4,2,50.0
Tyler Seguin,C,81,29,38,67,34,30,16:56,5,10,242,12.0,1653,7,46,60,43.4,12,6,50.0
Scott Hartnell,LW,82,37,30,67,19,136,17:46,16,7,232,15.9,1739,6,20,43,31.7,0,0,0.0
Jarome Iginla,RW,82,32,35,67,-10,43,20:36,8,11,251,12.7,1884,5,214,212,50.2,7,2,28.6
Daniel Sedin,LW,72,30,37,67,14,40,18:48,10,15,229,13.1,1798,6,6,13,31.6,1,0,0.0
Pavel Datsyuk,C,70,19,48,67,21,14,19:34,4,19,164,11.6,1769,5,702,547,56.2,11,5,45.5
Joffrey Lupul,RW,66,25,42,67,1,48,18:36,8,13,191,13.1,1430,3,21,37,36.2,3,2,66.7
P.A. Parenteau,RW,80,18,49,67,-8,89,18:39,6,13,167,10.8,1681,2,10,16,38.5,6,2,33.3
Brad Richards,C,82,25,41,66,-1,22,20:15,7,17,229,10.9,1823,9,682,634,51.8,9,1,11.1
Teemu Selanne,RW,82,26,40,66,-1,50,17:52,12,16,210,12.4,1726,4,145,155,48.3,10,5,50.0
Valtteri Filppula,C,81,23,43,66,18,14,18:15,3,8,144,16.0,1871,1,193,180,51.7,3,1,33.3
Patrick Kane,RW,82,23,43,66,7,40,20:11,4,8,253,9.1,2001,5,240,329,42.2,12,6,50.0
Teddy Purcell,RW,81,24,41,65,9,16,16:07,8,11,152,15.8,1607,3,3,14,17.6,2,1,50.0
Logan Couture,C,80,31,34,65,2,16,18:33,11,15,245,12.7,2022,5,468,442,51.4,4,0,0.0
Max Pacioretty,LW,79,33,32,65,2,56,18:15,4,9,286,11.5,1817,5,1,4,20.0,13,2,15.4
Alex Ovechkin,LW,78,38,27,65,-8,26,19:48,13,10,303,12.5,1651,3,6,9,40.0,8,3,37.5
Patrick Marleau,C,82,30,34,64,10,26,20:28,10,15,251,12.0,2205,8,243,224,52.0,1,0,0.0
Patrice Bergeron,C,81,22,42,64,36,20,18:34,5,9,191,11.5,2005,3,973,668,59.3,8,5,62.5
Blake Wheeler,RW,80,17,47,64,3,55,19:04,6,9,208,8.2,1739,3,4,6,40.0,6,4,66.7
Jamie Benn,LW,71,26,37,63,15,55,18:04,2,8,203,12.8,1695,7,347,404,46.2,8,4,50.0
Mike Ribeiro,C,74,18,45,63,5,66,20:02,2,13,142,12.7,1667,5,341,467,42.2,7,2,28.6
Radim Vrbata,RW,77,35,27,62,24,24,18:38,9,8,232,15.1,1739,12,27,40,40.3,13,4,30.8
Michael Ryder,RW,82,35,27,62,17,46,17:22,7,3,211,16.6,1711,6,34,37,47.9,7,1,14.3
David Krejci,C,79,23,39,62,-5,36,18:25,2,9,145,15.9,1701,2,544,501,52.1,10,5,50.0
Joe Pavelski,C,82,31,30,61,18,31,20:36,8,10,269,11.5,2240,2,507,357,58.7,10,4,40.0
Milan Lucic,LW,81,26,35,61,7,135,17:01,7,4,149,17.5,1613,1,14,16,46.7,0,0,0.0
Olli Jokinen,C,82,23,38,61,-12,54,18:57,9,15,223,10.3,1917,5,620,713,46.5,8,3,37.5
Erik Cole,LW,82,35,26,61,11,48,18:31,11,3,241,14.5,1919,6,24,32,42.9,3,0,0.0
Chris Kunitz,LW,82,26,35,61,16,49,18:18,6,12,230,11.3,1712,3,20,18,52.6,6,4,66.7
Tomas Fleischmann,LW,82,27,34,61,-7,26,19:05,6,16,217,12.4,2042,4,14,13,51.9,4,0,0.0
Thomas Vanek,LW,78,26,35,61,-6,52,16:56,10,14,204,12.7,1635,5,3,3,50.0,8,3,37.5
Milan Michalek,LW,77,35,25,60,4,32,19:33,10,5,212,16.5,2027,3,1,5,16.7,10,4,40.0
Corey Perry,RW,80,37,23,60,-7,127,21:22,14,9,277,13.4,1916,6,19,29,39.6,9,2,22.2
David Desharnais,C,81,16,44,60,10,24,18:23,3,17,98,16.3,1880,2,678,693,49.5,12,5,41.7
Daniel Alfredsson,RW,75,27,32,59,16,18,18:56,7,7,191,14.1,1880,4,20,26,43.5,6,5,83.3
