Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Trent Frederic,C,82,18,22,40,9,69,13:45,2,0,123,14.6,1577,1,132,159,45.4,0,0,0.0
Ross Colton,C,80,17,23,40,-8,61,13:43,3,2,146,11.6,1531,2,423,397,51.6,0,0,0.0
Marco Rossi,C,82,21,19,40,-4,47,16:43,2,4,167,12.6,1476,2,335,414,44.7,1,0,0.0
Morgan Geekie,C,76,17,22,39,6,28,15:24,4,8,130,13.1,1495,1,291,369,44.1,0,0,0.0
Luke Evangelista,RW,80,16,23,39,0,18,13:57,3,7,172,9.3,1337,1,1,3,25.0,0,0,0.0
Mikael Backlund,C,82,15,24,39,-4,24,19:14,2,1,209,7.2,2039,2,778,769,50.3,0,0,0.0
Cam Fowler,D,81,5,34,39,-36,24,24:25,2,16,109,4.6,2175,0,0,0,0.0,0,0,0.0
Torey Krug,D,77,4,35,39,-31,32,21:57,0,13,162,2.5,2047,2,0,0,0.0,0,0,0.0
Scott Laughton,C,82,13,26,39,-9,69,15:39,1,4,167,7.8,1721,2,478,499,48.9,0,0,0.0
Gustav Forsling,D,79,10,29,39,56,43,22:08,1,1,160,6.3,2130,1,0,0,0.0,0,0,0.0
Evan Rodrigues,C,80,12,27,39,26,34,15:10,3,7,186,6.5,1577,1,29,29,50.0,1,0,0.0
Rasmus Andersson,D,78,9,30,39,-11,47,23:49,0,8,159,5.7,2409,3,0,0,0.0,1,0,0.0
James van Riemsdyk,LW,71,11,27,38,7,20,13:30,6,6,142,7.7,1287,3,10,11,47.6,0,0,0.0
Sean Couturier,C,74,11,27,38,-10,29,17:49,3,4,192,5.7,1677,3,692,602,53.5,7,3,42.9
Tomas Hertl,C,54,17,21,38,-28,22,20:29,6,5,124,13.7,1229,2,565,418,57.5,2,0,0.0
Jake Sanderson,D,79,10,28,38,8,23,23:13,3,11,158,6.3,2213,3,1,0,100.0,0,0,0.0
Cole Perfetti,C,71,19,19,38,13,12,13:35,5,6,142,13.4,1153,3,38,63,37.6,0,0,0.0
Jake Neighbours,LW,77,27,11,38,-16,21,15:42,8,6,145,18.6,1454,4,11,18,37.9,3,2,66.7
Matty Beniers,C,77,15,22,37,-11,20,17:57,6,7,133,11.3,1675,1,527,584,47.4,6,1,16.7
Nick Foligno,LW,74,17,20,37,-29,57,17:45,8,8,146,11.6,1531,0,228,207,52.4,0,0,0.0
Anders Lee,LW,81,20,17,37,2,68,15:34,5,0,185,10.8,1654,2,19,25,43.2,0,0,0.0
Vladislav Namestnikov,C,78,11,26,37,17,37,14:27,3,2,95,11.6,1462,0,173,304,36.3,0,0,0.0
Stefan Noesen,RW,81,14,23,37,13,33,11:51,3,8,111,12.6,1322,3,46,63,42.2,1,0,0.0
Rickard Rakell,RW,70,15,22,37,4,22,16:30,4,2,165,9.1,1491,2,3,10,23.1,3,0,0.0
