Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Jaromir Jagr,RW,77,35,67,102,17,64,0:00,7,31,262,13.4,0,8,0,0,0.0,0,0,0.0
Peter Forsberg,C,72,25,66,91,6,94,0:00,7,30,202,12.4,0,7,0,0,0.0,0,0,0.0
Pavel Bure,LW,82,51,39,90,5,48,0:00,13,12,329,15.5,0,4,0,0,0.0,0,0,0.0
Wayne Gretzky,C,82,23,67,90,-11,28,0:00,6,24,201,11.4,0,4,0,0,0.0,0,0,0.0
Ron Francis,C,81,25,62,87,12,20,0:00,7,25,189,13.2,0,5,0,0,0.0,0,0,0.0
John LeClair,LW,82,51,36,87,30,32,0:00,16,11,303,16.8,0,9,0,0,0.0,0,0,0.0
Zigmund Palffy,RW,82,45,42,87,-2,34,0:00,17,18,277,16.2,0,5,0,0,0.0,0,0,0.0
Teemu Selanne,RW,73,52,34,86,12,30,0:00,10,7,268,19.4,0,10,0,0,0.0,0,0,0.0
Jason Allison,C,81,33,50,83,33,60,0:00,5,20,158,20.9,0,8,0,0,0.0,0,0,0.0
Jozef Stumpel,C,77,21,58,79,17,53,0:00,4,17,162,13.0,0,2,0,0,0.0,0,0,0.0
Peter Bondra,RW,76,52,26,78,14,44,0:00,11,10,284,18.3,0,13,0,0,0.0,0,0,0.0
Theoren Fleury,RW,82,27,51,78,0,197,0:00,3,19,282,9.6,0,4,0,0,0.0,0,0,0.0
Adam Oates,C,82,18,58,76,6,36,0:00,3,23,121,14.9,0,3,0,0,0.0,0,0,0.0
Rod Brind'Amour,C,82,36,38,74,-2,54,0:00,10,14,205,17.6,0,8,0,0,0.0,0,0,0.0
Mark Recchi,RW,82,32,42,74,11,51,0:00,9,20,216,14.8,0,6,0,0,0.0,0,0,0.0
Mats Sundin,C,82,33,41,74,-3,49,0:00,9,12,219,15.1,0,5,0,0,0.0,0,0,0.0
Tony Amonte,RW,82,31,42,73,21,66,0:00,7,12,296,10.5,0,5,0,0,0.0,0,0,0.0
Brett Hull,RW,66,27,45,72,-1,26,0:00,10,12,211,12.8,0,6,0,0,0.0,0,0,0.0
Alexey Yashin,C,82,33,39,72,6,24,0:00,5,14,291,11.3,0,6,0,0,0.0,0,0,0.0
Eric Lindros,RW,63,30,41,71,14,134,0:00,10,14,202,14.9,0,4,0,0,0.0,0,0,0.0
Doug Weight,C,79,26,44,70,1,69,0:00,9,20,205,12.7,0,4,0,0,0.0,0,0,0.0
Steve Yzerman,C,75,24,45,69,3,46,0:00,6,21,188,12.8,0,0,0,0,0.0,0,0,0.0
Joe Nieuwendyk,C,73,39,30,69,16,30,0:00,14,15,203,19.2,0,11,0,0,0.0,0,0,0.0
Pierre Turgeon,C,60,22,46,68,13,24,0:00,6,17,140,15.7,0,4,0,0,0.0,0,0,0.0
Valeri Kamensky,LW,75,26,40,66,-2,60,0:00,8,19,173,15.0,0,4,0,0,0.0,0,0,0.0
Dmitri Khristich,RW,82,29,37,66,25,42,0:00,13,10,144,20.1,0,1,0,0,0.0,0,0,0.0
Keith Tkachuk,LW,69,40,26,66,9,147,0:00,11,10,232,17.2,0,8,0,0,0.0,0,0,0.0
Stu Barnes,C,78,30,35,65,15,30,0:00,15,12,196,15.3,0,5,0,0,0.0,0,0,0.0
Bobby Holik,C,82,29,36,65,23,100,0:00,8,18,238,12.2,0,8,0,0,0.0,0,0,0.0
Ray Whitney,LW,77,33,32,65,9,28,0:00,12,17,175,18.9,0,2,0,0,0.0,0,0,0.0
Robert Reichel,C,82,25,40,65,-11,32,0:00,8,24,201,12.4,0,2,0,0,0.0,0,0,0.0
Jeff Friesen,LW,79,31,32,63,8,40,0:00,7,14,186,16.7,0,7,0,0,0.0,0,0,0.0
Sami Kapanen,RW,81,26,37,63,9,16,0:00,4,14,190,13.7,0,5,0,0,0.0,0,0,0.0
Keith Primeau,C,81,26,37,63,19,110,0:00,7,11,180,14.4,0,2,0,0,0.0,0,0,0.0
Joe Sakic,C,64,27,36,63,0,50,0:00,12,16,254,10.6,0,2,0,0,0.0,0,0,0.0
Geoff Courtnall,LW,79,31,31,62,12,94,0:00,6,8,189,16.4,0,5,0,0,0.0,0,0,0.0
Chris Gratton,F,82,22,40,62,11,159,0:00,5,8,182,12.1,0,2,0,0,0.0,0,0,0.0
Pat Lafontaine,C,67,23,39,62,-16,36,0:00,11,18,160,14.4,0,2,0,0,0.0,0,0,0.0
Mark Messier,C,82,22,38,60,-10,58,0:00,8,17,139,15.8,0,2,0,0,0.0,0,0,0.0
Glen Murray,RW,81,29,31,60,6,54,0:00,7,8,193,15.0,0,7,0,0,0.0,0,0,0.0
Vincent Damphousse,LW,76,18,41,59,14,58,0:00,2,13,164,11.0,0,5,0,0,0.0,0,0,0.0
Nicklas Lidstrom,D,80,17,42,59,22,18,0:00,7,26,205,8.3,0,1,0,0,0.0,0,0,0.0
Mike Modano,C,52,21,38,59,25,32,0:00,7,12,191,11.0,0,2,0,0,0.0,0,0,0.0
Saku Koivu,C,69,14,43,57,8,48,0:00,2,19,145,9.7,0,3,0,0,0.0,0,0,0.0
Scott Niedermayer,D,81,14,43,57,5,27,0:00,11,18,175,8.0,0,1,0,0,0.0,0,0,0.0
Brendan Shanahan,LW,75,28,29,57,6,154,0:00,15,9,266,10.5,0,9,0,0,0.0,0,0,0.0
Pat Verbeek,RW,82,31,26,57,15,170,0:00,9,9,190,16.3,0,8,0,0,0.0,0,0,0.0
Sergei Zubov,D,73,10,47,57,16,16,0:00,5,29,148,6.8,0,2,0,0,0.0,0,0,0.0
Steve Duchesne,D,80,14,42,56,9,32,0:00,5,24,153,9.2,0,1,0,0,0.0,0,0,0.0
Jeremy Roenick,C,79,24,32,56,5,103,0:00,6,14,182,13.2,0,3,0,0,0.0,0,0,0.0
Shayne Corson,LW,62,21,34,55,2,108,0:00,14,9,142,14.8,0,1,0,0,0.0,0,0,0.0
Cliff Ronning,C,80,11,44,55,5,36,0:00,3,19,197,5.6,0,0,0,0,0.0,0,0,0.0
Doug Gilmour,C,63,13,40,53,10,68,0:00,3,20,94,13.8,0,5,0,0,0.0,0,0,0.0
Alex Kovalev,RW,73,23,30,53,-22,44,0:00,8,14,173,13.3,0,3,0,0,0.0,0,0,0.0
Claude Lemieux,RW,78,26,27,53,-7,115,0:00,11,7,261,10.0,0,1,0,0,0.0,0,0,0.0
Steve Rucchin,LW,72,17,36,53,8,13,0:00,8,8,131,13.0,0,3,0,0,0.0,0,0,0.0
Martin Rucinsky,LW,78,21,32,53,13,84,0:00,5,9,192,10.9,0,3,0,0,0.0,0,0,0.0
Craig Janney,C,68,10,43,53,5,12,0:00,4,9,72,13.9,0,0,0,0,0.0,0,0,0.0
Pavol Demitra,LW,61,22,30,52,11,22,0:00,4,7,147,15.0,0,6,0,0,0.0,0,0,0.0
Vyacheslav Kozlov,LW,80,25,27,52,14,46,0:00,6,11,221,11.3,0,1,0,0,0.0,0,0,0.0
Jamie Langenbrunner,RW,81,23,29,52,9,61,0:00,8,11,159,14.5,0,6,0,0,0.0,0,0,0.0
Larry Murphy,D,82,11,41,52,35,37,0:00,2,12,129,8.5,0,2,0,0,0.0,0,0,0.0
Vladimir Tsyplakov,F,73,18,34,52,15,18,0:00,2,4,113,15.9,0,1,0,0,0.0,0,0,0.0
Teppo Numminen,D,82,11,40,51,25,30,0:00,6,16,126,8.7,0,2,0,0,0.0,0,0,0.0
Sandis Ozolinsh,D,66,13,38,51,-12,65,0:00,9,26,135,9.6,0,2,0,0,0.0,0,0,0.0
Rob Blake,D,81,23,27,50,-3,94,0:00,11,11,261,8.8,0,4,0,0,0.0,0,0,0.0
Brian Leetch,D,76,17,33,50,-36,32,0:00,11,23,230,7.4,0,2,0,0,0.0,0,0,0.0
Dean McAmmond,LW,77,19,31,50,9,46,0:00,8,12,128,14.8,0,3,0,0,0.0,0,0,0.0
Al MacInnis,D,71,19,30,49,6,80,0:00,9,17,227,8.4,0,2,0,0,0.0,0,0,0.0
Gary Roberts,F,61,20,29,49,3,103,0:00,4,9,106,18.9,0,2,0,0,0.0,0,0,0.0
