Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Connor McDavid,C,56,33,72,105,21,20,22:09,9,28,200,16.5,1182,11,316,322,49.5,0,0,0.0
Leon Draisaitl,C,56,31,53,84,29,22,22:11,15,17,168,18.5,1196,8,574,457,55.7,0,0,0.0
Brad Marchand,LW,53,29,40,69,26,46,18:54,4,14,143,20.3,1234,5,11,24,31.4,2,0,0.0
Mitch Marner,RW,55,20,47,67,21,20,22:25,0,14,156,12.8,1377,5,4,1,80.0,0,0,0.0
Mikko Rantanen,RW,52,30,36,66,30,34,19:55,9,15,177,16.9,1178,7,32,32,50.0,0,0,0.0
Auston Matthews,C,52,41,25,66,21,10,21:33,10,3,222,18.5,1217,12,450,417,51.9,1,0,0.0
Patrick Kane,RW,56,15,51,66,-7,14,22:13,3,19,191,7.9,1246,3,2,5,28.6,4,0,0.0
Nathan MacKinnon,C,48,20,45,65,22,37,20:21,8,17,206,9.7,1092,2,239,254,48.5,1,0,0.0
Mark Scheifele,C,56,21,42,63,-4,12,20:57,4,13,126,16.7,1233,4,352,355,49.8,2,0,0.0
Sidney Crosby,C,55,24,38,62,8,26,20:23,5,17,159,15.1,1392,5,676,586,53.6,2,1,50.0
Mark Stone,RW,55,21,40,61,26,28,19:03,6,11,98,21.4,1222,8,12,18,40.0,0,0,0.0
Jonathan Huberdeau,C,55,20,41,61,12,36,18:24,5,19,122,16.4,1166,1,17,22,43.6,3,1,33.3
David Perron,LW,56,19,39,58,6,22,18:32,6,15,151,12.6,1214,2,0,6,0.0,5,2,40.0
Aleksander Barkov,C,50,26,32,58,12,14,20:56,7,12,176,14.8,1208,6,563,463,54.9,2,1,50.0
Artemi Panarin,LW,42,17,41,58,14,6,19:38,5,13,106,16.0,890,1,0,3,0.0,2,1,50.0
Jake Guentzel,C,56,23,34,57,7,28,20:16,6,12,141,16.3,1403,7,3,9,25.0,2,1,50.0
Sebastian Aho,C,56,24,33,57,16,32,19:28,7,11,148,16.2,1303,7,365,327,52.7,1,0,0.0
Alex DeBrincat,RW,52,32,24,56,3,12,20:32,9,9,155,20.6,1116,7,16,24,40.0,3,1,33.3
Ryan O'Reilly,C,56,24,30,54,26,18,20:44,4,8,129,18.6,1392,4,704,492,58.9,4,0,0.0
Nicklas Backstrom,C,55,15,38,53,0,14,18:35,5,17,91,16.5,1221,0,353,378,48.3,3,1,33.3
Gabriel Landeskog,LW,54,20,32,52,14,34,19:57,9,6,155,12.9,1203,8,288,221,56.6,0,0,0.0
