Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Jarome Iginla,RW,82,52,44,96,27,77,22:21,16,14,311,16.7,2075,7,170,138,55.2,0,0,0.0
Markus Naslund,LW,81,40,50,90,22,50,19:30,8,23,302,13.2,1956,6,1,4,20.0,0,0,0.0
Todd Bertuzzi,RW,72,36,49,85,21,110,19:39,14,16,203,17.7,1777,3,74,77,49.0,0,0,0.0
Mats Sundin,C,82,41,39,80,6,94,19:20,10,14,262,15.6,1762,9,1041,771,57.5,0,0,0.0
Jaromir Jagr,RW,69,31,48,79,0,30,21:42,10,15,197,15.7,1514,3,1,1,50.0,0,0,0.0
Joe Sakic,C,82,26,53,79,12,18,22:00,9,16,260,10.0,2640,4,1122,1026,52.2,0,0,0.0
Pavol Demitra,LW,82,35,43,78,13,46,19:10,11,18,212,16.5,1955,10,589,635,48.1,0,0,0.0
Adam Oates,C,80,14,64,78,-4,28,21:52,3,26,102,13.7,1868,1,1108,857,56.4,0,0,0.0
Ron Francis,C,80,27,50,77,4,18,20:40,14,28,165,16.4,1971,5,669,467,58.9,0,0,0.0
Mike Modano,C,78,34,43,77,14,38,22:27,6,18,219,15.5,2246,5,919,791,53.7,0,0,0.0
Alex Kovalev,RW,67,32,44,76,2,80,24:02,8,14,266,12.0,1714,3,81,98,45.3,0,0,0.0
Craig Conroy,C,81,27,48,75,24,32,20:56,7,17,146,18.5,2230,4,898,756,54.3,0,0,0.0
Brendan Shanahan,LW,80,37,38,75,23,118,18:54,12,15,277,13.4,1779,7,33,37,47.1,0,0,0.0
Keith Tkachuk,LW,73,38,37,75,21,117,19:38,13,8,244,15.6,1774,7,38,50,43.2,0,0,0.0
Alexey Yashin,C,78,32,43,75,-3,25,20:37,15,15,239,13.4,1787,5,387,441,46.7,0,0,0.0
Jason Allison,C,73,19,55,74,2,68,21:47,5,32,139,13.7,1859,2,925,773,54.5,0,0,0.0
Eric Lindros,RW,72,37,36,73,19,138,21:03,12,3,196,18.9,1875,4,929,778,54.4,0,0,0.0
Miroslav Satan,RW,82,37,36,73,14,33,21:09,15,9,267,13.9,1870,5,2,2,50.0,0,0,0.0
Daniel Alfredsson,RW,78,37,34,71,3,45,20:18,9,14,243,15.2,1899,4,9,21,30.0,0,0,0.0
Glen Murray,RW,82,41,30,71,31,40,19:45,9,5,246,16.7,1796,9,10,30,25.0,0,0,0.0
Peter Bondra,RW,77,39,31,70,-2,80,21:42,17,11,333,11.7,1742,8,1,1,50.0,0,0,0.0
Radek Bonk,C,82,25,45,70,3,52,17:57,6,21,170,14.7,1978,5,780,750,51.0,0,0,0.0
Eric Daze,RW,82,38,32,70,17,36,17:07,12,13,264,14.4,1889,5,0,5,0.0,0,0,0.0
Sergei Samsonov,LW,74,29,41,70,21,27,18:47,3,12,192,15.1,1518,4,0,1,0.0,0,0,0.0
Andrew Brunette,LW,81,21,48,69,-4,18,16:01,10,22,106,19.8,1743,2,65,46,58.6,0,0,0.0
Pavel Bure,LW,68,34,35,69,-5,62,25:00,12,12,287,11.8,1772,2,2,6,25.0,0,0,0.0
Sami Kapanen,RW,77,27,42,69,9,23,20:38,11,21,248,10.9,1790,4,1,6,14.3,0,0,0.0
