Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Sidney Crosby,C,80,36,68,104,18,46,21:58,11,27,259,13.9,1917,5,991,896,52.5,8,3,37.5
Ryan Getzlaf,C,77,31,56,87,28,31,21:17,5,18,204,15.2,1943,7,692,719,49.0,6,0,0.0
Claude Giroux,RW,82,28,58,86,7,46,20:26,7,30,223,12.6,2062,7,931,829,52.9,11,5,45.5
Tyler Seguin,C,80,37,47,84,16,18,19:20,11,14,294,12.6,1874,8,281,396,41.5,7,2,28.6
Corey Perry,RW,81,43,39,82,32,65,19:28,8,10,280,15.4,1879,9,9,16,36.0,8,4,50.0
Phil Kessel,RW,82,37,43,80,-5,27,20:39,8,12,305,12.1,2009,6,2,12,14.3,3,0,0.0
Taylor Hall,LW,75,27,53,80,-15,44,20:00,7,10,250,10.8,1908,1,37,44,45.7,2,1,50.0
Jamie Benn,LW,81,34,45,79,21,64,19:09,5,14,279,12.2,2029,3,411,367,52.8,9,1,11.1
Alex Ovechkin,LW,78,51,28,79,-35,48,20:32,24,15,386,13.2,1700,10,2,1,66.7,16,2,12.5
Joe Pavelski,C,82,41,38,79,23,32,19:51,16,15,225,18.2,2221,3,675,531,56.0,14,5,35.7
Nicklas Backstrom,C,82,18,61,79,-20,54,19:48,6,38,196,9.2,1911,1,714,701,50.5,17,7,41.2
Patrick Sharp,LW,82,34,44,78,13,40,18:53,10,15,313,10.9,1864,3,83,69,54.6,13,6,46.2
Joe Thornton,C,82,11,65,76,20,32,18:55,2,17,122,9.0,2156,3,617,482,56.1,3,3,100.0
Erik Karlsson,D,82,20,54,74,-15,36,27:04,5,26,257,7.8,2348,1,0,0,0.0,2,1,50.0
Evgeni Malkin,C,60,23,49,72,10,62,20:03,7,23,191,12.0,1283,3,303,318,48.8,5,3,60.0
Patrick Marleau,C,82,33,37,70,0,18,20:31,11,12,285,11.6,2237,4,163,145,52.9,11,5,45.5
