Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Wayne Gretzky,C,81,38,92,130,-25,20,0:00,14,47,233,16.3,0,0,0,0,0.0,0,0,0.0
Sergei Fedorov,C,82,56,64,120,48,34,0:00,13,15,337,16.6,0,10,0,0,0.0,0,0,0.0
Adam Oates,C,77,32,80,112,10,45,0:00,16,29,197,16.2,0,3,0,0,0.0,0,0,0.0
Doug Gilmour,C,83,27,84,111,25,105,0:00,10,30,167,16.2,0,3,0,0,0.0,0,0,0.0
Pavel Bure,LW,76,60,47,107,1,86,0:00,25,18,374,16.0,0,9,0,0,0.0,0,0,0.0
Mark Recchi,RW,84,40,67,107,-2,46,0:00,11,25,217,18.4,0,5,0,0,0.0,0,0,0.0
Jeremy Roenick,C,84,46,61,107,21,125,0:00,24,17,281,16.4,0,5,0,0,0.0,0,0,0.0
Brendan Shanahan,LW,81,52,50,102,-9,211,0:00,15,27,397,13.1,0,8,0,0,0.0,0,0,0.0
Dave Andreychuk,LW,83,53,46,99,22,98,0:00,21,23,333,15.9,0,8,0,0,0.0,0,0,0.0
Jaromir Jagr,RW,80,32,67,99,15,61,0:00,9,20,298,10.7,0,6,0,0,0.0,0,0,0.0
Rod Brind'Amour,C,84,35,62,97,-9,85,0:00,14,17,230,15.2,0,4,0,0,0.0,0,0,0.0
Brett Hull,RW,81,57,40,97,-3,38,0:00,25,16,392,14.5,0,6,0,0,0.0,0,0,0.0
Eric Lindros,RW,65,44,53,97,16,103,0:00,13,14,197,22.3,0,9,0,0,0.0,0,0,0.0
Pierre Turgeon,C,69,38,56,94,14,18,0:00,10,22,254,15.0,0,6,0,0,0.0,0,0,0.0
Ron Francis,C,82,27,66,93,-3,62,0:00,8,33,216,12.5,0,2,0,0,0.0,0,0,0.0
Mike Modano,C,76,50,43,93,-8,54,0:00,18,21,281,17.8,0,4,0,0,0.0,0,0,0.0
