Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Connor McDavid,C,82,30,70,100,27,26,21:07,3,24,251,12.0,1998,6,348,458,43.2,4,2,50.0
Sidney Crosby,C,75,44,45,89,17,24,19:52,14,11,255,17.3,1852,5,842,906,48.2,8,3,37.5
Patrick Kane,RW,82,34,55,89,11,32,21:23,7,16,292,11.6,1910,5,7,44,13.7,5,1,20.0
Nicklas Backstrom,C,82,23,63,86,17,38,18:15,8,27,162,14.2,1842,5,685,648,51.4,5,1,20.0
Brad Marchand,LW,80,39,46,85,18,81,19:26,9,15,226,17.3,1942,8,13,23,36.1,4,2,50.0
Nikita Kucherov,RW,74,40,45,85,13,38,19:26,17,15,246,16.3,1735,7,0,0,0.0,6,2,33.3
Mark Scheifele,C,79,32,50,82,18,38,20:33,7,8,160,20.0,1969,5,635,826,43.5,3,1,33.3
Leon Draisaitl,C,82,29,48,77,7,20,18:53,10,17,172,16.9,1865,5,476,496,49.0,6,3,50.0
Brent Burns,D,82,29,47,76,19,40,24:51,8,17,320,9.1,2295,6,0,0,0.0,1,0,0.0
Vladimir Tarasenko,RW,82,39,36,75,-1,12,18:28,9,13,286,13.6,2064,8,5,5,50.0,4,1,25.0
Blake Wheeler,RW,82,26,48,74,6,47,20:08,5,16,259,10.0,2150,4,43,51,45.7,3,0,0.0
Artemi Panarin,LW,82,31,43,74,18,21,19:28,9,8,211,14.7,1817,5,2,8,20.0,5,4,80.0
Ryan Getzlaf,C,74,15,58,73,7,49,21:04,6,14,138,10.9,1973,3,509,503,50.3,5,3,60.0
Evgeni Malkin,C,62,33,39,72,18,77,18:37,11,12,191,17.3,1416,6,365,481,43.1,5,1,20.0
Victor Hedman,D,79,16,56,72,3,47,24:30,4,29,166,9.6,2201,5,0,0,0.0,1,0,0.0
Tyler Seguin,C,82,26,46,72,-15,22,18:27,11,18,301,8.6,1990,4,401,385,51.0,3,2,66.7
Erik Karlsson,D,77,17,54,71,10,28,26:50,4,23,218,7.8,2425,5,0,0,0.0,5,2,40.0
Phil Kessel,RW,82,23,47,70,3,20,17:56,8,22,229,10.0,1797,4,5,10,33.3,6,3,50.0
David Pastrnak,RW,75,34,36,70,11,34,17:58,10,14,262,13.0,1597,6,2,1,66.7,4,1,25.0
Mikael Granlund,C,81,26,43,69,23,12,18:49,7,13,177,14.7,1919,4,16,17,48.5,1,0,0.0
Alex Ovechkin,LW,82,33,36,69,6,50,18:21,17,9,313,10.5,1737,7,0,1,0.0,3,0,0.0
Jamie Benn,LW,77,26,43,69,-9,66,19:22,12,14,201,12.9,2085,4,212,200,51.5,3,1,33.3
Auston Matthews,C,82,40,29,69,2,14,17:37,8,13,279,14.3,1894,8,530,602,46.8,8,2,25.0
Henrik Zetterberg,C,82,17,51,68,15,22,19:43,2,11,195,8.7,1973,0,705,657,51.8,4,3,75.0
Joe Pavelski,C,81,29,39,68,11,34,19:07,7,15,233,12.4,1964,7,449,407,52.5,3,0,0.0
Max Pacioretty,LW,81,35,32,67,15,38,19:10,8,5,268,13.1,2005,7,27,23,54.0,4,0,0.0
Jeff Carter,C,82,32,34,66,2,41,18:01,10,12,250,12.8,1920,9,735,680,51.9,4,3,75.0
John Tavares,C,77,28,38,66,4,38,20:25,7,11,260,10.8,1906,3,824,804,50.6,3,2,66.7
Eric Staal,C,82,28,37,65,17,34,18:36,4,12,211,13.3,1926,8,577,597,49.1,1,1,100.0
Nikolaj Ehlers,LW,82,25,39,64,1,38,17:29,5,7,204,12.3,1845,4,0,4,0.0,1,0,0.0
Patrik Laine,LW,73,36,28,64,7,26,17:54,9,5,204,17.6,1633,5,0,3,0.0,4,3,75.0
