Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alex Ovechkin,LW,82,65,47,112,28,40,23:06,22,15,446,14.6,1752,11,7,11,38.9,6,1,16.7
Evgeni Malkin,C,82,47,59,106,16,78,21:19,17,23,272,17.3,1983,5,350,540,39.3,5,0,0.0
Jarome Iginla,RW,82,50,48,98,27,83,21:26,15,18,338,14.8,2022,9,245,200,55.1,5,3,60.0
Pavel Datsyuk,C,82,31,66,97,41,20,21:21,10,30,264,11.7,2136,6,453,380,54.4,10,4,40.0
Joe Thornton,C,82,29,67,96,18,59,21:24,11,26,178,16.3,2018,5,785,700,52.9,1,1,100.0
Vincent Lecavalier,C,81,40,52,92,-17,89,22:57,10,19,318,12.6,2014,7,815,856,48.8,3,1,33.3
Jason Spezza,C,76,34,58,92,26,66,20:40,11,22,210,16.2,1698,6,729,716,50.5,6,4,66.7
Henrik Zetterberg,C,75,43,49,92,30,34,22:04,16,20,358,12.0,1994,7,666,544,55.0,10,3,30.0
Daniel Alfredsson,RW,70,40,49,89,15,34,22:16,9,16,217,18.4,1707,5,21,18,53.8,7,2,28.6
Ilya Kovalchuk,LW,79,52,35,87,-12,52,21:30,16,14,283,18.4,1589,4,14,18,43.8,10,4,40.0
Alex Kovalev,RW,82,35,49,84,18,70,19:33,17,30,230,15.2,1727,5,32,26,55.2,7,1,14.3
Marian Gaborik,RW,77,42,41,83,17,63,19:36,11,13,278,15.1,2066,8,6,15,28.6,5,1,20.0
Mike Ribeiro,C,76,27,56,83,21,46,18:25,7,24,107,25.2,1427,5,397,487,44.9,5,1,20.0
Martin St. Louis,RW,82,25,58,83,-23,26,24:17,10,19,241,10.4,2070,5,3,9,25.0,3,0,0.0
Dany Heatley,LW,71,41,41,82,33,76,21:44,13,12,224,18.3,1634,8,15,11,57.7,4,0,0.0
Ryan Getzlaf,C,77,24,58,82,32,94,19:39,4,32,185,13.0,1815,2,545,607,47.3,12,2,16.7
Eric Staal,C,82,38,44,82,-2,50,21:38,14,21,310,12.3,2134,7,767,941,44.9,2,1,50.0
Derek Roy,C,78,32,49,81,13,46,20:58,6,17,218,14.7,1838,4,713,680,51.2,5,1,20.0
Jason Pominville,RW,82,27,53,80,16,20,19:58,2,25,232,11.6,1932,1,25,42,37.3,4,2,50.0
Shane Doan,RW,80,28,50,78,4,59,20:44,9,18,243,11.5,2055,5,77,110,41.2,4,1,25.0
Marc Savard,C,74,15,63,78,3,66,20:30,4,27,196,7.7,1839,2,802,753,51.6,1,0,0.0
Mats Sundin,C,74,32,46,78,17,76,20:04,10,19,259,12.4,1983,4,945,768,55.2,6,3,50.0
Anze Kopitar,C,82,32,45,77,-15,22,20:40,12,22,201,15.9,2076,3,566,584,49.2,8,3,37.5
Henrik Sedin,C,82,15,61,76,6,56,19:29,4,25,141,10.6,1985,2,643,726,47.0,1,0,0.0
Mike Richards,C,73,28,47,75,14,76,21:30,8,23,212,13.2,1866,6,698,683,50.5,6,2,33.3
Brenden Morrow,LW,82,32,42,74,23,105,19:59,12,16,207,15.5,1747,7,16,25,39.0,1,1,100.0
Daniel Sedin,LW,82,29,45,74,6,50,19:01,12,20,247,11.7,1923,7,17,21,44.7,4,1,25.0
Jason Arnott,C,79,28,44,72,19,54,18:59,13,9,248,11.3,1762,3,614,646,48.7,0,0,0.0
Daniel Briere,C,79,31,41,72,-22,68,18:52,14,23,182,17.0,1742,3,631,619,50.5,7,3,42.9
J.P. Dumont,RW,80,29,43,72,5,34,18:29,7,9,192,15.1,1761,8,3,10,23.1,4,0,0.0
Sidney Crosby,C,53,24,48,72,18,39,20:50,6,21,173,13.9,1294,4,567,536,51.4,7,2,28.6
Patrick Kane,RW,82,21,51,72,-5,52,18:21,7,21,191,11.0,1838,4,16,10,61.5,9,7,77.8
Paul Stastny,C,66,24,47,71,22,24,21:04,3,18,138,17.4,1724,4,561,540,51.0,1,0,0.0
Jaromir Jagr,RW,82,25,46,71,8,58,20:28,7,22,249,10.0,1848,5,1,2,33.3,5,0,0.0
Olli Jokinen,C,82,34,37,71,-19,67,19:54,18,15,341,10.0,1940,5,404,534,43.1,8,3,37.5
Vinny Prospal,LW,80,33,38,71,0,45,19:22,10,9,215,15.3,1764,5,146,116,55.7,1,1,100.0
Ales Hemsky,RW,74,20,51,71,-9,34,18:34,8,22,184,10.9,1671,2,1,4,20.0,16,6,37.5
Scott Gomez,C,81,16,54,70,3,36,19:53,7,22,242,6.6,1842,3,612,553,52.5,4,2,50.0
Nicklas Lidstrom,D,76,10,60,70,40,40,26:43,5,29,188,5.3,2218,4,0,0,0.0,0,0,0.0
Rick Nash,LW,80,38,31,69,2,95,20:29,10,12,329,11.6,2286,6,14,30,31.8,10,4,40.0
Tomas Plekanec,C,81,29,40,69,15,42,18:04,12,13,186,15.6,1759,6,683,698,49.5,4,0,0.0
Nicklas Backstrom,C,82,14,55,69,13,24,19:00,3,22,153,9.2,1637,4,405,468,46.4,2,1,50.0
Alexander Frolov,LW,71,23,44,67,1,22,18:48,5,13,160,14.4,1621,7,2,9,18.2,2,0,0.0
Marian Hossa,RW,72,29,37,66,-14,36,21:21,8,21,264,11.0,1692,4,4,11,26.7,10,2,20.0
Kristian Huselius,F,81,25,41,66,10,40,17:41,6,19,202,12.4,1720,5,1,3,25.0,5,4,80.0
Sergei Gonchar,D,78,12,53,65,13,66,25:54,8,38,173,6.9,2157,2,0,0,0.0,1,0,0.0
Paul Kariya,LW,82,16,49,65,-10,50,18:30,5,16,223,7.2,1906,1,0,6,0.0,6,0,0.0
Daymond Langkow,C,80,30,35,65,16,19,18:49,14,9,201,14.9,1799,4,357,460,43.7,0,0,0.0
Cory Stillman,LW,79,24,41,65,-15,24,18:58,11,18,166,14.5,1808,6,7,10,41.2,0,0,0.0
Brad Boyes,RW,82,43,22,65,1,20,17:56,11,8,207,20.8,1825,9,105,131,44.5,8,4,50.0
Zach Parise,LW,81,32,33,65,13,25,18:03,10,13,266,12.0,1773,8,50,54,48.1,11,4,36.4
Thomas Vanek,LW,82,36,28,64,-5,64,16:51,19,5,240,15.0,1605,9,6,7,46.2,6,1,16.7
Petr Sykora,RW,81,28,35,63,1,41,16:50,15,12,201,13.9,1706,4,9,6,60.0,7,2,28.6
Pierre-Marc Bouchard,C,81,13,50,63,11,34,16:50,6,19,129,10.1,1861,4,4,6,40.0,3,1,33.3
Brian Campbell,D,83,8,54,62,8,20,25:06,5,28,142,5.6,2248,0,0,0,0.0,0,0,0.0
