Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Joe Thornton,C,81,29,96,125,31,61,21:19,11,40,195,14.9,2105,6,922,876,51.3,5,1,20.0
Jaromir Jagr,RW,82,54,69,123,34,72,22:04,24,28,368,14.7,1855,9,1,5,16.7,8,2,25.0
Alex Ovechkin,LW,81,52,54,106,2,52,21:37,21,31,425,12.2,1959,5,2,14,12.5,13,6,46.2
Daniel Alfredsson,RW,77,43,60,103,29,50,21:41,16,32,249,17.3,1786,8,9,35,20.5,8,2,25.0
Dany Heatley,LW,82,50,53,103,29,86,21:09,23,20,300,16.7,1829,7,89,77,53.6,8,2,25.0
Sidney Crosby,C,81,39,63,102,-1,110,20:07,16,31,278,14.0,1957,5,534,640,45.5,6,2,33.3
Eric Staal,C,82,45,55,100,-8,81,19:38,19,21,279,16.1,2066,4,557,751,42.6,4,1,25.0
Ilya Kovalchuk,LW,78,52,46,98,-6,68,22:23,27,29,323,16.1,1760,7,19,28,40.4,10,1,10.0
Marc Savard,C,82,28,69,97,7,100,20:30,14,36,212,13.2,2028,4,789,740,51.6,3,1,33.3
Jonathan Cheechoo,RW,82,56,37,93,23,58,19:57,24,17,317,17.7,2003,11,4,16,20.0,6,1,16.7
Marian Hossa,RW,80,39,53,92,17,67,21:41,14,25,341,11.4,2098,7,4,11,26.7,9,3,33.3
Brad Richards,C,82,23,68,91,0,32,22:45,7,39,282,8.2,2042,0,647,641,50.2,9,6,66.7
Teemu Selanne,RW,80,40,50,90,28,44,17:47,18,22,267,15.0,1757,5,88,124,41.5,7,2,28.6
Jason Spezza,C,68,19,71,90,23,33,19:00,7,34,156,12.2,1332,5,642,578,52.6,2,0,0.0
Olli Jokinen,C,82,38,51,89,14,88,20:29,14,23,351,10.8,2054,9,447,507,46.9,9,4,44.4
Brian Gionta,RW,82,48,41,89,18,46,19:49,24,10,291,16.5,2012,10,28,45,38.4,10,4,40.0
Joe Sakic,C,82,32,55,87,10,60,19:54,10,24,263,12.2,2177,6,876,793,52.5,7,0,0.0
Pavel Datsyuk,C,75,28,59,87,26,22,17:53,11,28,146,19.2,1670,4,561,496,53.1,6,3,50.0
Patrick Marleau,C,82,34,52,86,-12,26,19:55,20,24,260,13.1,1954,4,569,647,46.8,5,0,0.0
Paul Kariya,LW,82,31,54,85,-6,40,19:04,14,32,245,12.7,1921,3,1,8,11.1,7,5,71.4
Andy McDonald,C,82,34,51,85,24,32,16:47,13,25,229,14.8,1804,7,623,485,56.2,6,2,33.3
Henrik Zetterberg,C,77,39,46,85,29,30,18:57,17,18,270,14.4,1861,9,293,290,50.3,4,2,50.0
Scott Gomez,C,82,33,51,84,8,42,18:46,9,24,244,13.5,1867,5,754,680,52.6,3,2,66.7
Brendan Shanahan,LW,82,40,41,81,29,105,16:35,14,14,289,13.8,1790,6,13,13,50.0,1,0,0.0
Nicklas Lidstrom,D,80,16,64,80,21,50,28:06,9,41,243,6.6,2265,2,0,0,0.0,0,0,0.0
Vinny Prospal,LW,81,25,55,80,-3,50,19:10,10,17,236,10.6,1792,3,121,146,45.3,3,2,66.7
Simon Gagne,LW,72,47,32,79,31,38,20:45,12,11,334,14.1,1975,7,7,11,38.9,6,2,33.3
Markus Naslund,LW,81,32,47,79,-19,66,18:27,13,29,264,12.1,1825,2,2,4,33.3,7,2,28.6
Michael Nylander,C,81,23,56,79,31,76,19:19,6,11,172,13.4,1738,4,532,611,46.5,11,5,45.5
Brian Rolston,RW,82,34,45,79,14,50,20:21,15,17,293,11.6,2373,7,187,216,46.4,7,3,42.9
Mats Sundin,C,70,31,47,78,7,58,19:58,16,26,220,14.1,1741,2,841,716,54.0,7,1,14.3
Alex Tanguay,LW,71,29,49,78,8,46,18:22,8,21,125,23.2,1727,4,6,14,30.0,6,2,33.3
Mike Modano,C,78,27,50,77,23,58,19:33,12,22,207,13.0,1918,4,726,695,51.1,7,3,42.9
Ales Hemsky,RW,81,19,58,77,-5,64,16:58,7,35,178,10.7,1713,4,3,4,42.9,14,5,35.7
Jason Arnott,C,81,32,44,76,13,102,17:11,11,18,167,19.2,1784,5,668,638,51.1,1,0,0.0
Cory Stillman,LW,72,21,55,76,-9,32,18:40,10,24,177,11.9,1694,3,3,8,27.3,3,1,33.3
Martin Straka,F,82,22,54,76,17,42,19:09,4,29,171,12.9,1741,4,94,143,39.7,6,1,16.7
Justin Williams,RW,82,31,45,76,1,60,21:08,8,17,255,12.2,2287,4,5,12,29.4,2,1,50.0
Peter Forsberg,C,60,19,56,75,21,46,18:47,8,24,132,14.4,1450,2,476,465,50.6,7,3,42.9
Vincent Lecavalier,C,80,35,40,75,0,90,20:07,13,19,309,11.3,1881,7,700,666,51.2,9,4,44.4
Henrik Sedin,C,82,18,57,75,11,56,16:53,5,27,113,15.9,1873,0,631,618,50.5,0,0,0.0
Maxim Afinogenov,RW,77,22,51,73,6,84,16:20,11,20,241,9.1,1449,3,3,14,17.6,5,3,60.0
Shawn Horcoff,C,79,22,51,73,0,85,19:58,3,21,167,13.2,2069,5,749,672,52.7,1,0,0.0
Patrice Bergeron,C,81,31,42,73,3,22,20:34,12,17,310,10.0,2221,6,791,656,54.7,9,2,22.2
Todd Bertuzzi,RW,82,25,46,71,-17,120,19:06,12,20,200,12.5,1939,3,161,206,43.9,5,2,40.0
Vyacheslav Kozlov,LW,82,25,46,71,14,33,17:46,8,16,206,12.1,1859,1,126,191,39.7,7,5,71.4
Daniel Sedin,LW,82,22,49,71,7,34,16:38,11,21,204,10.8,1860,4,22,29,43.1,3,1,33.3
Sergei Zubov,D,78,13,58,71,20,46,26:26,9,30,141,9.2,2173,0,0,0,0.0,12,7,58.3
Rod Brind'Amour,C,78,31,39,70,8,68,24:17,19,16,198,15.7,2364,5,1268,877,59.1,4,1,25.0
Brad Boyes,RW,82,26,43,69,11,30,15:45,8,14,203,12.8,1726,3,142,123,53.6,6,2,33.3
Jarret Stoll,C,82,22,46,68,4,74,18:22,11,20,243,9.1,1979,4,765,583,56.8,3,1,33.3
Bryan McCabe,D,73,19,49,68,-1,116,28:17,13,32,207,9.2,2071,6,0,1,0.0,0,0,0.0
Steve Sullivan,LW,69,31,37,68,2,50,19:05,13,21,192,16.1,1685,5,22,20,52.4,7,3,42.9
Chris Drury,C,81,30,37,67,-11,32,18:05,16,21,172,17.4,1865,5,911,730,55.5,1,0,0.0
Jarome Iginla,RW,82,35,32,67,5,86,21:41,17,14,293,11.9,2154,6,293,248,54.2,9,1,11.1
Tomas Kaberle,D,82,9,58,67,-1,46,28:10,6,45,163,5.5,2307,2,0,0,0.0,0,0,0.0
Lubomir Visnovsky,D,80,17,50,67,7,50,23:16,10,31,152,11.2,1958,3,1,0,100.0,0,0,0.0
Craig Conroy,C,78,22,44,66,13,78,19:13,5,16,154,14.3,2073,3,732,697,51.2,1,0,0.0
Shane Doan,RW,82,30,36,66,-9,123,19:07,17,24,254,11.8,1971,7,55,71,43.7,3,1,33.3
Marian Gaborik,RW,65,38,28,66,6,64,18:25,10,12,252,15.1,1662,7,3,8,27.3,6,0,0.0
Miroslav Satan,RW,82,35,31,66,-8,54,19:08,17,10,253,13.8,1874,2,182,160,53.2,10,7,70.0
Ryan Smyth,LW,75,36,30,66,-5,58,20:12,19,12,230,15.7,1857,3,76,83,47.8,13,4,30.8
Alexey Yashin,C,82,28,38,66,-14,68,18:29,10,22,253,11.1,1817,2,560,556,50.2,7,2,28.6
Mike Knuble,RW,82,34,31,65,25,80,20:20,13,10,217,15.7,2193,6,52,109,32.3,2,0,0.0
Alex Kovalev,RW,69,23,42,65,-1,76,19:28,9,24,206,11.2,1482,5,23,24,48.9,4,1,25.0
Brenden Morrow,LW,81,23,42,65,30,183,19:15,8,9,146,15.8,1924,4,12,20,37.5,1,1,100.0
David Vyborny,RW,80,22,43,65,-9,50,20:41,5,27,145,15.2,1930,6,88,204,30.1,7,1,14.3
Mark Recchi,RW,83,28,36,64,-36,68,20:24,13,21,199,14.1,2123,3,189,204,48.1,4,0,0.0
Andrew Brunette,LW,82,24,39,63,9,48,15:00,11,17,129,18.6,1733,2,6,12,33.3,1,0,0.0
Scott Niedermayer,D,82,13,50,63,8,96,25:29,9,27,181,7.2,2157,3,2,5,28.6,1,0,0.0
Mike Sillinger,C,79,32,31,63,-17,63,19:14,14,16,211,15.2,2036,2,748,587,56.0,5,1,20.0
Pavol Demitra,LW,58,25,37,62,21,42,21:04,7,19,184,13.6,1474,7,56,58,49.1,5,3,60.0
Saku Koivu,C,72,17,45,62,1,70,18:31,5,22,138,12.3,1661,4,759,653,53.8,0,0,0.0
Robert Lang,C,72,20,42,62,17,72,16:14,8,16,171,11.7,1570,3,433,426,50.4,2,0,0.0
Ales Kotalik,RW,82,25,37,62,-3,62,15:33,10,18,261,9.6,1610,5,12,17,41.4,6,2,33.3
Martin St. Louis,RW,80,31,30,61,-3,38,20:59,9,11,221,14.0,2021,7,3,18,14.3,3,0,0.0
Darcy Tucker,RW,74,28,33,61,-12,100,17:38,18,18,189,14.8,1479,4,17,12,58.6,4,1,25.0
Jason Allison,C,66,17,43,60,-18,76,18:41,9,30,111,15.3,1383,2,439,437,50.1,3,0,0.0
Mike Comrie,C,80,30,30,60,2,55,16:01,10,15,190,15.8,1605,4,412,369,52.8,4,1,25.0
Kyle Calder,LW,79,26,33,59,-4,52,18:23,6,7,183,14.2,1914,6,6,7,46.2,1,0,0.0
Tomas Holmstrom,LW,81,29,30,59,14,66,13:58,11,13,140,20.7,1474,8,0,0,0.0,2,1,50.0
Daymond Langkow,C,82,25,34,59,2,46,18:06,11,18,171,14.6,1933,7,535,595,47.3,0,0,0.0
Mathieu Schneider,D,72,21,38,59,33,86,24:30,11,18,188,11.2,1929,4,1,3,25.0,0,0,0.0
Marco Sturm,LW,74,29,30,59,6,48,18:20,8,9,180,16.1,1828,6,5,7,41.7,6,2,33.3
Erik Cole,LW,60,30,29,59,19,54,19:17,3,11,164,18.3,1566,8,7,12,36.8,3,1,33.3
Pierre-Marc Bouchard,C,80,17,42,59,3,28,15:15,7,24,118,14.4,1652,3,7,8,46.7,1,0,0.0
Daniel Briere,C,48,25,33,58,3,48,19:04,11,17,147,17.0,1043,4,262,255,50.7,4,2,50.0
Sergei Gonchar,D,75,12,46,58,-13,100,24:40,8,30,192,6.3,2074,2,0,0,0.0,1,1,100.0
Milan Hejduk,RW,74,24,34,58,13,24,18:33,14,9,221,10.9,1920,2,4,19,17.4,7,1,14.3
Jason Williams,RW,80,21,37,58,4,26,14:55,6,18,177,11.9,1505,4,16,13,55.2,7,5,71.4
Jason Blake,LW,76,28,29,57,0,60,18:46,12,10,304,9.2,1850,2,65,87,42.8,5,2,40.0
Nils Ekman,LW,77,21,36,57,20,54,15:12,5,14,176,11.9,1555,2,18,21,46.2,6,2,33.3
Yanic Perreault,C,69,22,35,57,-3,30,14:56,10,17,145,15.2,1352,2,559,340,62.2,0,0,0.0
Doug Weight,C,70,15,42,57,-17,75,20:44,9,19,175,8.6,1681,1,436,458,48.8,6,2,33.3
Dainius Zubrus,C,71,23,34,57,3,84,20:22,13,13,181,12.7,1870,5,562,556,50.3,2,1,50.0
Brendan Morrison,C,82,19,37,56,-1,84,19:30,8,15,156,12.2,2020,5,675,664,50.4,0,0,0.0
Ladislav Nagy,LW,51,15,41,56,8,74,18:53,7,22,132,11.4,1165,4,29,43,40.3,5,1,20.0
Joe Nieuwendyk,C,65,26,30,56,-2,46,16:30,7,13,195,13.3,1453,3,701,491,58.8,7,2,28.6
Chris Pronger,D,80,12,44,56,2,74,27:59,10,32,155,7.7,2458,3,0,1,0.0,0,0,0.0
Michael Cammalleri,LW,80,26,29,55,-14,50,16:45,15,19,206,12.6,1704,4,309,269,53.5,1,0,0.0
Michael Ryder,RW,81,30,25,55,-5,40,16:10,18,14,243,12.3,1558,6,9,8,52.9,4,0,0.0
Jussi Jokinen,LW,81,17,38,55,2,30,13:34,8,23,107,15.9,1410,2,7,16,30.4,13,10,76.9
Anson Carter,RW,81,33,22,55,-1,41,14:32,15,10,146,22.6,1549,7,12,18,40.0,1,0,0.0
Tim Connolly,C,63,16,39,55,5,28,18:00,7,16,99,16.2,1414,3,359,485,42.5,5,2,40.0
Martin Rucinsky,LW,52,16,39,55,10,56,18:25,4,22,152,10.5,1169,4,15,29,34.1,2,0,0.0
Ray Whitney,LW,63,17,38,55,0,42,17:11,12,24,147,11.6,1298,2,5,8,38.5,5,4,80.0
Mike Johnson,RW,80,16,38,54,7,50,16:34,6,12,145,11.0,1812,3,104,130,44.4,1,0,0.0
Fredrik Modin,LW,77,31,23,54,5,56,19:35,12,4,221,14.0,1871,4,88,83,51.5,0,0,0.0
Alexander Frolov,LW,69,21,33,54,17,40,19:18,4,10,174,12.1,1631,4,2,2,50.0,4,3,75.0
Rick Nash,LW,54,31,23,54,5,51,18:15,11,8,170,18.2,1155,4,19,19,50.0,8,3,37.5
Nikolay Zherdev,RW,73,27,27,54,-13,50,17:35,10,12,194,13.9,1422,0,2,18,10.0,3,1,33.3
Joffrey Lupul,RW,81,28,25,53,-13,48,16:37,12,11,296,9.5,1759,2,38,66,36.5,2,0,0.0
Dan Boyle,D,79,15,38,53,-8,38,23:25,6,19,153,9.8,1858,4,0,1,0.0,0,0,0.0
Jamie Langenbrunner,RW,80,19,34,53,-1,74,18:36,8,17,243,7.8,1962,1,18,23,43.9,3,0,0.0
Glen Murray,RW,64,24,29,53,-8,52,20:10,6,13,195,12.3,1625,3,4,10,28.6,5,1,20.0
Sergei Samsonov,LW,74,23,30,53,-3,28,16:29,10,16,143,16.1,1565,1,1,2,33.3,6,2,33.3
Jere Lehtinen,F,80,33,19,52,9,30,18:42,14,7,216,15.3,1975,6,6,22,21.4,1,0,0.0
Steven Reinprecht,C,80,22,30,52,11,32,16:18,9,9,130,16.9,1783,3,417,449,48.2,3,2,66.7
Jozef Stumpel,C,74,15,37,52,11,26,17:46,3,13,115,13.0,1760,1,450,466,49.1,3,0,0.0
Mike York,LW,75,13,39,52,-9,30,19:55,4,18,146,8.9,1958,2,594,695,46.1,2,0,0.0
Rob Blake,D,81,14,37,51,2,94,24:22,7,17,264,5.3,2708,1,0,2,0.0,0,0,0.0
John LeClair,LW,73,22,29,51,-24,61,15:45,8,19,135,16.3,1449,0,6,7,46.2,1,0,0.0
Mike Ribeiro,C,79,16,35,51,-6,36,16:34,8,17,130,12.3,1461,2,377,466,44.7,1,1,100.0
Petr Sykora,RW,74,23,28,51,6,50,16:05,8,14,230,10.0,1426,0,28,46,37.8,7,5,71.4
Wade Redden,D,65,10,40,50,35,63,23:28,8,22,153,6.5,1732,4,1,0,100.0,0,0,0.0
Peter Schaefer,LW,82,20,30,50,16,40,15:50,4,6,137,14.6,1675,2,10,17,37.0,0,0,0.0
Kimmo Timonen,D,79,11,39,50,-3,74,22:26,8,30,156,7.1,2166,1,4,1,80.0,1,0,0.0
Marek Svatos,RW,61,32,18,50,0,60,13:44,12,10,165,19.4,1236,9,1,4,20.0,5,2,40.0
Marek Zidlicky,D,67,12,37,49,8,82,20:03,10,19,113,10.6,1662,1,0,0,0.0,5,1,20.0
Dion Phaneuf,D,82,20,29,49,5,93,21:43,16,17,242,8.3,2052,7,0,0,0.0,1,0,0.0
John-Michael Liles,D,82,14,35,49,5,44,18:31,6,22,154,9.1,2048,1,1,0,100.0,0,0,0.0
Matt Cullen,C,78,25,24,49,4,40,16:26,8,10,214,11.7,1662,5,304,279,52.1,9,6,66.7
Mark Parrish,RW,76,29,20,49,-23,20,18:33,16,14,137,21.2,1870,5,2,10,16.7,3,0,0.0
Brian Rafalski,D,82,6,43,49,0,36,25:31,3,24,126,4.8,2464,2,0,1,0.0,0,0,0.0
Scott Young,RW,79,18,31,49,-32,52,18:23,10,23,284,6.3,1805,1,0,6,0.0,1,0,0.0
Martin Erat,RW,80,20,29,49,0,76,14:44,5,11,143,14.0,1650,1,4,21,16.0,2,2,100.0
Scott Hartnell,LW,81,25,23,48,8,101,16:05,10,7,211,11.8,1767,8,22,36,37.9,0,0,0.0
Bryan Smolinski,C,81,17,31,48,8,46,14:47,4,12,178,9.6,1528,5,517,522,49.8,0,0,0.0
Mark Bell,LW,82,25,23,48,-14,107,17:36,11,10,227,11.0,1861,1,501,533,48.5,2,0,0.0
Thomas Vanek,LW,81,25,23,48,-11,72,14:43,11,13,204,12.3,1435,4,5,18,21.7,6,2,33.3
Nathan Horton,RW,71,28,19,47,8,89,16:53,3,6,162,17.3,1640,1,11,13,45.8,7,2,28.6
Petr Prucha,RW,68,30,17,47,3,32,13:41,16,6,130,23.1,1116,2,78,72,52.0,5,2,40.0
Paul Mara,D,78,15,32,47,-12,70,21:28,8,21,157,9.6,2031,0,0,1,0.0,0,0,0.0
Kristian Huselius,F,78,20,27,47,-9,40,14:51,8,20,164,12.2,1469,4,3,3,50.0,3,0,0.0
Andrei Markov,D,67,10,36,46,13,74,23:32,6,18,88,11.4,1797,1,0,1,0.0,0,0,0.0
Geoff Sanderson,LW,77,25,21,46,-15,58,13:42,11,7,159,15.7,1437,1,183,177,50.8,5,3,60.0
Pierre Turgeon,C,62,16,30,46,1,32,12:47,7,13,94,17.0,1152,1,282,298,48.6,1,0,0.0
Jay Bouwmeester,D,82,5,41,46,1,79,25:29,0,16,189,2.6,2746,0,0,1,0.0,0,0,0.0
Derek Roy,C,70,18,28,46,1,57,17:01,5,10,151,11.9,1414,1,387,420,48.0,2,1,50.0
Joni Pitkanen,D,58,13,33,46,22,78,23:41,5,14,118,11.0,1617,3,0,0,0.0,0,0,0.0
Kyle Wellwood,C,81,11,34,45,0,14,12:46,3,19,117,9.4,1270,0,334,259,56.3,1,0,0.0
Alex Steen,LW,75,18,27,45,-9,42,17:37,9,10,176,10.2,1702,3,7,22,24.1,0,0,0.0
Patrik Elias,C,38,16,29,45,11,20,18:34,6,15,142,11.3,854,3,2,8,20.0,5,2,40.0
Ian Laperriere,RW,82,21,24,45,3,116,17:09,1,0,133,15.8,2087,3,442,521,45.9,0,0,0.0
Mikael Samuelsson,RW,71,23,22,45,27,42,13:31,7,6,187,12.3,1316,3,3,8,27.3,1,0,0.0
Tyler Arnason,C,79,13,32,45,1,44,14:19,5,10,203,6.4,1426,1,309,353,46.7,3,1,33.3
Brian Campbell,D,79,12,32,44,-14,16,17:42,5,22,105,11.4,1624,5,0,0,0.0,0,0,0.0
Sergei Fedorov,C,67,12,32,44,-2,66,21:01,3,14,160,7.5,1658,2,650,599,52.0,5,0,0.0
Mike Fisher,C,68,22,22,44,23,64,17:09,2,7,150,14.7,1477,3,444,439,50.3,2,0,0.0
Jeff Halpern,C,70,11,33,44,-8,79,20:00,6,14,151,7.3,1952,1,803,651,55.2,2,0,0.0
Michal Handzus,C,73,11,33,44,-2,38,18:28,2,13,113,9.7,1944,1,608,535,53.2,4,2,50.0
Frantisek Kaberle,D,77,6,38,44,8,46,19:36,1,16,126,4.8,2074,3,0,0,0.0,0,0,0.0
Ryan Malone,LW,77,22,22,44,-22,63,18:05,10,7,153,14.4,1762,1,288,440,39.6,2,0,0.0
Tom Preissing,D,74,11,32,43,17,26,20:29,2,20,131,8.4,2116,2,0,1,0.0,0,0,0.0
Philippe Boucher,D,66,16,27,43,28,77,23:24,8,11,174,9.2,1758,3,1,0,100.0,0,0,0.0
Zdeno Chara,D,71,16,27,43,17,135,27:11,10,12,212,7.5,2044,3,10,14,41.7,0,0,0.0
Jaroslav Spacek,D,76,12,31,43,11,96,23:39,4,17,150,8.0,2154,0,0,0,0.0,1,1,100.0
Brad Stuart,D,78,12,31,43,-8,52,24:58,7,14,163,7.4,2342,2,0,1,0.0,1,0,0.0
Tony Amonte,RW,80,14,28,42,3,43,17:06,3,14,155,9.0,1931,3,21,45,31.8,8,3,37.5
Jochen Hecht,C,64,18,24,42,10,34,18:07,4,4,179,10.1,1433,4,62,94,39.7,0,0,0.0
Zigmund Palffy,RW,42,11,31,42,5,12,19:19,2,9,112,9.8,953,2,2,2,50.0,2,0,0.0
Jeff Carter,C,81,23,19,42,10,40,12:04,6,7,189,12.2,1369,7,329,354,48.2,3,0,0.0
Chris Kunitz,LW,69,19,22,41,16,71,13:53,5,5,149,12.8,1387,2,7,8,46.7,6,2,33.3
Derek Armstrong,C,62,13,28,41,-2,46,15:31,7,6,100,13.0,1249,1,277,269,50.7,0,0,0.0
Ruslan Fedotenko,LW,80,26,15,41,-4,44,15:20,4,3,164,15.9,1578,6,12,16,42.9,1,0,0.0
Martin Gelinas,LW,82,17,24,41,27,80,15:55,4,1,186,9.1,1813,3,10,14,41.7,1,0,0.0
Brian Willsie,RW,82,19,22,41,-19,77,16:39,8,13,185,10.3,1832,2,27,25,51.9,9,3,33.3
Raffi Torres,LW,82,27,14,41,4,50,13:23,6,5,164,16.5,1480,3,25,35,41.7,5,1,20.0
