Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Mario Lemieux,C,64,44,87,131,27,94,0:00,12,35,249,17.7,0,5,0,0,0.0,0,0,0.0
Kevin Stevens,LW,80,54,69,123,8,254,0:00,19,23,325,16.6,0,4,0,0,0.0,0,0,0.0
Wayne Gretzky,C,74,31,90,121,-12,34,0:00,12,42,215,14.4,0,2,0,0,0.0,0,0,0.0
Brett Hull,RW,73,70,39,109,-2,48,0:00,20,20,408,17.2,0,9,0,0,0.0,0,0,0.0
Mark Messier,C,79,35,72,107,31,76,0:00,12,21,212,16.5,0,6,0,0,0.0,0,0,0.0
Luc Robitaille,LW,80,44,63,107,-4,95,0:00,26,21,240,18.3,0,6,0,0,0.0,0,0,0.0
Jeremy Roenick,C,80,53,50,103,23,98,0:00,22,22,234,22.7,0,13,0,0,0.0,0,0,0.0
Steve Yzerman,C,79,45,58,103,26,64,0:00,9,18,295,15.3,0,9,0,0,0.0,0,0,0.0
Brian Leetch,D,80,22,80,102,25,26,0:00,10,36,245,9.0,0,3,0,0,0.0,0,0,0.0
Adam Oates,C,80,20,79,99,-9,22,0:00,6,30,191,10.5,0,4,0,0,0.0,0,0,0.0
Dale Hawerchuk,C,77,23,75,98,-22,27,0:00,13,43,242,9.5,0,4,0,0,0.0,0,0,0.0
Mark Recchi,RW,80,43,54,97,-21,96,0:00,20,28,210,20.5,0,5,0,0,0.0,0,0,0.0
Pierre Turgeon,C,77,40,55,95,7,20,0:00,13,20,207,19.3,0,6,0,0,0.0,0,0,0.0
Joe Sakic,C,69,29,65,94,5,20,0:00,6,25,217,13.4,0,1,0,0,0.0,0,0,0.0
Pat Lafontaine,C,57,46,47,93,10,98,0:00,23,25,203,22.7,0,5,0,0,0.0,0,0,0.0
Dave Andreychuk,LW,80,41,50,91,-9,71,0:00,28,23,337,12.2,0,2,0,0,0.0,0,0,0.0
Gary Roberts,F,76,53,37,90,32,207,0:00,15,7,196,27.0,0,2,0,0,0.0,0,0,0.0
Vincent Damphousse,LW,80,38,51,89,10,53,0:00,12,20,247,15.4,0,8,0,0,0.0,0,0,0.0
Doug Gilmour,C,78,26,61,87,25,78,0:00,10,19,168,15.5,0,4,0,0,0.0,0,0,0.0
Craig Janney,C,78,18,69,87,6,22,0:00,6,25,127,14.2,0,3,0,0,0.0,0,0,0.0
Joe Mullen,RW,77,42,45,87,12,30,0:00,14,12,226,18.6,0,4,0,0,0.0,0,0,0.0
Sergei Fedorov,C,80,32,54,86,26,72,0:00,7,20,249,12.9,0,5,0,0,0.0,0,0,0.0
Phil Housley,D,74,23,63,86,-5,92,0:00,11,46,234,9.8,0,4,0,0,0.0,0,0,0.0
Alexander Mogilny,RW,67,39,45,84,7,73,0:00,15,18,236,16.5,0,2,0,0,0.0,0,0,0.0
Joe Murphy,RW,80,35,47,82,17,52,0:00,10,11,193,18.1,0,2,0,0,0.0,0,0,0.0
Ray Bourque,D,80,21,60,81,11,56,0:00,7,28,334,6.3,0,2,0,0,0.0,0,0,0.0
Mike Gartner,RW,76,40,41,81,11,55,0:00,15,12,286,14.0,0,6,0,0,0.0,0,0,0.0
Ray Ferraro,C,80,40,40,80,25,92,0:00,7,7,154,26.0,0,4,0,0,0.0,0,0,0.0
Michal Pivonka,C,80,23,57,80,10,47,0:00,7,16,177,13.0,0,2,0,0,0.0,0,0,0.0
Derek King,LW,80,40,38,78,-10,46,0:00,21,14,189,21.2,0,6,0,0,0.0,0,0,0.0
Steve Thomas,RW,82,30,48,78,8,97,0:00,3,18,245,12.2,0,3,0,0,0.0,0,0,0.0
Dale Hunter,C,80,28,50,78,-2,205,0:00,13,17,110,25.5,0,4,0,0,0.0,0,0,0.0
Rod Brind'Amour,C,80,33,44,77,-3,100,0:00,8,15,202,16.3,0,5,0,0,0.0,0,0,0.0
Al MacInnis,D,72,20,57,77,13,83,0:00,11,37,304,6.6,0,0,0,0,0.0,0,0,0.0
Mike Modano,C,76,33,44,77,-9,46,0:00,5,20,256,12.9,0,8,0,0,0.0,0,0,0.0
Kirk Muller,LW,78,36,41,77,15,86,0:00,15,15,191,18.8,0,7,0,0,0.0,0,0,0.0
Larry Murphy,D,77,21,56,77,33,48,0:00,7,25,206,10.2,0,3,0,0,0.0,0,0,0.0
Barry Cullen,C,77,26,51,77,-28,141,0:00,10,26,173,15.0,0,4,0,0,0.0,0,0,0.0
Benoit Hogue,LW,75,30,46,76,30,67,0:00,8,9,149,20.1,0,5,0,0,0.0,0,0,0.0
Mats Sundin,C,80,33,43,76,-19,103,0:00,8,12,231,14.3,0,2,0,0,0.0,0,0,0.0
Dino Ciccarelli,RW,78,38,38,76,-10,78,0:00,13,12,279,13.6,0,7,0,0,0.0,0,0,0.0
Trevor Linden,C,80,31,44,75,3,101,0:00,6,20,201,15.4,0,6,0,0,0.0,0,0,0.0
Brian Bellows,LW,80,30,45,75,-20,41,0:00,12,20,255,11.8,0,4,0,0,0.0,0,0,0.0
Vladimir Ruzicka,C,77,39,36,75,-10,48,0:00,18,19,228,17.1,0,6,0,0,0.0,0,0,0.0
Paul Ysebaert,C,79,35,40,75,44,55,0:00,3,14,211,16.6,0,3,0,0,0.0,0,0,0.0
Steve Larmer,RW,80,29,45,74,10,65,0:00,11,21,292,9.9,0,3,0,0,0.0,0,0,0.0
Theoren Fleury,RW,80,33,40,73,0,133,0:00,11,20,225,14.7,0,6,0,0,0.0,0,0,0.0
Dmitri Khristich,RW,80,36,37,73,24,35,0:00,14,14,188,19.1,0,7,0,0,0.0,0,0,0.0
Owen Nolan,RW,75,42,31,73,-9,183,0:00,17,7,190,22.1,0,0,0,0,0.0,0,0,0.0
James Patrick,D,80,14,57,71,34,54,0:00,6,28,148,9.5,0,1,0,0,0.0,0,0,0.0
Cliff Ronning,C,80,24,47,71,18,42,0:00,6,17,216,11.1,0,2,0,0,0.0,0,0,0.0
Dave Gagner,C,78,31,40,71,-4,107,0:00,17,14,229,13.5,0,3,0,0,0.0,0,0,0.0
