Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Jaromir Jagr,RW,81,44,83,127,17,66,0:00,10,34,343,12.8,0,7,0,0,0.0,0,0,0.0
Teemu Selanne,RW,75,47,60,107,18,30,0:00,25,29,281,16.7,0,7,0,0,0.0,0,0,0.0
Paul Kariya,LW,82,39,62,101,17,40,0:00,11,32,429,9.1,0,4,0,0,0.0,0,0,0.0
Peter Forsberg,C,78,30,67,97,27,108,0:00,9,28,217,13.8,0,7,0,0,0.0,0,0,0.0
Joe Sakic,C,73,41,55,96,23,29,0:00,12,22,255,16.1,0,6,0,0,0.0,0,0,0.0
Alexey Yashin,C,82,44,50,94,16,54,0:00,19,23,337,13.1,0,5,0,0,0.0,0,0,0.0
Theoren Fleury,RW,75,40,53,93,26,86,0:00,8,17,301,13.3,0,5,0,0,0.0,0,0,0.0
Eric Lindros,RW,71,40,53,93,35,120,0:00,10,17,242,16.5,0,2,0,0,0.0,0,0,0.0
John LeClair,LW,76,43,47,90,36,30,0:00,16,9,246,17.5,0,7,0,0,0.0,0,0,0.0
Pavol Demitra,LW,82,37,52,89,13,16,0:00,14,15,259,14.3,0,10,0,0,0.0,0,0,0.0
Martin Straka,F,80,35,48,83,12,26,0:00,5,17,177,19.8,0,4,0,0,0.0,0,0,0.0
Mats Sundin,C,82,31,52,83,22,58,0:00,4,11,209,14.8,0,6,0,0,0.0,0,0,0.0
Mike Modano,C,77,34,47,81,29,44,0:00,6,21,224,15.2,0,7,0,0,0.0,0,0,0.0
Jason Allison,C,82,23,53,76,5,68,0:00,5,25,158,14.6,0,3,0,0,0.0,0,0,0.0
Tony Amonte,RW,82,44,31,75,0,60,0:00,14,12,256,17.2,0,8,0,0,0.0,0,0,0.0
Rod Brind'Amour,C,82,24,50,74,3,47,0:00,10,22,191,12.6,0,3,0,0,0.0,0,0,0.0
Luc Robitaille,LW,82,39,35,74,-1,54,0:00,11,10,292,13.4,0,7,0,0,0.0,0,0,0.0
Steve Yzerman,C,80,29,45,74,8,42,0:00,13,11,231,12.6,0,4,0,0,0.0,0,0,0.0
Steve Thomas,RW,78,28,45,73,26,33,0:00,11,7,209,13.4,0,7,0,0,0.0,0,0,0.0
Petr Sykora,RW,80,29,43,72,16,22,0:00,15,11,222,13.1,0,7,0,0,0.0,0,0,0.0
Jeremy Roenick,C,78,24,48,72,7,130,0:00,4,19,203,11.8,0,3,0,0,0.0,0,0,0.0
Dmitri Khristich,RW,79,29,42,71,11,48,0:00,13,7,144,20.1,0,6,0,0,0.0,0,0,0.0
Robert Reichel,C,83,26,43,69,-13,54,0:00,8,23,236,11.0,0,4,0,0,0.0,0,0,0.0
Keith Tkachuk,LW,68,36,32,68,22,151,0:00,11,6,258,14.0,0,7,0,0,0.0,0,0,0.0
Markus Naslund,LW,80,36,30,66,-13,74,0:00,15,13,205,17.6,0,3,0,0,0.0,0,0,0.0
Miroslav Satan,RW,81,40,26,66,24,44,0:00,13,8,208,19.2,0,6,0,0,0.0,0,0,0.0
Pierre Turgeon,C,67,31,34,65,4,36,0:00,10,9,193,16.1,0,5,0,0,0.0,0,0,0.0
Ray Whitney,LW,81,26,38,64,-3,18,0:00,7,17,193,13.5,0,6,0,0,0.0,0,0,0.0
Bill Guerin,RW,80,30,34,64,7,133,0:00,13,9,261,11.5,0,2,0,0,0.0,0,0,0.0
Bobby Holik,C,78,27,37,64,16,119,0:00,5,9,253,10.7,0,8,0,0,0.0,0,0,0.0
Sergei Fedorov,C,77,26,37,63,9,66,0:00,6,13,224,11.6,0,3,0,0,0.0,0,0,0.0
Igor Larionov,C,75,14,49,63,13,48,0:00,4,18,83,16.9,0,2,0,0,0.0,0,0,0.0
Al MacInnis,D,82,20,42,62,33,70,0:00,11,26,314,6.4,0,2,0,0,0.0,0,0,0.0
Keith Primeau,C,78,30,32,62,8,75,0:00,9,6,178,16.9,0,5,0,0,0.0,0,0,0.0
