Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Martin St. Louis,RW,48,17,43,60,0,14,21:59,3,17,112,15.2,1149,2,12,16,42.9,1,0,0.0
Steven Stamkos,C,48,29,28,57,-4,32,22:01,10,8,157,18.5,1165,2,406,413,49.6,2,0,0.0
Alex Ovechkin,LW,48,32,24,56,2,36,20:53,16,11,220,14.5,1026,4,0,1,0.0,3,3,100.0
Sidney Crosby,C,36,15,41,56,26,16,21:06,3,14,124,12.1,820,1,453,381,54.3,2,2,100.0
Patrick Kane,RW,47,23,32,55,11,8,20:03,8,9,138,16.7,1088,3,2,8,20.0,11,6,54.5
Eric Staal,C,48,18,35,53,5,54,20:59,3,6,152,11.8,1264,4,527,487,52.0,0,0,0.0
Chris Kunitz,LW,48,22,30,52,30,39,18:01,9,7,113,19.5,978,5,4,5,44.4,0,0,0.0
Phil Kessel,RW,48,20,32,52,-3,18,19:48,6,15,161,12.4,1149,4,5,3,62.5,2,0,0.0
Taylor Hall,LW,45,16,34,50,5,33,18:37,4,10,154,10.4,1017,4,29,24,54.7,0,0,0.0
Mike Ribeiro,C,48,13,36,49,-4,53,17:50,6,21,63,20.6,973,1,226,279,44.8,2,0,0.0
Pavel Datsyuk,C,47,15,34,49,21,14,20:10,8,8,107,14.0,1191,6,488,399,55.0,7,2,28.6
Ryan Getzlaf,C,44,15,34,49,14,41,20:11,4,11,99,15.2,1064,3,355,384,48.0,4,3,75.0
Henrik Zetterberg,C,46,11,37,48,2,18,20:31,4,19,173,6.4,1118,5,263,281,48.3,5,1,20.0
Nicklas Backstrom,C,48,8,40,48,8,20,19:54,3,15,82,9.8,1118,1,432,408,51.4,1,1,100.0
Jonathan Toews,C,47,23,25,48,28,27,19:20,2,4,143,16.1,1174,5,559,374,59.9,11,5,45.5
Claude Giroux,RW,48,13,35,48,-7,22,21:10,6,15,137,9.5,1252,2,644,538,54.5,3,2,66.7
John Tavares,C,48,28,19,47,-2,18,20:46,9,7,162,17.3,1072,5,459,471,49.4,6,3,50.0
Jakub Voracek,RW,48,22,24,46,-7,35,17:14,8,9,129,17.1,1014,3,2,3,40.0,0,0,0.0
Andrew Ladd,LW,48,18,28,46,10,22,19:40,3,3,121,14.9,1162,4,29,25,53.7,4,2,50.0
Henrik Sedin,C,48,11,34,45,19,24,19:20,1,12,70,15.7,1176,1,440,451,49.4,0,0,0.0
Alexander Semin,RW,44,13,31,44,14,46,20:56,4,5,150,8.7,1105,1,5,16,23.8,1,0,0.0
Matt Moulson,LW,47,15,29,44,-3,4,19:09,8,7,154,9.7,1011,0,1,0,100.0,0,0,0.0
Nazem Kadri,C,48,18,26,44,15,23,16:03,5,3,107,16.8,1006,1,250,315,44.2,5,0,0.0
Derek Stepan,C,48,18,26,44,25,12,20:55,4,6,108,16.7,1235,6,448,529,45.9,2,1,50.0
Matt Duchene,C,47,17,26,43,-12,12,20:55,2,7,132,12.9,1268,3,488,405,54.6,3,2,66.7
P.A. Parenteau,RW,48,18,25,43,-11,38,19:08,6,7,105,17.1,1106,1,1,12,7.7,3,3,100.0
Rick Nash,LW,44,21,21,42,16,26,19:58,3,6,176,11.9,1098,3,5,7,41.7,7,3,42.9
Anze Kopitar,C,47,10,32,42,14,16,20:28,0,16,98,10.2,1188,1,473,415,53.3,4,2,50.0
Thomas Vanek,LW,38,20,21,41,-1,20,18:24,9,5,119,16.8,801,2,8,4,66.7,5,3,60.0
Blake Wheeler,RW,48,19,22,41,-3,28,18:48,2,5,129,14.7,1097,2,4,14,22.2,5,2,40.0
Daniel Sedin,LW,47,12,28,40,12,18,19:01,3,9,138,8.7,1159,3,3,4,42.9,1,0,0.0
Joe Thornton,C,48,7,33,40,6,26,18:22,2,19,85,8.2,1202,1,410,291,58.5,0,0,0.0
Max Pacioretty,LW,44,15,24,39,8,28,16:30,4,8,163,9.2,954,0,2,5,28.6,0,0,0.0
Sam Gagner,C,48,14,24,38,-6,23,19:24,4,11,113,12.4,1183,1,325,416,43.9,5,2,40.0
P.K. Subban,D,42,11,27,38,12,57,23:14,7,19,126,8.7,1103,0,0,0,0.0,0,0,0.0
Pascal Dupuis,RW,48,20,18,38,31,26,17:30,2,1,140,14.3,1041,2,27,30,47.4,1,0,0.0
Zach Parise,LW,48,18,20,38,2,16,20:40,7,6,182,9.9,1258,4,3,6,33.3,6,3,50.0
