Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Jamie Benn,LW,82,35,52,87,1,64,19:56,10,13,253,13.8,2224,6,298,278,51.7,4,1,25.0
John Tavares,C,82,38,48,86,5,46,20:40,13,18,278,13.7,1851,8,753,689,52.2,11,3,27.3
Sidney Crosby,C,77,28,56,84,5,47,19:58,10,21,237,11.8,1924,3,797,800,49.9,9,5,55.6
Alex Ovechkin,LW,81,53,28,81,10,58,20:19,25,9,395,13.4,1816,11,2,3,40.0,8,2,25.0
Jakub Voracek,RW,82,22,59,81,1,78,18:35,11,22,221,10.0,1944,3,6,3,66.7,12,5,41.7
Nicklas Backstrom,C,82,18,60,78,5,40,20:31,3,30,153,11.8,1996,3,862,747,53.6,10,3,30.0
Tyler Seguin,C,71,37,40,77,-1,20,19:33,13,16,280,13.2,1723,5,275,236,53.8,4,3,75.0
Daniel Sedin,LW,82,20,56,76,5,18,18:21,4,21,226,8.9,1943,5,2,3,40.0,0,0,0.0
Jiri Hudler,RW,78,31,45,76,17,14,18:00,6,10,158,19.6,2004,5,21,25,45.7,6,2,33.3
Henrik Sedin,C,82,18,55,73,11,22,18:36,5,20,101,17.8,1962,0,704,861,45.0,0,0,0.0
Nick Foligno,LW,79,31,42,73,16,50,18:49,11,15,182,17.0,1945,3,125,138,47.5,4,0,0.0
Claude Giroux,RW,81,25,48,73,-3,36,20:33,14,23,279,9.0,2134,4,1063,815,56.6,12,1,8.3
Vladimir Tarasenko,RW,77,37,36,73,27,31,17:37,8,10,264,14.0,1894,6,0,3,0.0,12,6,50.0
Steven Stamkos,C,82,43,29,72,2,49,19:22,13,12,268,16.0,1806,6,469,474,49.7,3,0,0.0
Tyler Johnson,C,77,29,43,72,33,24,17:14,8,9,203,14.3,1709,6,537,566,48.7,0,0,0.0
Ryan Johansen,C,82,26,45,71,-6,40,19:30,7,19,202,12.9,2064,0,851,787,52.0,11,6,54.5
Ryan Getzlaf,C,77,25,45,70,15,62,20:05,3,10,191,13.1,1808,6,632,617,50.6,2,0,0.0
Evgeni Malkin,C,69,28,42,70,-2,60,18:58,9,17,212,13.2,1579,4,322,433,42.6,6,1,16.7
Joe Pavelski,C,82,37,33,70,12,29,20:07,19,12,261,14.2,2207,5,642,505,56.0,9,2,22.2
Rick Nash,LW,79,42,27,69,29,36,17:27,6,6,304,13.8,2010,8,2,2,50.0,5,2,40.0
Logan Couture,C,82,27,40,67,-6,12,19:04,6,18,263,10.3,2122,4,477,513,48.2,8,3,37.5
Max Pacioretty,LW,80,37,30,67,38,32,19:23,7,4,302,12.3,2070,10,2,7,22.2,3,2,66.7
Henrik Zetterberg,C,77,17,49,66,-6,32,19:06,4,24,227,7.5,1861,3,541,523,50.8,4,0,0.0
Jonathan Toews,C,81,28,38,66,30,36,19:33,6,11,192,14.6,2003,7,947,728,56.5,12,6,50.0
Erik Karlsson,D,82,21,45,66,7,42,27:15,6,24,292,7.2,2191,3,0,0,0.0,4,1,25.0
Nikita Kucherov,RW,82,29,36,65,38,37,14:57,2,13,190,14.7,1599,2,0,2,0.0,5,2,40.0
Joe Thornton,C,78,16,49,65,-4,30,18:25,4,18,131,12.2,1968,0,554,401,58.0,3,0,0.0
Pavel Datsyuk,C,63,26,39,65,12,8,19:03,8,16,165,15.8,1528,5,601,521,53.6,11,3,27.3
Alex Steen,LW,74,24,40,64,8,33,19:58,8,16,223,10.8,2077,5,218,215,50.3,10,2,20.0
Anze Kopitar,C,79,16,48,64,-2,10,19:23,6,18,134,11.9,1820,4,752,678,52.6,9,1,11.1
Patrick Kane,RW,61,27,37,64,10,10,19:51,6,16,186,14.5,1398,5,3,4,42.9,10,6,60.0
Kyle Turris,C,82,24,40,64,5,36,19:12,4,12,215,11.2,1949,6,737,735,50.1,13,4,30.8
Mark Stone,RW,80,26,38,64,21,14,17:01,5,8,157,16.6,1802,6,7,11,38.9,3,1,33.3
Johnny Gaudreau,LW,80,24,40,64,11,14,17:43,8,13,167,14.4,1971,4,3,5,37.5,6,2,33.3
Jordan Eberle,RW,81,24,39,63,-16,24,19:02,6,15,183,13.1,1996,2,1,5,16.7,12,2,16.7
Jaden Schwartz,C,75,28,35,63,13,16,18:14,8,8,184,15.2,1910,4,68,78,46.6,0,0,0.0
Ondrej Palat,LW,75,16,47,63,31,24,17:25,3,8,139,11.5,1677,5,10,25,28.6,2,0,0.0
Filip Forsberg,LW,82,26,37,63,15,24,17:19,6,13,237,11.0,1791,6,3,4,42.9,8,3,37.5
Radim Vrbata,RW,79,31,32,63,6,20,16:36,12,11,267,11.6,1722,7,5,4,55.6,7,3,42.9
Mike Ribeiro,C,82,15,47,62,11,52,18:44,1,11,96,15.6,1802,3,582,766,43.2,0,0,0.0
Jason Spezza,C,82,17,45,62,-7,28,17:13,4,22,204,8.3,1855,1,682,580,54.0,6,1,16.7
Jeff Carter,C,82,28,34,62,7,28,17:58,10,5,218,12.8,1810,5,627,566,52.6,9,2,22.2
Zach Parise,LW,74,33,29,62,21,41,19:11,11,5,259,12.7,1668,3,2,10,16.7,7,2,28.6
Andrew Ladd,LW,81,24,38,62,9,72,20:04,9,10,224,10.7,2152,6,7,13,35.0,10,2,20.0
Sean Monahan,C,81,31,31,62,8,12,19:37,10,9,191,16.2,2236,8,902,928,49.3,6,2,33.3
Marian Hossa,RW,82,22,39,61,17,32,18:33,6,11,247,8.9,2046,2,4,3,57.1,1,0,0.0
Phil Kessel,RW,82,25,36,61,-34,30,18:47,8,17,280,8.9,1796,4,2,3,40.0,1,0,0.0
Blake Wheeler,RW,79,26,35,61,26,73,19:39,2,10,244,10.7,2051,6,22,26,45.8,12,4,33.3
Scott Hartnell,LW,77,28,32,60,1,100,17:17,8,8,204,13.7,1736,2,7,7,50.0,0,0,0.0
Tomas Plekanec,C,82,26,34,60,8,46,19:09,7,9,248,10.5,2212,5,777,780,49.9,3,0,0.0
Brent Burns,D,82,17,43,60,-9,65,23:57,7,17,245,6.9,2351,2,0,0,0.0,5,2,40.0
Derick Brassard,C,80,19,41,60,9,34,17:23,6,12,168,11.3,1879,3,671,705,48.8,0,0,0.0
P.K. Subban,D,82,15,45,60,21,74,26:12,8,13,170,8.8,2472,5,0,0,0.0,1,0,0.0
Jarome Iginla,RW,82,29,30,59,0,42,18:08,8,5,189,15.3,1785,2,57,71,44.5,3,2,66.7
Gabriel Landeskog,LW,82,23,36,59,-2,79,18:30,8,9,214,10.7,1861,2,16,29,35.6,3,1,33.3
David Backes,RW,80,26,32,58,7,104,18:38,10,6,183,14.2,2209,3,617,513,54.6,0,0,0.0
Patrick Marleau,C,82,19,38,57,-17,12,19:35,7,17,233,8.2,2120,4,171,185,48.0,6,1,16.7
Dennis Wideman,D,80,15,41,56,6,34,24:38,6,15,173,8.7,2487,2,0,0,0.0,0,0,0.0
James van Riemsdyk,LW,82,27,29,56,-33,43,19:05,9,10,248,10.9,1849,4,21,33,38.9,5,0,0.0
Tomas Tatar,LW,82,29,27,56,6,28,16:13,9,10,211,13.7,1817,7,6,6,50.0,9,3,33.3
Ryan Nugent-Hopkins,C,76,24,32,56,-12,25,20:38,2,12,189,12.7,2028,2,620,736,45.7,5,1,20.0
T.J. Oshie,RW,72,19,36,55,17,51,18:50,3,10,162,11.7,1959,4,3,10,23.1,11,4,36.4
John Carlson,D,82,12,43,55,11,28,23:04,3,13,193,6.2,2343,3,0,0,0.0,1,1,100.0
Matt Duchene,C,82,21,34,55,3,16,18:34,2,5,207,10.1,1852,4,635,582,52.2,14,6,42.9
Ryan O'Reilly,C,82,17,38,55,-5,12,19:43,2,10,171,9.9,2030,1,713,621,53.4,6,3,50.0
Roman Josi,D,81,15,40,55,15,26,26:28,3,12,201,7.5,2444,4,0,1,0.0,4,1,25.0
Derek Stepan,C,68,16,39,55,26,22,18:10,3,7,155,10.3,1694,3,543,689,44.1,4,2,50.0
Alex Tanguay,LW,80,22,33,55,-1,40,18:09,2,12,104,21.2,1911,4,12,16,42.9,9,3,33.3
Corey Perry,RW,67,33,22,55,13,67,18:06,4,3,193,17.1,1412,3,3,9,25.0,9,3,33.3
Patrice Bergeron,C,81,23,32,55,2,44,18:07,4,10,234,9.8,2083,4,1175,776,60.2,12,3,25.0
Jason Pominville,RW,82,18,36,54,9,8,18:17,3,11,252,7.1,1770,4,39,48,44.8,4,3,75.0
Eric Staal,C,77,23,31,54,-13,41,18:50,7,10,244,9.4,1899,4,343,326,51.3,3,1,33.3
Bobby Ryan,RW,78,18,36,54,5,24,17:28,4,10,221,8.1,1758,5,4,7,36.4,11,4,36.4
Ryan Callahan,RW,77,24,30,54,9,41,17:44,10,6,191,12.6,1627,4,15,16,48.4,5,2,40.0
Kris Letang,D,69,11,43,54,12,79,25:29,2,22,197,5.6,1949,1,0,1,0.0,5,2,40.0
Gustav Nyquist,RW,82,27,27,54,-11,26,16:39,14,10,195,13.8,1817,4,1,8,11.1,14,8,57.1
Jonathan Huberdeau,C,79,15,39,54,10,38,16:44,0,12,169,8.9,1636,0,2,6,25.0,13,3,23.1
Tyson Barrie,D,80,12,41,53,5,26,21:21,2,14,139,8.6,2034,0,0,0,0.0,2,0,0.0
Brandon Saad,LW,82,23,29,52,7,12,17:15,2,8,203,11.3,1891,6,38,50,43.2,1,0,0.0
Martin St. Louis,RW,74,21,31,52,12,20,17:33,5,8,144,14.6,1691,1,51,59,46.4,3,1,33.3
Thomas Vanek,LW,80,21,31,52,-6,37,16:12,5,12,171,12.3,1582,2,10,10,50.0,1,1,100.0
Mark Streit,D,81,9,43,52,-8,36,22:22,4,26,144,6.3,2249,0,0,0,0.0,0,0,0.0
Keith Yandle,D,84,6,46,52,-26,40,22:54,2,27,232,2.6,2230,2,0,0,0.0,0,0,0.0
Bryan Little,C,70,24,28,52,8,24,19:55,9,9,148,16.2,1873,3,762,789,49.1,9,2,22.2
Patric Hornqvist,RW,64,25,26,51,12,38,17:39,6,9,220,11.4,1485,4,2,5,28.6,1,0,0.0
Kyle Okposo,RW,60,18,33,51,-8,12,19:33,6,12,195,9.2,1329,2,80,81,49.7,10,5,50.0
Andrei Markov,D,81,10,40,50,22,38,24:54,4,21,135,7.4,2399,1,0,0,0.0,1,0,0.0
Wayne Simmonds,RW,75,28,22,50,-5,66,16:48,14,10,188,14.9,1602,6,4,1,80.0,7,4,57.1
Ryan Strome,C,81,17,33,50,23,47,15:23,1,7,179,9.5,1631,2,149,170,46.7,4,0,0.0
Tyler Bozak,C,82,23,26,49,-34,44,19:08,12,6,154,14.9,1934,3,944,831,53.2,10,3,30.0
Tyler Toffoli,C,76,23,26,49,25,37,14:35,3,2,200,11.5,1463,3,4,5,44.4,4,0,0.0
Mats Zuccarello,RW,78,15,34,49,17,45,17:15,0,6,154,9.7,1822,3,16,21,43.2,7,3,42.9
Justin Faulk,D,82,15,34,49,-19,30,24:25,7,13,238,6.3,2501,4,0,0,0.0,0,0,0.0
Mark Scheifele,C,82,15,34,49,11,24,18:35,3,10,170,8.8,1918,2,492,656,42.9,2,0,0.0
David Desharnais,C,82,14,34,48,22,24,17:14,2,9,90,15.6,1868,4,629,560,52.9,12,4,33.3
Mike Hoffman,C,79,27,21,48,16,14,14:33,1,2,199,13.6,1528,4,7,7,50.0,5,0,0.0
Mikko Koivu,C,80,14,34,48,2,38,19:16,4,11,179,7.8,1949,4,989,802,55.2,6,3,50.0
