Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Mario Lemieux,C,70,69,92,161,10,54,0:00,31,48,338,20.4,0,8,0,0,0.0,0,0,0.0
Jaromir Jagr,RW,82,62,87,149,31,96,0:00,20,31,403,15.4,0,12,0,0,0.0,0,0,0.0
Joe Sakic,C,82,51,69,120,14,44,0:00,17,33,339,15.0,0,7,0,0,0.0,0,0,0.0
Ron Francis,C,77,27,92,119,23,56,0:00,12,42,158,17.1,0,4,0,0,0.0,0,0,0.0
Peter Forsberg,C,82,30,86,116,25,47,0:00,7,32,217,13.8,0,3,0,0,0.0,0,0,0.0
Eric Lindros,RW,73,47,68,115,26,163,0:00,15,24,294,16.0,0,4,0,0,0.0,0,0,0.0
Paul Kariya,LW,82,50,58,108,8,20,0:00,20,21,349,14.3,0,9,0,0,0.0,0,0,0.0
Teemu Selanne,RW,79,40,68,108,5,22,0:00,9,39,267,15.0,0,5,0,0,0.0,0,0,0.0
Sergei Fedorov,C,78,39,68,107,50,48,0:00,11,26,306,12.7,0,11,0,0,0.0,0,0,0.0
Alexander Mogilny,RW,79,55,52,107,14,16,0:00,10,19,292,18.8,0,6,0,0,0.0,0,0,0.0
Doug Weight,C,82,25,79,104,-19,95,0:00,9,37,204,12.3,0,2,0,0,0.0,0,0,0.0
Wayne Gretzky,C,80,23,79,102,-13,34,0:00,6,41,195,11.8,0,3,0,0,0.0,0,0,0.0
Mark Messier,C,74,47,52,99,29,122,0:00,14,23,241,19.5,0,5,0,0,0.0,0,0,0.0
Petr Nedved,C,80,45,54,99,37,68,0:00,8,12,204,22.1,0,5,0,0,0.0,0,0,0.0
Keith Tkachuk,LW,76,50,48,98,11,156,0:00,20,21,249,20.1,0,6,0,0,0.0,0,0,0.0
John LeClair,LW,82,51,46,97,21,64,0:00,19,18,270,18.9,0,10,0,0,0.0,0,0,0.0
Theoren Fleury,RW,80,46,50,96,17,112,0:00,17,17,353,13.0,0,4,0,0,0.0,0,0,0.0
Pierre Turgeon,C,80,38,58,96,19,44,0:00,17,18,297,12.8,0,6,0,0,0.0,0,0,0.0
