Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Nikita Kucherov,RW,82,41,87,128,24,62,19:57,15,33,246,16.7,1765,8,0,3,0.0,7,4,57.1
Connor McDavid,C,78,41,75,116,3,20,22:50,9,24,240,17.1,1998,9,428,490,46.6,4,2,50.0
Patrick Kane,RW,81,44,66,110,2,22,22:29,9,21,341,12.9,1912,7,1,4,20.0,4,2,50.0
Leon Draisaitl,C,82,50,55,105,2,52,22:35,16,13,231,21.6,2126,5,677,663,50.5,4,1,25.0
Sidney Crosby,C,79,35,65,100,18,36,20:59,12,17,220,15.9,2036,3,1012,814,55.4,5,1,20.0
Brad Marchand,LW,79,36,64,100,15,96,19:37,10,24,231,15.6,1821,9,45,60,42.9,5,1,20.0
Johnny Gaudreau,LW,82,36,63,99,18,24,20:04,6,21,245,14.7,1923,8,1,2,33.3,2,0,0.0
Nathan MacKinnon,C,82,41,58,99,20,34,22:05,12,25,365,11.2,2024,6,517,666,43.7,4,1,25.0
Steven Stamkos,C,82,45,53,98,4,37,18:18,19,21,234,19.2,1789,6,506,447,53.1,3,2,66.7
Aleksander Barkov,C,82,35,61,96,-3,8,22:21,13,18,206,17.0,2218,5,1041,898,53.7,10,3,30.0
Mitch Marner,RW,82,26,68,94,22,22,19:49,3,18,233,11.2,2066,5,7,4,63.6,2,0,0.0
Brayden Point,C,79,41,51,92,27,28,18:55,20,15,191,21.5,1675,7,435,421,50.8,6,0,0.0
Jonathan Huberdeau,C,82,30,62,92,-14,40,18:51,11,23,226,13.3,1846,5,12,7,63.2,8,4,50.0
Blake Wheeler,RW,82,20,71,91,0,60,20:42,2,31,231,8.7,1979,3,31,57,35.2,1,0,0.0
Alex Ovechkin,LW,81,51,38,89,7,40,20:55,18,10,338,15.1,1682,5,1,4,20.0,4,2,50.0
John Tavares,C,82,47,41,88,19,34,19:05,10,9,286,16.4,1969,8,832,696,54.5,2,0,0.0
Artemi Panarin,LW,79,28,59,87,14,23,19:51,6,12,191,14.7,1816,8,1,3,25.0,3,2,66.7
Mikko Rantanen,RW,74,31,56,87,13,54,20:50,16,17,193,16.1,1704,4,17,29,37.0,2,2,100.0
