Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Mario Lemieux,C,76,50,72,122,27,65,0:00,15,22,327,15.3,0,7,0,0,0.0,0,0,0.0
Teemu Selanne,RW,78,51,58,109,28,34,0:00,11,21,273,18.7,0,8,0,0,0.0,0,0,0.0
Paul Kariya,LW,69,44,55,99,36,6,0:00,15,19,340,12.9,0,10,0,0,0.0,0,0,0.0
John LeClair,LW,82,50,47,97,44,58,0:00,10,6,324,15.4,0,5,0,0,0.0,0,0,0.0
Wayne Gretzky,C,82,25,72,97,12,28,0:00,6,25,286,8.7,0,2,0,0,0.0,0,0,0.0
Jaromir Jagr,RW,63,47,48,95,22,40,0:00,11,14,234,20.1,0,6,0,0,0.0,0,0,0.0
Mats Sundin,C,82,41,53,94,6,59,0:00,7,13,281,14.6,0,8,0,0,0.0,0,0,0.0
Ron Francis,C,81,27,63,90,7,20,0:00,10,24,183,14.8,0,2,0,0,0.0,0,0,0.0
Zigmund Palffy,RW,80,48,42,90,21,43,0:00,6,15,292,16.4,0,6,0,0,0.0,0,0,0.0
Brendan Shanahan,LW,81,47,41,88,32,131,0:00,20,15,336,14.0,0,7,0,0,0.0,0,0,0.0
Peter Forsberg,C,65,28,58,86,31,73,0:00,5,21,188,14.9,0,4,0,0,0.0,0,0,0.0
Keith Tkachuk,LW,81,52,34,86,-1,228,0:00,9,10,296,17.6,0,7,0,0,0.0,0,0,0.0
Pierre Turgeon,C,78,26,59,85,8,14,0:00,5,22,216,12.0,0,7,0,0,0.0,0,0,0.0
Steve Yzerman,C,81,22,63,85,22,78,0:00,8,18,232,9.5,0,3,0,0,0.0,0,0,0.0
Mark Messier,C,71,36,48,84,12,88,0:00,7,11,227,15.9,0,9,0,0,0.0,0,0,0.0
Mike Modano,C,80,35,48,83,43,42,0:00,9,8,291,12.0,0,9,0,0,0.0,0,0,0.0
Doug Gilmour,C,81,22,60,82,2,68,0:00,4,18,143,15.4,0,1,0,0,0.0,0,0,0.0
Brett Hull,RW,77,42,40,82,-9,10,0:00,12,14,302,13.9,0,6,0,0,0.0,0,0,0.0
