Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Luka Doncic,G,41,36.0,33.4,10.6,22.3,47.5,3.6,10.4,34.8,8.6,11.0,77.9,7.9,8.7,1.5,0.5,4.2,25,6
Shai Gilgeous-Alexander,G,49,33.3,31.8,10.9,19.7,55.4,1.8,4.6,39.0,8.2,9.2,89.2,4.4,6.4,1.3,0.8,2.1,5,0
Anthony Edwards,G,42,35.5,29.7,10.2,20.7,49.4,3.4,8.4,40.1,5.9,7.4,79.2,5.3,3.7,1.3,0.8,2.7,2,0
Jaylen Brown,G,46,34.3,29.5,10.9,22.5,48.6,2.2,5.9,36.3,5.5,7.0,77.5,7.0,4.8,1.0,0.4,3.6,10,2
Tyrese Maxey,G,48,38.9,28.9,10.1,21.5,47.1,3.4,8.8,39.0,5.2,5.8,88.9,4.2,6.8,2.0,0.8,2.4,5,0
Donovan Mitchell,G,48,33.8,28.8,10.0,20.7,48.4,3.7,9.7,38.1,5.0,5.9,84.6,4.6,5.9,1.5,0.2,3.1,3,0
Kawhi Leonard,F,37,32.7,27.6,9.7,19.5,49.7,2.7,7.0,39.0,5.5,6.0,91.4,6.1,3.6,2.0,0.6,2.1,4,0
Jalen Brunson,G,46,34.6,27.4,9.7,20.6,47.3,3.0,7.8,38.1,5.0,5.9,85.2,3.3,6.1,0.7,0.1,2.3,6,0
Lauri Markkanen,F,37,35.5,27.4,9.3,19.5,47.7,2.8,7.9,35.7,6.0,6.7,88.8,7.0,2.2,1.0,0.5,1.5,5,0
Stephen Curry,G,39,31.3,27.2,8.9,19.1,46.8,4.5,11.5,39.1,4.9,5.2,93.1,3.5,4.8,1.1,0.4,2.8,3,0
Kevin Durant,F,46,36.7,25.9,9.1,18.0,50.8,2.3,5.7,39.9,5.4,6.1,88.9,5.4,4.5,0.7,0.9,3.0,5,0
Jamal Murray,G,47,35.8,25.9,9.1,18.8,48.6,3.2,7.5,43.2,4.4,5.0,88.0,4.3,7.5,1.0,0.4,2.3,13,0
Deni Avdija,F,44,34.6,25.5,7.8,16.7,46.7,2.3,6.4,35.6,7.6,9.5,80.0,7.2,6.7,0.8,0.6,3.9,13,3
Michael Porter Jr.,F,39,33.1,25.5,9.0,18.8,48.0,3.7,9.6,38.9,3.7,4.4,84.7,7.3,3.2,1.1,0.3,2.5,9,0
Devin Booker,G,41,34.0,25.4,8.4,18.4,45.6,1.7,5.5,31.3,7.0,8.0,86.4,4.0,6.2,0.9,0.3,3.3,5,0
James Harden,G,44,35.4,25.4,7.3,17.5,41.9,3.1,8.8,34.7,7.7,8.5,90.1,4.8,8.1,1.3,0.4,3.7,14,2
Cade Cunningham,G,43,35.2,25.3,8.9,19.3,46.0,1.9,5.8,32.4,5.7,7.1,80.9,5.5,9.8,1.5,0.9,3.7,27,3
Keyonte George,G,47,34.4,24.2,7.6,16.5,45.9,2.6,6.8,37.7,6.4,7.2,89.3,4.0,6.6,1.1,0.3,3.3,4,0
Victor Wembanyama,F,36,28.9,24.0,8.3,16.4,50.6,1.7,4.8,35.7,5.8,7.1,81.3,11.1,2.7,0.9,2.7,2.7,22,1
Pascal Siakam,F,48,33.9,23.8,9.0,18.5,48.5,1.8,4.8,38.1,4.1,5.9,69.0,6.8,4.0,1.1,0.5,2.2,9,0
Jalen Johnson,F,47,35.6,23.2,8.6,17.2,50.2,1.7,4.7,36.4,4.3,5.5,77.5,10.5,8.0,1.3,0.5,3.5,33,9
Norman Powell,G,43,30.7,23.0,7.7,16.3,47.2,2.8,7.2,39.2,4.8,5.7,84.4,3.6,2.6,1.2,0.2,2.0,1,0
Julius Randle,F,52,33.5,22.1,7.7,15.8,48.8,1.6,4.7,32.9,5.2,6.3,82.0,6.8,5.4,1.1,0.2,2.6,13,2
Trey Murphy III,F,49,35.9,22.1,7.8,16.4,47.3,3.2,8.5,37.3,3.4,3.8,89.4,5.8,3.7,1.6,0.3,1.9,4,0
Brandon Ingram,F,50,34.1,21.9,8.2,17.4,47.0,1.8,5.0,36.1,3.8,4.6,83.4,5.9,3.7,0.8,0.8,2.5,1,0
Shaedon Sharpe,G,47,30.3,21.8,8.2,18.0,45.7,2.1,6.3,34.1,3.2,4.1,78.1,4.5,2.6,1.4,0.1,3.0,0,0
Paolo Banchero,F,39,34.4,21.6,7.2,15.7,45.9,1.1,3.7,30.1,6.1,7.9,76.6,8.6,4.8,0.7,0.6,2.8,16,2
Alperen Sengun,C,42,34.0,21.2,8.2,16.5,49.9,0.6,2.0,29.3,4.2,6.1,69.0,9.4,6.2,1.4,1.0,3.3,23,1
Dillon Brooks,F,45,31.0,20.9,7.6,17.2,44.0,2.4,6.8,35.8,3.4,3.9,85.8,3.6,1.8,1.1,0.2,1.8,0,0
Nickeil Alexander-Walker,G,50,32.9,20.3,6.9,15.8,43.8,3.1,8.3,38.0,3.4,3.8,87.5,3.5,3.5,1.1,0.6,2.0,0,0
Cooper Flagg,F,46,34.1,20.1,7.7,15.9,48.4,1.0,3.5,29.4,3.7,4.6,80.2,6.7,4.2,1.2,0.8,2.2,8,0
Jimmy Butler III,F,38,31.1,20.0,6.3,12.2,51.9,0.8,2.2,37.6,6.5,7.6,86.4,5.6,4.9,1.4,0.2,1.6,3,0
Karl-Anthony Towns,C,48,31.5,19.9,6.5,14.1,46.5,1.6,4.6,35.6,5.2,6.1,85.3,11.9,2.9,0.9,0.6,2.5,34,0
De'Aaron Fox,G,41,32.5,19.7,7.3,15.2,47.9,2.0,5.8,34.9,3.1,4.0,79.0,4.0,6.2,1.3,0.3,2.5,6,0
Zach LaVine,G,38,31.7,19.5,6.8,14.2,48.1,2.6,6.6,39.4,3.2,3.7,87.9,2.8,2.2,0.7,0.2,1.9,0,0
Scottie Barnes,F,51,34.5,19.4,7.5,14.9,50.3,0.9,3.1,30.6,3.4,4.2,81.3,8.4,5.6,1.3,1.5,2.7,23,2
DeMar DeRozan,G,52,33.0,19.3,6.8,13.5,50.7,0.7,2.1,34.2,4.9,5.6,86.3,3.2,3.9,1.2,0.2,1.2,0,0
Jaren Jackson Jr.,F,45,30.7,19.2,7.1,14.9,47.5,1.8,4.9,35.9,3.3,4.2,79.7,5.8,1.9,1.0,1.5,2.2,3,0
Desmond Bane,G,49,34.0,19.2,7.0,15.1,46.4,1.8,5.0,36.2,3.3,3.5,93.6,4.3,4.3,0.8,0.5,2.1,1,0
LaMelo Ball,G,41,27.4,19.1,6.7,16.6,40.6,3.3,9.2,36.3,2.3,2.6,88.8,4.9,7.5,1.1,0.2,3.1,8,1
CJ McCollum,G,47,30.0,18.8,7.0,15.2,45.8,2.6,6.8,38.9,2.2,2.8,76.7,3.5,3.5,0.7,0.3,1.7,0,0
Kon Knueppel,G,50,32.0,18.7,6.5,13.4,48.2,3.3,7.8,42.5,2.5,2.8,89.2,5.5,3.6,0.7,0.2,2.2,5,0
Miles Bridges,F,50,32.4,18.3,6.5,14.6,44.7,2.2,6.5,33.0,3.1,3.7,83.6,6.1,3.5,0.5,0.5,1.4,6,0
Bam Adebayo,C,44,31.1,18.1,6.5,14.5,44.4,1.6,4.7,34.6,3.6,4.5,79.4,9.9,2.8,1.0,0.7,1.8,20,0
Jalen Duren,C,42,28.2,18.0,7.0,11.1,63.4,0.0,0.0,0.0,4.0,5.4,73.1,10.7,1.8,0.9,0.8,1.9,24,0
Amen Thompson,G,49,37.3,18.0,6.9,13.8,50.3,0.3,1.7,20.0,3.8,4.9,78.2,7.7,5.5,1.4,0.6,2.5,10,0
Evan Mobley,C,42,33.4,17.9,6.9,13.5,51.2,1.1,3.8,30.4,2.9,4.6,63.5,8.8,4.0,0.9,2.0,2.1,17,0
Chet Holmgren,C,45,29.2,17.7,6.6,11.7,56.6,1.3,3.7,35.8,3.1,4.0,77.2,8.5,1.6,0.5,2.0,1.6,14,0
Alex Sarr,C,39,28.5,17.4,7.0,14.2,49.6,1.0,2.9,33.3,2.4,3.4,70.7,7.7,2.8,0.8,2.1,1.7,11,0
Andrew Nembhard,G,40,32.1,17.3,6.1,13.6,44.8,1.9,5.1,36.8,3.3,4.1,80.5,3.0,7.5,0.9,0.2,2.4,7,0
Derrick White,G,49,34.2,17.3,6.0,15.4,39.0,2.9,8.8,32.3,2.4,2.7,89.5,4.5,5.6,1.2,1.4,1.9,1,0
Payton Pritchard,G,50,32.6,17.1,6.5,14.0,46.0,2.6,7.2,35.4,1.7,1.9,85.6,4.3,5.3,0.7,0.1,1.1,4,0
Immanuel Quickley,G,49,32.5,16.9,5.9,13.3,44.3,2.6,6.9,37.9,2.6,3.2,80.1,4.5,6.1,1.3,0.1,1.7,6,0
Nikola Vucevic,C,48,30.8,16.9,6.9,13.8,50.5,1.7,4.5,37.6,1.3,1.5,83.8,9.0,3.8,0.7,0.6,1.4,19,0
Ryan Rollins,G,49,32.0,16.8,6.4,13.8,46.5,2.4,5.8,40.6,1.6,2.1,75.7,4.6,5.5,1.5,0.4,2.3,2,0
OG Anunoby,F,41,33.0,16.6,5.8,12.2,47.9,2.1,5.6,37.0,2.8,3.5,80.0,5.5,2.4,1.7,0.7,2.1,4,0
Stephon Castle,G,40,31.0,16.5,5.6,12.3,45.0,1.1,3.8,27.8,4.4,6.0,72.2,5.0,7.0,1.3,0.3,3.4,7,1
Saddiq Bey,G,46,30.4,16.4,5.6,12.6,44.8,1.8,5.3,35.0,3.3,3.9,84.0,5.8,2.4,1.0,0.0,0.6,6,0
Onyeka Okongwu,F,47,32.0,16.3,6.1,12.6,48.2,2.0,5.4,36.7,2.1,2.7,78.1,7.9,3.3,1.2,1.0,2.0,11,0
Anthony Black,G,49,31.1,15.8,5.7,12.5,45.7,1.7,4.8,34.6,2.8,3.7,74.2,4.1,4.0,1.3,0.7,2.3,2,0
Mikal Bridges,G,51,34.6,15.7,6.3,12.5,50.2,2.2,5.6,38.9,0.9,1.2,81.4,4.2,4.2,1.5,0.8,1.0,1,0
Andrew Wiggins,F,47,31.2,15.6,6.0,12.8,46.8,1.8,4.8,38.4,1.8,2.3,79.2,4.9,2.9,1.2,1.0,1.8,1,0
Jaime Jaquez Jr.,F,47,28.8,15.4,6.3,12.1,51.8,0.5,1.9,28.7,2.4,3.1,75.0,5.4,4.7,0.8,0.2,2.2,5,0
Russell Westbrook,G,49,29.6,15.3,5.7,13.1,43.0,2.1,5.9,34.8,2.0,2.8,70.3,5.8,6.7,1.4,0.2,3.4,13,4
Kyshawn George,F,40,30.9,15.3,5.6,12.5,44.5,2.1,5.7,37.6,2.1,2.7,78.3,5.6,5.0,1.1,0.9,2.9,3,0
Jaden McDaniels,F,50,32.3,15.2,5.8,11.1,52.2,1.6,3.5,45.4,2.1,2.5,85.4,4.3,2.9,1.0,1.0,1.7,0,0
VJ Edgecombe,G,46,35.6,15.1,5.6,13.1,42.7,2.1,5.7,36.0,1.8,2.4,77.1,5.3,4.3,1.5,0.5,1.8,2,0
Jabari Smith Jr.,F,48,34.9,15.1,5.4,12.6,43.3,2.2,6.3,35.5,2.0,2.6,76.4,6.8,1.9,0.8,1.0,1.3,9,0
Ayo Dosunmu,G,45,26.4,15.0,5.6,10.8,51.4,1.9,4.3,45.1,2.0,2.3,85.7,3.0,3.6,0.8,0.3,1.4,0,0
Matas Buzelis,F,51,28.2,14.9,5.4,11.4,47.3,2.0,5.4,36.6,2.2,2.9,77.4,5.3,2.0,0.6,1.5,1.8,2,0
Peyton Watson,G,49,30.7,14.9,5.4,10.9,49.6,1.5,3.7,41.7,2.6,3.6,72.7,4.9,2.0,1.0,1.2,1.8,2,0
