Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Tracy McGrady,SG,67,39.9,28.0,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,6.0,5.5,1.4,0.6,2.7,12,0
Allen Iverson,SG,48,42.5,26.4,9.1,23.4,38.7,1.2,4.1,28.6,7.1,9.5,74.5,3.7,6.8,2.4,0.1,4.4,8,0
Peja Stojakovic,SF,81,40.3,24.2,8.2,17.1,48.0,3.0,6.8,43.3,4.9,5.2,92.7,6.3,2.1,1.3,0.2,1.9,9,0
Kevin Garnett,PF,82,39.4,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,13.9,5.0,1.5,2.2,2.6,71,2
Kobe Bryant,SF,65,37.6,24.0,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,5.5,5.1,1.7,0.4,2.6,10,1
Ray Allen,SG,56,38.4,23.0,8.0,18.2,44.0,2.6,6.8,39.2,4.4,4.8,90.4,5.1,4.8,1.3,0.2,2.8,6,1
Paul Pierce,SF,80,38.7,23.0,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,6.5,5.1,1.6,0.7,3.8,19,1
Baron Davis,PG,67,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,4.3,7.5,2.4,0.4,3.2,22,0
Vince Carter,G,73,38.2,22.5,8.3,20.0,41.7,1.3,3.3,38.3,4.6,5.7,80.6,4.8,4.8,1.2,0.9,3.1,7,0
Tim Duncan,C,69,36.6,22.3,8.6,17.1,50.1,0.0,0.2,16.7,5.1,8.5,59.9,12.4,3.1,0.9,2.7,2.7,56,0
Dirk Nowitzki,F,77,37.9,21.8,7.9,17.0,46.2,1.3,3.8,34.1,4.8,5.5,87.7,8.7,2.7,1.2,1.4,1.8,31,0
Michael Redd,SG,82,36.8,21.7,7.7,17.5,44.0,1.5,4.4,35.0,4.7,5.4,86.8,5.0,2.3,1.0,0.1,1.4,2,0
Shaquille O'Neal,C,67,36.8,21.5,8.3,14.1,58.4,0.0,0.0,0.0,4.9,10.1,49.0,11.5,2.9,0.5,2.5,2.9,43,0
