Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Michael Jordan,G,82,38.8,28.7,10.7,23.1,46.5,0.4,1.5,23.8,6.9,8.8,78.4,5.8,3.5,1.7,0.5,2.3,5,0
Shaquille O'Neal,C,60,36.3,28.3,11.2,19.1,58.4,0.0,0.0,0.0,6.0,11.4,52.7,11.4,2.4,0.7,2.4,2.9,39,0
Karl Malone,PF,81,37.4,27.0,9.6,18.2,53.0,0.0,0.1,33.3,7.8,10.2,76.1,10.3,3.9,1.2,0.9,3.0,41,0
Glenn Robinson,SF,56,41.0,23.4,9.5,20.3,47.0,0.4,1.2,38.5,3.8,4.8,80.8,5.5,2.8,1.2,0.6,3.6,2,0
Mitch Richmond,G,70,36.7,23.2,7.8,17.4,44.5,1.9,4.8,38.9,5.8,6.7,86.4,3.3,4.0,1.3,0.2,2.6,1,0
Antoine Walker,PF,82,39.9,22.4,8.8,20.8,42.3,1.1,3.6,31.2,3.7,5.8,64.5,10.2,3.3,1.7,0.7,3.6,47,1
Shareef Abdur-Rahim,PF,82,36.0,22.3,8.0,16.4,48.5,0.3,0.6,41.2,6.1,7.8,78.4,7.1,2.6,1.1,0.9,3.1,13,0
Glen Rice,SF,82,40.2,22.3,7.7,16.9,45.7,1.6,3.7,43.3,5.2,6.1,84.9,4.3,2.2,0.9,0.3,2.2,2,0
Allen Iverson,SG,80,39.4,22.0,8.1,17.6,46.1,0.9,2.9,29.8,4.9,6.7,72.9,3.7,6.2,2.2,0.3,3.1,12,0
Chris Webber,C,71,39.6,21.9,9.1,18.9,48.2,0.9,2.9,31.7,2.8,4.7,58.9,9.5,3.8,1.6,1.7,2.6,35,0
David Robinson,C,73,33.7,21.6,7.5,14.6,51.1,0.0,0.1,25.0,6.6,9.0,73.5,10.6,2.7,0.9,2.6,2.8,40,0
Michael Finley,SG,82,41.4,21.5,8.2,18.4,44.8,1.1,3.0,35.7,4.0,5.1,78.4,5.3,4.9,1.6,0.4,2.7,9,1
Latrell Sprewell,SG,14,39.1,21.4,7.9,19.8,39.7,0.6,3.4,18.8,5.0,6.7,74.5,3.6,4.9,1.4,0.4,3.1,0,0
Grant Hill,SF,81,40.7,21.1,7.6,16.8,45.2,0.0,0.3,14.3,5.9,8.0,74.0,7.7,6.8,1.8,0.7,3.5,36,4
Tim Duncan,C,82,39.1,21.1,8.6,15.7,54.9,0.0,0.1,0.0,3.9,5.9,66.2,11.9,2.7,0.7,2.5,3.4,57,0
Patrick Ewing,C,26,32.6,20.8,7.8,15.5,50.4,0.0,0.1,0.0,5.2,7.2,72.0,10.2,1.1,0.6,2.2,3.0,17,0
Tom Gugliotta,PF,41,38.6,20.1,7.8,15.5,50.2,0.0,0.4,11.8,4.5,5.4,82.1,8.7,4.1,1.5,0.5,2.7,17,0
Steve Smith,SG,73,39.1,20.1,6.7,15.1,44.4,1.3,3.8,35.1,5.3,6.2,85.5,4.2,4.0,1.0,0.4,2.4,1,0
Eric Williams,PF,4,36.3,19.8,6.0,15.3,39.3,0.0,0.0,0.0,7.8,11.3,68.9,5.3,3.0,1.0,0.0,2.3,0,0
Isaiah Rider,G,74,37.6,19.7,7.4,17.6,42.3,1.8,5.7,32.1,3.0,3.6,82.8,4.7,3.1,0.7,0.3,2.5,3,0
Keith Van Horn,PF,62,37.5,19.7,7.2,16.9,42.6,1.1,3.6,30.8,4.2,4.9,84.6,6.6,1.7,1.0,0.4,2.6,10,0
Sam Cassell,PG,75,34.7,19.6,6.8,15.4,44.1,0.2,1.1,18.8,5.8,6.8,86.0,3.0,8.0,1.6,0.3,3.6,20,0
Ray Allen,SG,82,40.1,19.5,6.9,16.0,42.8,1.6,4.5,36.4,4.2,4.8,87.5,4.9,4.3,1.4,0.1,3.2,8,0
Reggie Miller,SG,81,34.5,19.5,6.4,13.3,47.7,2.0,4.7,42.9,4.7,5.4,86.8,2.9,2.1,1.0,0.1,1.6,0,0
Alonzo Mourning,C,58,33.4,19.2,6.9,12.6,55.1,0.0,0.0,0.0,5.3,8.0,66.5,9.6,0.9,0.7,2.2,3.1,24,0
Vin Baker,PF,82,35.9,19.2,7.7,14.2,54.2,0.0,0.1,14.3,3.8,6.4,59.1,8.0,1.9,1.1,1.0,2.1,27,0
Gary Payton,PG,82,38.4,19.2,7.1,15.6,45.3,1.6,4.8,33.8,3.4,4.6,74.4,4.6,8.3,2.3,0.2,2.8,28,1
Scottie Pippen,SF,44,37.5,19.1,7.2,16.0,44.7,1.4,4.4,31.8,3.4,4.4,77.7,5.2,5.8,1.8,1.0,2.5,4,0
Tim Hardaway,G,81,37.4,18.9,6.9,16.0,43.1,1.9,5.5,35.1,3.2,4.1,78.1,3.7,8.3,1.7,0.2,2.8,35,0
Kevin Garnett,PF,82,39.3,18.5,7.7,15.8,49.1,0.0,0.2,18.8,3.0,4.0,73.8,9.6,4.2,1.7,1.8,2.3,45,1
Juwan Howard,PF,64,40.0,18.5,7.2,15.5,46.7,0.0,0.0,0.0,4.0,5.6,72.1,7.0,3.3,1.3,0.4,2.9,11,0
Allan Houston,SG,82,34.7,18.4,7.0,15.6,44.7,1.0,2.6,38.5,3.5,4.1,85.1,3.3,2.6,0.8,0.3,2.4,1,0
