Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Michael Jordan,G,82,37.9,29.6,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7.0,83.3,5.9,4.3,1.7,0.5,2.0,9,1
Karl Malone,PF,82,36.6,27.4,10.5,19.2,55.0,0.0,0.2,0.0,6.4,8.4,75.5,9.9,4.5,1.4,0.6,2.8,41,1
Glen Rice,SF,79,42.6,26.8,9.1,19.2,47.7,2.6,5.6,47.0,5.9,6.8,86.7,4.0,2.0,0.9,0.3,2.2,0,0
Shaquille O'Neal,C,51,38.1,26.2,10.8,19.4,55.7,0.0,0.1,0.0,4.5,9.4,48.4,12.5,3.1,0.9,2.9,2.9,44,0
Mitch Richmond,G,81,38.6,25.9,8.9,19.5,45.4,2.5,5.9,42.8,5.6,6.6,86.1,3.9,4.2,1.5,0.3,2.9,4,1
Latrell Sprewell,SG,80,41.9,24.2,8.1,18.1,44.9,1.8,5.2,35.4,6.2,7.3,84.3,4.6,6.3,1.7,0.6,4.0,15,1
Allen Iverson,SG,76,40.1,23.5,8.2,19.8,41.6,2.0,6.0,34.1,5.0,7.2,70.2,4.1,7.5,2.1,0.3,4.4,19,0
Hakeem Olajuwon,C,78,36.6,23.2,9.3,18.3,51.0,0.1,0.2,31.3,4.5,5.7,78.7,9.2,3.0,1.5,2.2,3.6,28,1
Patrick Ewing,C,78,37.0,22.4,8.4,17.2,48.8,0.0,0.1,22.2,5.6,7.5,75.4,10.7,2.0,0.9,2.4,3.4,47,0
LaPhonso Ellis,F,55,36.4,21.9,8.1,18.4,43.9,1.7,4.7,36.7,4.0,5.1,77.3,7.0,2.4,0.8,0.7,2.1,8,0
Kendall Gill,SF,82,39.0,21.8,7.9,17.7,44.3,0.9,2.7,33.6,5.2,6.5,79.7,6.1,4.0,1.9,0.6,2.7,9,0
Gary Payton,PG,82,39.2,21.8,8.6,18.1,47.6,1.5,4.6,31.3,3.1,4.3,71.5,4.6,7.1,2.4,0.2,2.6,19,2
Reggie Miller,SG,81,36.6,21.6,6.8,15.4,44.4,2.8,6.6,42.7,5.2,5.9,88.0,3.5,3.4,0.9,0.3,2.0,1,0
Grant Hill,SF,80,39.3,21.4,7.8,15.7,49.6,0.1,0.4,30.3,5.6,7.9,71.1,9.0,7.3,1.8,0.6,3.2,36,13
Glenn Robinson,SF,80,38.9,21.1,8.4,18.0,46.5,0.8,2.3,35.0,3.6,4.6,79.1,6.3,3.1,1.3,0.9,3.4,8,0
Vin Baker,PF,78,40.5,21.0,8.1,16.0,50.5,0.2,0.7,27.8,4.6,6.7,68.7,10.3,2.7,1.0,1.4,3.1,45,0
Jerry Stackhouse,SF,81,39.1,20.7,6.6,16.1,40.7,1.3,4.2,29.8,6.3,8.2,76.6,4.2,3.1,1.1,0.8,3.9,1,0
Tom Gugliotta,PF,81,38.7,20.6,7.3,16.5,44.2,0.3,1.1,25.8,5.7,7.0,82.0,8.7,4.1,1.6,1.1,3.6,32,0
Anfernee Hardaway,SF,59,37.6,20.5,7.1,15.9,44.7,1.4,4.5,31.8,4.8,5.8,82.0,4.5,5.6,1.6,0.6,2.5,2,0
Tim Hardaway,G,81,38.7,20.3,7.1,17.1,41.5,2.5,7.3,34.4,3.6,4.5,79.9,3.4,8.6,1.9,0.1,2.8,25,0
Scottie Pippen,SF,82,37.7,20.2,7.9,16.7,47.4,1.9,5.2,36.8,2.5,3.5,70.1,6.5,5.7,1.9,0.5,2.6,14,0
Damon Stoudamire,PG,81,40.9,20.2,7.0,17.4,40.1,2.2,6.1,35.5,4.1,5.0,82.3,4.1,8.8,1.5,0.2,3.6,33,2
Kevin Johnson,G,70,38.0,20.1,6.3,12.7,49.6,1.3,2.9,44.1,6.3,7.4,85.2,3.6,9.3,1.5,0.2,3.1,30,2
Steve Smith,SG,72,39.1,20.1,6.8,15.9,42.9,1.8,5.4,33.5,4.6,5.5,84.7,3.3,4.2,0.9,0.3,2.4,2,0
Chris Webber,C,72,39.0,20.1,8.4,16.2,51.8,0.8,2.1,39.7,2.5,4.3,56.5,10.3,4.6,1.7,1.9,3.2,40,2
Alonzo Mourning,C,66,35.2,19.8,7.2,13.4,53.4,0.0,0.1,11.1,5.5,8.6,64.2,9.9,1.6,0.8,2.9,3.4,32,0
Terrell Brandon,PG,78,36.8,19.5,7.4,16.8,43.8,1.3,3.5,37.3,3.4,3.8,90.2,3.9,6.3,1.8,0.4,2.3,8,0
Charles Barkley,F,53,37.9,19.2,6.3,13.1,48.4,1.1,3.9,28.3,5.4,7.8,69.4,13.5,4.7,1.3,0.5,2.8,37,1
Juwan Howard,PF,82,40.5,19.1,7.8,16.0,48.6,0.0,0.0,0.0,3.6,4.7,75.6,8.0,3.8,1.1,0.3,3.0,24,0
Chris Gatling,C,47,27.3,19.0,7.0,13.3,52.5,0.0,0.1,16.7,5.0,7.0,71.7,7.9,0.6,0.8,0.7,2.6,16,0
Shawn Kemp,C,81,34.0,18.7,6.5,12.7,51.0,0.1,0.4,36.4,5.6,7.5,74.2,10.0,1.9,1.5,1.0,3.5,44,0
Shareef Abdur-Rahim,PF,80,35.0,18.7,6.9,15.2,45.3,0.1,0.3,25.9,4.8,6.5,74.6,6.9,2.2,1.0,1.0,2.8,16,1
Joe Smith,PF,80,38.6,18.7,7.3,16.2,45.4,0.2,0.6,26.1,3.8,4.7,81.4,8.5,1.6,0.9,1.1,2.4,31,0
Antonio McDyess,PF,74,34.7,18.3,7.2,15.6,46.3,0.1,0.5,17.1,3.7,5.2,70.8,7.3,1.4,0.8,1.7,2.7,19,0
Dominique Wilkins,F,63,30.9,18.2,6.3,15.1,41.7,1.1,3.8,29.3,4.5,5.6,80.3,6.4,1.9,0.6,0.5,2.1,10,0
Christian Laettner,PF,82,38.3,18.1,6.7,13.8,48.6,0.4,1.1,35.2,4.4,5.4,81.6,8.8,2.7,1.2,0.8,2.7,31,0
Derrick Coleman,PF,57,36.9,18.1,6.4,14.7,43.5,0.6,2.1,26.9,4.8,6.4,74.5,10.1,3.4,0.9,1.3,3.2,28,0
Clyde Drexler,G,62,36.6,18.0,6.4,14.5,44.2,1.9,5.4,35.5,3.2,4.3,75.0,6.0,5.7,1.9,0.6,2.5,10,3
David Robinson,C,6,24.5,17.7,6.0,12.0,50.0,0.0,0.0,0.0,5.7,8.7,65.4,8.5,1.3,1.0,1.0,1.3,2,0
Kenny Anderson,PG,82,37.6,17.5,5.9,13.9,42.7,1.6,4.5,36.1,4.1,5.3,76.8,4.4,7.1,2.0,0.2,2.4,13,0
Antoine Walker,PF,82,36.2,17.5,7.0,16.5,42.5,0.6,1.9,32.7,2.8,4.5,63.1,9.0,3.2,1.3,0.6,2.8,33,2
Mookie Blaylock,G,78,39.2,17.4,6.4,14.9,43.2,2.8,7.7,36.6,1.7,2.2,75.3,5.3,5.9,2.7,0.3,2.4,14,0
Rony Seikaly,C,74,35.3,17.3,6.2,12.3,50.7,0.0,0.0,0.0,4.8,6.8,71.4,9.5,1.2,0.7,1.4,2.9,32,0
Rod Strickland,PG,82,36.5,17.2,6.3,13.5,46.6,0.2,0.9,16.9,4.5,6.1,73.8,4.1,8.9,1.7,0.2,3.3,31,0
Eddie Jones,SG,80,37.5,17.2,5.9,13.5,43.8,1.9,4.9,39.1,3.5,4.2,81.9,4.1,3.4,2.4,0.6,2.1,1,0
Rik Smits,C,52,29.2,17.1,6.8,14.1,48.6,0.0,0.2,25.0,3.3,4.2,79.7,6.9,1.3,0.4,1.1,2.4,12,0
Kevin Garnett,PF,77,38.9,17.0,7.1,14.3,49.9,0.1,0.3,28.6,2.7,3.5,75.4,8.0,3.1,1.4,2.1,2.3,19,0
David Wesley,SG,74,40.4,16.8,6.2,13.2,46.8,1.4,3.9,36.0,3.0,3.9,78.1,3.6,7.3,2.2,0.2,2.9,15,0
Detlef Schrempf,F,61,35.9,16.8,5.8,11.9,49.2,0.9,2.6,35.4,4.1,5.2,80.1,6.5,4.4,1.0,0.3,2.5,6,0
Dale Ellis,G,82,35.9,16.6,5.8,14.0,41.4,2.3,6.4,36.4,2.6,3.2,81.7,3.6,2.0,0.7,0.1,1.8,1,0
