Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Samuel Dalembert,C,32,17.0,4.0,1.8,4.1,43.8,0.0,0.0,0.0,0.4,0.6,70.0,5.3,0.9,0.4,1.3,1.2,1,0
Luke Ridnour,PG,47,14.5,4.0,1.6,3.7,42.6,0.4,1.3,31.7,0.4,0.4,85.7,1.4,2.0,0.4,0.1,0.8,0,0
Shannon Brown,PG,5,17.8,4.0,1.4,3.8,36.8,0.6,1.4,42.9,0.6,0.8,75.0,0.2,0.6,0.8,0.0,0.8,0,0
Glen Davis,PF,74,12.2,4.0,1.6,3.4,45.9,0.0,0.1,0.0,0.8,1.3,63.2,2.3,0.5,0.6,0.3,0.5,0,0
Garrett Temple,SF,52,14.2,3.9,1.3,3.3,40.0,0.6,1.7,37.5,0.7,0.9,72.9,1.7,1.1,0.8,0.2,0.7,0,0
Travis Wear,F,51,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,2.1,0.8,0.3,0.2,0.7,0,0
Joffrey Lauvergne,F,24,11.2,3.9,1.5,3.7,40.4,0.1,0.7,18.8,0.8,1.2,64.3,3.2,0.5,0.3,0.4,0.9,0,0
Larry Drew II,G,12,18.3,3.8,1.7,4.8,34.5,0.3,2.2,15.4,0.2,0.3,66.7,1.3,3.8,0.5,0.0,2.1,0,0
Austin Daye,SF,34,10.1,3.8,1.5,4.1,35.5,0.7,2.1,33.8,0.1,0.2,83.3,2.2,0.5,0.4,0.1,0.7,2,0
Reggie Evans,C,47,16.3,3.7,1.2,2.9,42.3,0.0,0.0,0.0,1.3,2.1,61.9,6.4,0.7,0.5,0.1,1.0,2,0
Troy Daniels,G,47,8.4,3.7,1.3,3.5,37.0,0.9,2.5,36.4,0.2,0.3,84.6,0.7,0.5,0.1,0.0,0.4,0,0
Hedo Turkoglu,SF,62,11.4,3.7,1.3,3.0,44.1,1.0,2.2,43.2,0.1,0.2,54.5,1.6,0.6,0.3,0.1,0.5,0,0
Raymond Felton,G,29,9.7,3.7,1.5,3.7,40.6,0.3,1.2,29.4,0.4,0.5,80.0,0.9,1.4,0.4,0.1,0.6,0,0
Matt Bonner,C,72,13.0,3.7,1.3,3.2,40.9,0.6,1.8,36.5,0.4,0.5,81.1,1.6,0.7,0.1,0.2,0.2,0,0
Tyler Ennis,G,33,12.5,3.7,1.6,4.4,36.1,0.4,1.3,27.9,0.2,0.2,71.4,1.1,2.2,0.5,0.2,1.3,0,0
Dewayne Dedmon,C,59,14.3,3.7,1.5,2.7,56.2,0.0,0.0,0.0,0.6,1.1,53.1,5.0,0.2,0.3,0.8,0.9,2,0
Cory Jefferson,F,50,10.6,3.7,1.5,3.3,44.9,0.0,0.3,13.3,0.6,1.1,57.4,2.9,0.3,0.2,0.4,0.4,1,0
Tyler Hansbrough,PF,74,14.3,3.6,1.2,2.2,52.1,0.0,0.1,14.3,1.3,1.9,69.8,3.6,0.3,0.4,0.2,0.3,2,0
Kendrick Perkins,C,68,16.9,3.6,1.5,3.3,44.9,0.0,0.0,0.0,0.6,1.2,50.6,4.7,0.8,0.2,0.6,1.4,0,0
Lester Hudson,SG,5,11.2,3.6,1.2,2.8,42.9,0.6,1.2,50.0,0.6,0.8,75.0,1.6,1.0,1.2,0.2,0.6,0,0
Jimmer Fredette,G,50,10.2,3.6,1.3,3.3,38.0,0.2,1.0,18.8,0.9,0.9,95.6,0.8,1.2,0.3,0.0,0.7,0,0
Phil Pressey,PG,50,12.0,3.5,1.3,3.5,36.8,0.3,1.3,24.6,0.7,1.0,67.3,1.6,2.3,0.6,0.1,0.8,1,0
Jeff Adrien,F,17,12.6,3.5,1.1,2.6,43.2,0.0,0.0,0.0,1.3,2.2,57.9,4.5,0.9,0.2,0.5,0.5,0,0
Joel Freeland,C,48,12.9,3.5,1.5,3.1,49.0,0.0,0.0,0.0,0.4,0.5,84.0,4.0,0.3,0.2,0.5,0.5,1,0
Maurice Harkless,SF,45,15.0,3.5,1.4,3.5,39.9,0.2,1.2,17.9,0.5,0.9,53.7,2.4,0.6,0.7,0.2,0.6,0,0
Gary Harris,SG,55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,1.2,0.5,0.7,0.1,0.7,0,0
Andre Roberson,F,67,19.2,3.4,1.4,3.0,45.8,0.3,1.3,24.7,0.3,0.7,47.9,3.8,1.0,0.8,0.4,0.7,1,0
Erick Green,PG,43,9.5,3.4,1.4,3.8,37.7,0.3,1.1,29.8,0.2,0.3,83.3,0.7,0.9,0.3,0.0,0.3,0,0
James Young,G,31,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,1.4,0.4,0.3,0.1,0.2,0,0
Jason Maxiell,PF,61,14.4,3.3,1.3,3.1,42.2,0.0,0.0,0.0,0.7,1.2,57.7,3.3,0.3,0.3,0.7,0.5,0,0
