Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Allen Iverson,SG,75,42.3,30.7,10.3,24.2,42.4,1.4,4.5,30.8,8.7,10.5,83.5,4.0,7.9,2.4,0.1,4.6,24,0
Kobe Bryant,SF,66,40.7,27.6,8.7,20.1,43.3,2.0,5.9,33.9,8.2,10.1,81.6,5.9,6.0,1.3,0.8,4.1,18,5
LeBron James,SF,80,42.4,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6.0,8.0,75.0,7.4,7.2,2.2,0.7,3.3,25,4
Dirk Nowitzki,F,78,38.7,26.1,8.5,18.5,45.9,1.2,2.9,39.9,7.9,9.1,86.9,9.7,3.1,1.2,1.5,2.3,37,0
Amar'e Stoudemire,C,80,36.1,26.0,9.3,16.7,55.9,0.0,0.2,18.8,7.3,9.9,73.3,8.9,1.6,1.0,1.6,2.4,27,0
Tracy McGrady,SG,78,40.8,25.7,9.2,21.3,43.1,1.8,5.6,32.6,5.5,7.1,77.4,6.2,5.7,1.7,0.7,2.6,13,0
Gilbert Arenas,PG,80,40.9,25.5,8.2,19.0,43.1,2.6,7.0,36.5,6.5,8.0,81.4,4.7,5.1,1.7,0.3,3.0,2,0
Metta World Peace,SF,7,41.6,24.6,8.4,17.0,49.6,1.0,2.4,41.2,6.7,7.3,92.2,6.4,3.1,1.7,0.9,2.4,0,0
Vince Carter,G,77,36.7,24.5,9.0,20.0,45.2,1.6,4.1,40.6,4.8,6.0,79.8,5.2,4.2,1.4,0.6,2.2,7,0
Jermaine O'Neal,C,44,34.8,24.3,8.8,19.4,45.2,0.0,0.1,16.7,6.7,8.9,75.4,8.8,1.9,0.6,2.0,3.0,17,0
Dwyane Wade,G,77,38.6,24.1,8.2,17.1,47.8,0.2,0.6,28.9,7.5,9.9,76.2,5.2,6.8,1.6,1.1,4.2,16,1
Ray Allen,SG,78,39.3,23.9,8.2,19.2,42.8,2.7,7.1,37.6,4.8,5.5,88.3,4.4,3.7,1.1,0.1,2.2,1,0
Michael Redd,SG,75,38.0,23.0,8.3,18.9,44.1,1.4,3.9,35.5,4.9,5.8,85.4,4.2,2.3,0.8,0.1,1.8,1,0
Shaquille O'Neal,C,73,34.1,22.9,9.0,15.0,60.1,0.0,0.0,0.0,4.8,10.5,46.1,10.4,2.7,0.5,2.3,2.8,43,0
Richard Jefferson,F,33,41.1,22.2,7.2,17.1,42.2,0.9,2.7,33.7,6.9,8.2,84.4,7.3,4.0,1.0,0.5,4.0,9,0
Corey Maggette,SF,66,36.9,22.2,6.4,14.9,43.1,0.8,2.5,30.4,8.5,10.0,85.7,6.0,3.4,1.1,0.1,3.0,10,0
