Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Shaquille O'Neal,C,79,37.0,29.3,11.8,20.2,58.3,0.0,0.1,0.0,5.8,10.8,53.3,11.4,2.7,0.9,2.4,2.6,55,0
Hakeem Olajuwon,C,72,39.6,27.8,11.1,21.5,51.7,0.0,0.2,18.8,5.6,7.5,75.6,10.8,3.5,1.8,3.4,3.3,45,1
David Robinson,C,81,38.0,27.6,9.7,18.4,53.0,0.1,0.2,30.0,8.1,10.5,77.4,10.8,2.9,1.7,3.2,2.9,51,0
Michael Jordan,G,17,39.3,26.9,9.8,23.8,41.1,0.9,1.9,50.0,6.4,8.0,80.1,6.9,5.3,1.8,0.8,2.1,4,0
Karl Malone,PF,82,38.1,26.7,10.1,18.9,53.6,0.1,0.5,26.8,6.3,8.5,74.2,10.6,3.5,1.6,1.0,2.9,52,0
Jim Jackson,SF,51,38.9,25.7,9.5,20.1,47.2,0.7,2.2,31.8,6.0,7.5,80.5,5.1,3.7,0.5,0.2,3.1,3,0
Jamal Mashburn,SF,80,37.3,24.1,8.5,19.6,43.6,1.4,4.3,32.8,5.6,7.6,73.9,4.1,3.7,1.0,0.1,2.9,4,0
Patrick Ewing,C,79,37.0,23.9,9.2,18.4,50.3,0.1,0.3,28.6,5.3,7.1,75.0,11.0,2.7,0.9,2.0,3.2,44,0
Charles Barkley,F,68,35.0,23.0,8.1,16.8,48.6,1.1,3.2,33.8,5.6,7.5,74.8,11.1,4.1,1.6,0.7,2.2,41,0
Mitch Richmond,G,82,38.7,22.8,8.1,18.3,44.6,1.9,5.2,36.8,4.6,5.4,84.3,4.4,3.8,1.1,0.4,2.9,0,0
Glen Rice,SF,82,36.8,22.3,8.1,17.1,47.5,2.3,5.5,41.0,3.8,4.5,85.5,4.6,2.3,1.4,0.2,1.9,0,0
Glenn Robinson,SF,80,37.0,21.9,8.0,17.6,45.1,1.1,3.4,32.1,5.0,6.2,79.6,6.4,2.5,1.4,0.3,3.9,9,0
Clyde Drexler,G,76,35.9,21.8,7.5,16.3,46.1,1.9,5.4,36.0,4.8,5.8,82.4,6.3,4.8,1.8,0.6,2.4,8,1
Cedric Ceballos,F,58,35.0,21.7,8.6,16.8,50.9,1.0,2.5,39.7,3.6,5.0,71.6,8.0,1.8,1.0,0.3,2.5,19,0
