Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
LeBron James,SF,75,40.4,30.0,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,7.9,7.2,1.8,1.1,3.4,31,7
Kobe Bryant,SF,82,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9.0,84.0,6.3,5.4,1.8,0.5,3.1,20,0
Allen Iverson,SG,82,41.8,26.4,8.7,19.0,45.8,1.2,3.4,34.5,7.9,9.7,80.9,3.0,7.1,2.0,0.1,3.0,15,0
Carmelo Anthony,PF,77,36.4,25.7,9.5,19.2,49.2,0.8,2.1,35.4,6.0,7.7,78.6,7.4,3.4,1.3,0.5,3.3,22,0
Amar'e Stoudemire,C,79,33.9,25.2,9.0,15.3,59.0,0.1,0.4,16.1,7.0,8.7,80.5,9.1,1.5,0.8,2.1,2.2,36,0
Dwyane Wade,G,51,38.3,24.6,8.6,18.4,46.9,0.4,1.5,28.6,6.9,9.2,75.8,4.2,6.9,1.7,0.7,4.4,9,0
Kevin Martin,SG,61,36.3,23.7,6.8,15.0,45.6,1.8,4.4,40.2,8.2,9.5,86.9,4.5,2.1,1.0,0.1,2.1,2,0
Dirk Nowitzki,F,77,36.0,23.6,8.2,17.1,47.9,1.0,2.9,35.9,6.2,7.1,87.9,8.6,3.5,0.7,0.9,2.1,25,1
Michael Redd,SG,72,37.5,22.7,7.6,17.3,44.2,1.8,5.0,36.2,5.6,6.8,82.0,4.3,3.4,0.9,0.2,2.5,2,0
Richard Jefferson,F,82,39.0,22.6,7.5,16.2,46.6,0.9,2.6,36.2,6.6,8.3,79.8,4.2,3.1,0.9,0.3,2.4,2,0
Chris Bosh,PF,67,36.2,22.3,7.6,15.3,49.4,0.1,0.4,40.0,7.0,8.3,84.4,8.7,2.6,0.9,1.0,2.3,28,0
Corey Maggette,SF,70,35.7,22.1,6.5,14.3,45.8,1.1,2.9,38.4,7.9,9.7,81.2,5.6,2.7,1.0,0.1,2.8,6,0
Yao Ming,C,55,37.2,22.0,7.9,15.5,50.7,0.0,0.0,0.0,6.3,7.4,85.0,10.8,2.3,0.5,2.0,3.3,33,0
Baron Davis,PG,82,39.0,21.8,7.9,18.6,42.6,2.1,6.4,33.0,3.9,5.2,75.0,4.7,7.6,2.3,0.5,2.8,18,3
Jason Richardson,SG,82,38.4,21.8,7.9,17.9,44.1,3.0,7.3,40.6,3.0,4.0,75.2,5.4,3.1,1.4,0.7,2.0,5,0
