Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Allen Iverson,SG,48,41.5,26.8,9.1,22.0,41.2,1.2,4.1,29.1,7.4,9.9,75.1,4.9,4.6,2.3,0.1,3.5,4,0
Shaquille O'Neal,C,49,34.8,26.3,10.4,18.1,57.6,0.0,0.0,0.0,5.5,10.2,54.0,10.7,2.3,0.7,1.7,2.5,30,0
Karl Malone,PF,49,37.4,23.8,8.0,16.3,49.3,0.0,0.0,0.0,7.7,9.8,78.8,9.4,4.1,1.3,0.6,3.3,21,1
Shareef Abdur-Rahim,PF,50,40.4,23.0,7.7,17.9,43.2,0.2,0.7,30.6,7.4,8.8,84.1,7.5,3.4,1.4,1.1,3.7,11,0
Keith Van Horn,PF,42,37.5,21.8,7.7,17.9,42.8,0.4,1.3,30.2,6.1,7.1,85.9,8.5,1.5,1.0,1.3,3.2,13,0
Tim Duncan,C,50,39.3,21.7,8.4,16.9,49.5,0.0,0.1,14.3,4.9,7.2,69.0,11.4,2.4,0.9,2.5,2.9,37,0
Gary Payton,PG,50,40.2,21.7,8.0,18.5,43.4,1.7,5.6,29.5,4.0,5.5,72.1,4.9,8.7,2.2,0.2,3.1,19,1
Stephon Marbury,PG,49,38.7,21.3,7.7,18.0,42.8,1.3,4.0,33.5,4.5,5.7,79.9,2.9,8.9,1.2,0.2,3.3,18,0
Antonio McDyess,PF,50,38.7,21.2,8.3,17.6,47.1,0.0,0.2,11.1,4.6,6.8,68.0,10.7,1.6,1.5,2.3,2.8,28,0
Grant Hill,SF,50,37.0,21.1,7.7,16.0,47.9,0.0,0.3,0.0,5.7,7.6,75.2,7.1,6.0,1.6,0.5,3.7,10,1
Kevin Garnett,PF,47,37.9,20.8,8.8,19.1,46.0,0.1,0.3,28.6,3.1,4.4,70.4,10.4,4.3,1.7,1.8,2.9,25,0
Shawn Kemp,C,42,35.1,20.5,6.6,13.7,48.2,0.0,0.0,50.0,7.3,9.3,78.9,9.2,2.4,1.1,1.1,3.0,20,0
Michael Finley,SG,50,41.0,20.2,7.8,17.5,44.4,0.9,2.7,33.1,3.7,4.5,82.3,5.3,4.4,1.3,0.3,2.1,6,0
Alonzo Mourning,C,46,38.1,20.1,7.0,13.8,51.1,0.0,0.0,0.0,6.0,9.2,65.2,11.0,1.6,0.7,3.9,3.0,29,0
Chris Webber,C,42,40.9,20.0,9.0,18.5,48.6,0.1,0.8,11.8,1.9,4.1,45.4,13.0,4.1,1.4,2.1,3.5,36,1
Kobe Bryant,SF,50,37.9,19.9,7.2,15.6,46.5,0.5,2.0,26.7,4.9,5.8,83.9,5.3,3.8,1.4,1.0,3.1,9,0
Mitch Richmond,G,50,38.2,19.7,6.6,16.1,41.2,1.4,4.4,31.7,5.0,5.9,85.7,3.4,2.4,1.3,0.2,2.7,1,0
Hakeem Olajuwon,C,50,35.7,18.9,7.5,14.5,51.4,0.1,0.3,30.8,3.9,5.4,71.7,9.6,1.8,1.6,2.5,2.8,25,0
Toni Kukoc,SF,44,37.6,18.8,7.2,17.0,42.0,0.9,3.1,28.5,3.6,4.9,74.0,7.0,5.3,1.1,0.3,2.8,12,0
Antoine Walker,PF,42,36.9,18.7,7.2,17.5,41.2,1.5,4.2,36.9,2.7,4.8,55.9,8.5,3.1,1.5,0.7,2.8,14,0
