Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Kevin Durant,PF,78,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35.0,7.6,8.7,88.0,6.8,2.7,1.1,1.0,2.8,14,0
LeBron James,SF,79,38.8,26.7,9.6,18.8,51.0,1.2,3.5,33.0,6.4,8.4,75.9,7.5,7.0,1.6,0.6,3.6,31,4
Carmelo Anthony,PF,77,35.7,25.6,8.9,19.5,45.5,1.2,3.3,37.8,6.6,7.9,83.8,7.3,2.9,0.9,0.6,2.7,18,0
Dwyane Wade,G,76,37.1,25.5,9.1,18.2,50.0,0.8,2.7,30.6,6.5,8.6,75.8,6.4,4.6,1.5,1.1,3.1,10,1
Kobe Bryant,SF,82,33.9,25.3,9.0,20.0,45.1,1.4,4.3,32.3,5.9,7.1,82.8,5.1,4.7,1.2,0.1,3.0,9,1
Amar'e Stoudemire,C,78,36.8,25.3,9.5,19.0,50.2,0.1,0.3,43.5,6.1,7.7,79.2,8.2,2.6,0.9,1.9,3.2,26,0
Derrick Rose,PG,81,37.4,25.0,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,4.1,7.7,1.0,0.6,3.4,23,1
Monta Ellis,SG,80,40.3,24.1,9.1,20.1,45.1,1.7,4.7,36.1,4.3,5.4,78.9,3.5,5.6,2.1,0.3,3.2,10,0
Kevin Martin,SG,80,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,3.2,2.5,1.0,0.2,2.3,0,0
Dirk Nowitzki,F,73,34.3,23.0,8.4,16.2,51.7,0.9,2.3,39.3,5.4,6.1,89.2,7.0,2.6,0.5,0.6,1.9,16,0
Dwight Howard,C,78,37.6,22.9,7.9,13.4,59.3,0.0,0.1,0.0,7.0,11.7,59.6,14.1,1.4,1.4,2.4,3.6,66,0
Blake Griffin,PF,82,38.0,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,12.1,3.8,0.8,0.5,2.7,63,2
Eric Gordon,SG,56,37.7,22.3,7.6,16.9,45.0,1.9,5.2,36.4,5.1,6.2,82.5,2.9,4.4,1.3,0.3,2.7,1,0
Russell Westbrook,PG,82,34.7,21.9,7.5,17.0,44.2,0.4,1.3,33.0,6.5,7.7,84.2,4.6,8.2,1.9,0.4,3.9,31,3
LaMarcus Aldridge,C,81,39.6,21.8,8.7,17.5,50.0,0.0,0.3,17.4,4.3,5.5,79.1,8.8,2.1,1.0,1.2,1.9,36,0
Andrea Bargnani,C,66,35.7,21.4,8.0,17.8,44.8,1.2,3.4,34.5,4.3,5.3,82.0,5.2,1.8,0.5,0.7,2.3,2,0
Danny Granger,SF,79,35.0,20.5,6.8,15.9,42.5,2.0,5.2,38.6,5.0,5.9,84.8,5.4,2.6,1.1,0.8,2.6,5,0
Brook Lopez,C,82,35.2,20.4,7.9,16.0,49.2,0.0,0.0,0.0,4.7,6.0,78.7,6.0,1.6,0.6,1.5,2.1,9,0
Kevin Love,PF,73,35.8,20.2,6.6,14.1,47.0,1.2,2.9,41.7,5.8,6.8,85.0,15.2,2.5,0.6,0.4,2.1,64,0
Deron Williams,PG,65,37.9,20.1,6.6,15.0,43.9,1.6,4.9,33.1,5.4,6.3,84.5,4.0,10.3,1.2,0.2,3.5,34,0
Zach Randolph,F,75,36.3,20.1,8.0,15.8,50.3,0.1,0.6,18.6,4.0,5.3,75.8,12.2,2.2,0.8,0.3,2.0,53,0
Rudy Gay,SF,54,39.9,19.8,7.6,16.1,47.1,1.1,2.7,39.6,3.6,4.5,80.5,6.2,2.8,1.7,1.1,2.5,4,0
Michael Beasley,F,73,32.3,19.2,7.7,17.1,45.0,0.8,2.2,36.6,3.0,4.0,75.3,5.6,2.2,0.7,0.7,2.7,8,0
Paul Pierce,SF,80,34.7,18.9,6.3,12.8,49.7,1.4,3.7,37.4,4.8,5.6,86.0,5.4,3.3,1.0,0.6,2.1,7,1
David West,F,70,35.0,18.9,7.5,14.9,50.8,0.0,0.1,22.2,3.8,4.7,80.7,7.6,2.3,1.0,0.9,2.0,16,0
Pau Gasol,PF,82,37.0,18.8,7.2,13.7,52.9,0.0,0.0,33.3,4.3,5.2,82.3,10.2,3.3,0.6,1.6,1.7,43,1
Chris Bosh,PF,77,36.3,18.7,6.8,13.7,49.6,0.1,0.3,24.0,5.0,6.1,81.5,8.3,1.9,0.8,0.6,1.8,28,0
Al Jefferson,C,82,35.9,18.6,8.0,16.1,49.6,0.0,0.0,0.0,2.7,3.5,76.1,9.7,1.8,0.6,1.9,1.3,37,0
Stephen Curry,PG,74,33.6,18.6,6.8,14.2,48.0,2.0,4.6,44.2,2.9,3.1,93.4,3.9,5.8,1.5,0.3,3.1,5,0
Stephen Jackson,SF,67,35.9,18.5,6.5,15.8,41.1,1.8,5.4,33.7,3.7,4.6,81.6,4.5,3.6,1.2,0.4,3.1,3,1
Luis Scola,F,74,32.6,18.3,7.7,15.3,50.4,0.0,0.0,0.0,2.9,3.9,73.8,8.2,2.5,0.6,0.6,2.0,19,0
Joe Johnson,G,72,35.5,18.2,7.1,16.1,44.3,1.2,4.2,29.7,2.7,3.4,80.2,4.0,4.7,0.7,0.1,2.0,2,0
Antawn Jamison,PF,56,32.9,18.0,6.7,15.6,42.7,1.6,4.7,34.6,3.1,4.2,73.1,6.7,1.7,0.9,0.5,1.4,10,0
Tyreke Evans,G,57,37.0,17.8,6.7,16.4,40.9,0.8,2.6,29.1,3.6,4.7,77.1,4.8,5.6,1.5,0.5,3.2,6,0
Tony Parker,G,78,32.4,17.5,7.1,13.7,51.9,0.3,0.9,35.7,3.0,3.9,76.9,3.1,6.6,1.2,0.0,2.6,9,0
Carlos Boozer,PF,59,31.9,17.5,7.3,14.3,51.0,0.0,0.0,0.0,2.9,4.1,70.1,9.6,2.5,0.8,0.3,2.5,30,0
Luol Deng,F,82,39.1,17.4,6.5,14.1,46.0,1.4,4.1,34.5,3.1,4.1,75.3,5.8,2.8,1.0,0.6,1.9,8,0
Nick Young,G,64,31.8,17.4,6.4,14.6,44.1,1.6,4.2,38.7,2.9,3.6,81.6,2.7,1.2,0.7,0.3,1.4,0,0
Manu Ginobili,G,80,30.3,17.4,5.5,12.7,43.3,1.9,5.5,34.9,4.5,5.1,87.1,3.7,4.9,1.5,0.4,2.2,0,0
Paul Millsap,PF,76,34.3,17.3,6.9,13.0,53.1,0.1,0.3,39.1,3.4,4.4,75.7,7.6,2.5,1.4,0.9,1.9,19,0
DeMar DeRozan,SF,82,34.8,17.2,6.6,14.1,46.7,0.1,0.6,9.6,4.0,4.9,81.3,3.8,1.8,1.0,0.4,1.8,1,0
Andray Blatche,C,64,33.9,16.8,6.7,15.0,44.5,0.1,0.3,22.2,3.4,4.4,77.7,8.2,2.3,1.5,0.8,2.7,17,0
Chauncey Billups,PG,72,32.1,16.8,4.7,11.0,42.7,2.0,5.0,40.2,5.3,5.8,91.6,2.6,5.4,1.0,0.2,2.5,2,0
