Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Kevin Durant,PF,66,38.6,28.0,9.7,19.7,49.6,2.0,5.2,38.7,6.5,7.6,86.0,8.0,3.5,1.3,1.2,3.8,18,0
Kobe Bryant,SF,58,38.5,27.9,9.9,23.0,43.0,1.5,4.9,30.3,6.6,7.8,84.5,5.4,4.6,1.2,0.3,3.5,3,0
LeBron James,SF,62,37.5,27.1,10.0,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,7.9,6.2,1.9,0.8,3.4,23,0
Kevin Love,PF,55,39.0,26.0,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,13.3,2.0,0.9,0.5,2.3,48,0
Russell Westbrook,PG,66,35.3,23.6,8.8,19.2,45.7,0.9,3.0,31.6,5.2,6.3,82.3,4.6,5.5,1.7,0.3,3.6,7,0
Carmelo Anthony,PF,55,34.1,22.6,8.0,18.6,43.0,1.2,3.7,33.5,5.4,6.7,80.4,6.3,3.6,1.1,0.4,2.6,8,1
Dwyane Wade,G,49,33.2,22.1,8.5,17.1,49.7,0.3,1.1,26.8,4.8,6.1,79.1,4.8,4.6,1.7,1.3,2.6,4,0
LaMarcus Aldridge,C,55,36.3,21.7,8.8,17.1,51.2,0.0,0.2,18.2,4.1,5.0,81.4,8.0,2.4,0.9,0.8,2.0,13,0
Dirk Nowitzki,F,62,33.5,21.6,7.6,16.7,45.7,1.3,3.4,36.8,5.1,5.7,89.6,6.8,2.2,0.7,0.5,1.9,11,0
Deron Williams,PG,55,36.3,21.0,7.1,17.5,40.7,2.1,6.2,33.6,4.7,5.5,84.3,3.3,8.7,1.2,0.4,4.0,22,0
Blake Griffin,PF,66,36.2,20.7,8.5,15.5,54.9,0.0,0.2,12.5,3.7,7.1,52.1,10.9,3.2,0.8,0.7,2.3,41,0
Dwight Howard,C,54,38.3,20.6,7.7,13.4,57.3,0.0,0.1,0.0,5.2,10.6,49.1,14.5,1.9,1.5,2.1,3.2,43,0
Monta Ellis,SG,58,36.6,20.4,7.8,17.9,43.3,1.1,3.5,30.8,3.8,4.7,79.6,3.4,6.0,1.5,0.3,3.1,5,0
David Lee,PF,57,37.2,20.1,8.1,16.2,50.3,0.0,0.1,0.0,3.8,4.9,78.2,9.6,2.8,0.9,0.4,2.6,27,1
Chris Paul,PG,60,36.4,19.8,7.1,14.8,47.8,1.3,3.6,37.1,4.3,5.0,86.1,3.6,9.1,2.5,0.1,2.1,23,0
Paul Pierce,SF,61,34.0,19.4,6.5,14.6,44.3,1.6,4.5,36.6,4.8,5.6,85.2,5.2,4.5,1.1,0.4,2.8,6,0
Al Jefferson,C,61,34.0,19.2,8.5,17.2,49.2,0.0,0.1,25.0,2.2,2.9,77.4,9.6,2.2,0.8,1.7,1.0,31,0
Brandon Jennings,G,66,35.3,19.1,7.1,17.0,41.8,2.0,5.9,33.2,2.9,3.6,80.8,3.4,5.5,1.6,0.3,2.2,6,0
Rudy Gay,SF,65,37.3,19.0,7.5,16.4,45.5,0.8,2.7,31.2,3.2,4.0,79.1,6.4,2.3,1.5,0.8,2.5,8,0
Joe Johnson,G,60,35.5,18.8,7.1,15.5,45.4,2.1,5.4,38.8,2.6,3.1,84.9,3.7,3.9,0.8,0.2,1.9,0,0
Josh Smith,PF,66,35.3,18.8,7.6,16.7,45.8,0.4,1.7,25.7,3.1,4.9,63.0,9.6,3.9,1.4,1.7,2.5,28,0
Andrew Bynum,C,60,35.2,18.7,7.4,13.3,55.8,0.0,0.1,20.0,3.9,5.6,69.2,11.8,1.4,0.5,1.9,2.5,37,0
Danny Granger,SF,62,33.3,18.7,6.3,15.2,41.6,2.0,5.2,38.1,4.1,4.7,87.3,5.0,1.8,1.0,0.6,1.8,0,0
Marcus Thornton,SG,51,34.9,18.7,6.9,15.7,43.8,2.1,6.1,34.5,2.8,3.2,86.5,3.7,1.9,1.4,0.2,1.6,1,0
