Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Shaquille O'Neal,C,79,40.0,29.7,12.1,21.1,57.4,0.0,0.0,0.0,5.5,10.4,52.4,13.6,3.8,0.5,3.0,2.8,62,0
Allen Iverson,SG,70,40.8,28.4,10.4,24.8,42.1,1.3,3.7,34.1,6.3,8.9,71.3,3.8,4.7,2.1,0.1,3.3,1,0
Grant Hill,SF,74,37.5,25.8,9.4,19.2,48.9,0.5,1.3,34.7,6.5,8.2,79.5,6.6,5.2,1.4,0.6,3.2,13,0
Vince Carter,G,82,38.1,25.7,9.6,20.7,46.5,1.2,2.9,40.3,5.3,6.7,79.1,5.8,3.9,1.3,1.1,2.2,9,1
Karl Malone,PF,82,35.9,25.5,9.2,18.0,50.9,0.0,0.1,25.0,7.2,9.0,79.7,9.5,3.7,1.0,0.9,2.8,43,0
Chris Webber,C,75,38.4,24.5,10.0,20.6,48.3,0.4,1.3,28.4,4.1,5.5,75.1,10.5,4.6,1.6,1.7,2.9,48,4
Gary Payton,PG,82,41.8,24.2,9.1,20.3,44.8,2.2,6.3,34.0,3.8,5.2,73.5,6.5,8.9,1.9,0.2,2.7,40,1
Jerry Stackhouse,SF,82,38.4,23.6,7.5,17.6,42.8,1.0,3.5,28.8,7.5,9.2,81.5,3.8,4.5,1.3,0.4,3.8,2,0
Tim Duncan,C,74,38.9,23.2,8.5,17.3,49.0,0.0,0.1,9.1,6.2,8.1,76.1,12.4,3.2,0.9,2.2,3.3,60,1
Kevin Garnett,PF,81,40.0,22.9,9.4,18.8,49.7,0.4,1.0,37.0,3.8,5.0,76.5,11.8,5.0,1.5,1.6,3.3,57,1
Michael Finley,SG,82,42.2,22.6,9.1,20.0,45.7,1.2,3.0,40.1,3.2,3.9,82.0,6.3,5.3,1.3,0.4,2.4,18,4
Kobe Bryant,SF,66,38.2,22.5,8.4,17.9,46.8,0.7,2.2,31.9,5.0,6.1,82.1,6.3,4.9,1.6,0.9,2.8,11,0
Stephon Marbury,PG,74,38.9,22.2,7.7,17.8,43.2,0.9,3.1,28.3,5.9,7.2,81.3,3.2,8.4,1.5,0.2,3.6,29,0
Ray Allen,SG,82,37.4,22.1,7.8,17.2,45.5,2.1,5.0,42.3,4.3,4.9,88.7,4.4,3.8,1.3,0.2,2.2,3,0
Alonzo Mourning,C,79,34.8,21.7,8.3,15.0,55.1,0.0,0.1,0.0,5.2,7.4,71.1,9.5,1.6,0.5,3.7,2.7,38,0
Glenn Robinson,SF,81,35.9,20.9,8.5,18.0,47.2,1.1,2.9,36.3,2.8,3.5,80.2,6.0,2.4,1.0,0.5,2.8,8,0
Antoine Walker,PF,82,36.6,20.5,7.9,18.4,43.0,0.9,3.5,25.6,3.8,5.4,69.9,8.0,3.7,1.4,0.4,3.2,23,1
Shareef Abdur-Rahim,PF,82,39.3,20.3,7.2,15.6,46.5,0.4,1.2,30.2,5.4,6.7,80.9,10.1,3.3,1.1,1.1,3.0,41,0
Elton Brand,PF,81,37.0,20.1,7.8,16.1,48.2,0.0,0.0,0.0,4.5,6.6,68.5,10.0,1.9,0.8,1.6,2.8,40,0
Eddie Jones,SG,72,39.0,20.1,6.6,15.5,42.7,1.8,4.7,37.5,5.0,5.8,86.4,4.8,4.2,2.7,0.7,2.2,1,0
Allan Houston,SG,82,38.6,19.7,7.5,15.5,48.3,1.3,3.0,43.6,3.4,4.1,83.8,3.3,2.7,0.8,0.2,2.3,0,0
Paul Pierce,SF,73,35.4,19.5,6.7,15.1,44.2,1.3,3.8,34.3,4.9,6.2,79.8,5.4,3.0,2.1,0.8,2.4,6,0
Isaiah Rider,G,60,34.7,19.3,7.5,17.9,41.9,0.9,3.0,31.1,3.4,4.3,78.5,4.3,3.7,0.7,0.1,2.8,1,0
Keith Van Horn,PF,80,34.8,19.2,7.0,15.7,44.5,1.1,2.9,36.8,4.2,4.9,84.7,8.5,2.0,0.8,0.8,3.1,30,0
