Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Kevin Durant,PF,81,38.5,32.0,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,7.4,5.5,1.3,0.7,3.5,27,3
Carmelo Anthony,PF,77,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6.0,7.0,84.8,8.1,3.1,1.2,0.7,2.6,22,0
LeBron James,SF,77,37.7,27.1,10.0,17.6,56.7,1.5,4.0,37.9,5.7,7.6,75.0,6.9,6.4,1.6,0.3,3.5,12,1
Kevin Love,PF,77,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,12.5,4.4,0.8,0.5,2.5,65,3
James Harden,SG,73,38.0,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,4.7,6.1,1.6,0.4,3.6,14,1
Blake Griffin,PF,80,35.8,24.1,9.0,17.0,52.8,0.2,0.6,27.3,6.0,8.4,71.5,9.5,3.9,1.2,0.6,2.8,43,1
Stephen Curry,PG,78,36.5,24.0,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,4.3,8.5,1.6,0.2,3.8,28,4
LaMarcus Aldridge,C,69,36.2,23.2,9.4,20.6,45.8,0.0,0.2,20.0,4.3,5.2,82.2,11.1,2.6,0.9,1.0,1.8,40,0
DeMarcus Cousins,C,71,32.4,22.7,8.3,16.8,49.6,0.0,0.1,0.0,6.1,8.4,72.6,11.7,2.9,1.5,1.3,3.5,53,0
DeMar DeRozan,SF,79,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8.0,82.4,4.3,4.0,1.1,0.4,2.2,2,0
Al Jefferson,C,73,35.0,21.8,9.6,18.8,50.9,0.0,0.2,20.0,2.6,3.8,69.0,10.8,2.1,0.9,1.1,1.7,42,0
Russell Westbrook,PG,46,30.7,21.8,7.5,17.2,43.7,1.5,4.7,31.8,5.3,6.4,82.6,5.7,6.9,1.9,0.2,3.8,11,2
Paul George,F,80,36.2,21.7,7.2,17.0,42.4,2.3,6.3,36.4,5.0,5.8,86.4,6.8,3.5,1.9,0.3,2.8,12,1
Dirk Nowitzki,F,80,32.9,21.7,7.9,15.9,49.7,1.6,4.1,39.8,4.2,4.7,89.9,6.2,2.7,0.9,0.6,1.5,6,0
Kyrie Irving,PG,71,35.2,20.8,7.5,17.4,43.0,1.7,4.8,35.8,4.1,4.8,86.1,3.6,6.1,1.5,0.3,2.7,7,1
