Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Kobe Bryant,SF,80,41.0,35.4,12.2,27.2,45.0,2.3,6.5,34.7,8.7,10.2,85.0,5.3,4.5,1.8,0.4,3.1,4,0
Allen Iverson,SG,72,43.1,33.0,11.3,25.3,44.7,1.0,3.1,32.3,9.4,11.5,81.4,3.2,7.4,1.9,0.1,3.4,18,0
LeBron James,SF,79,42.5,31.4,11.1,23.1,48.0,1.6,4.8,33.5,7.6,10.3,73.8,7.0,6.6,1.6,0.8,3.3,21,5
Gilbert Arenas,PG,80,42.3,29.3,9.3,20.9,44.7,2.5,6.8,36.9,8.2,10.0,82.0,3.5,6.1,2.0,0.3,3.7,9,0
Dwyane Wade,G,75,38.6,27.2,9.3,18.8,49.5,0.2,1.0,17.1,8.4,10.7,78.3,5.7,6.7,1.9,0.8,3.6,16,2
Paul Pierce,SF,79,39.0,26.8,8.7,18.5,47.1,1.4,4.0,35.4,7.9,10.3,77.2,6.7,4.7,1.4,0.4,3.5,17,1
Dirk Nowitzki,F,81,38.1,26.6,9.3,19.3,48.0,1.4,3.3,40.6,6.7,7.4,90.1,9.0,2.8,0.7,1.0,1.9,35,0
Carmelo Anthony,PF,80,36.8,26.5,9.5,19.7,48.1,0.5,1.9,24.3,7.2,8.9,80.8,4.9,2.7,1.1,0.5,2.7,6,0
Michael Redd,SG,80,39.1,25.4,8.5,19.0,45.0,2.0,5.2,39.5,6.3,7.1,87.7,4.3,2.9,1.2,0.1,2.1,0,0
Ray Allen,SG,78,38.7,25.1,8.7,19.2,45.4,3.4,8.4,41.2,4.2,4.6,90.3,4.3,3.7,1.3,0.2,2.4,1,0
Elton Brand,PF,79,39.2,24.7,9.6,18.2,52.7,0.0,0.0,33.3,5.6,7.2,77.5,10.0,2.6,1.0,2.5,2.2,45,0
Tracy McGrady,SG,47,37.1,24.4,8.7,21.5,40.6,1.6,5.0,31.2,5.4,7.2,74.7,6.5,4.8,1.3,0.9,2.6,6,0
Vince Carter,G,79,36.8,24.2,8.3,19.2,43.0,1.6,4.6,34.1,6.1,7.6,79.9,5.8,4.3,1.2,0.7,2.7,8,1
Jason Richardson,SG,75,38.4,23.2,8.5,19.2,44.6,2.4,6.4,38.4,3.7,5.5,67.3,5.8,3.1,1.3,0.5,2.2,5,0
Chris Bosh,PF,70,39.3,22.5,7.8,15.5,50.5,0.0,0.2,0.0,6.8,8.3,81.6,9.2,2.6,0.7,1.1,2.2,32,0
Yao Ming,C,57,34.2,22.3,8.2,15.8,51.9,0.0,0.0,0.0,5.9,6.9,85.3,10.2,1.5,0.5,1.6,2.6,34,0
Shawn Marion,SG,81,40.3,21.8,8.8,16.9,52.5,1.2,3.6,33.1,3.0,3.7,80.9,11.8,1.8,2.0,1.7,1.5,60,0
Kevin Garnett,PF,76,38.9,21.8,8.2,15.7,52.6,0.1,0.4,26.7,5.2,6.4,81.0,12.7,4.1,1.4,1.4,2.4,62,0
Mike Bibby,PG,82,38.6,21.1,7.3,16.9,43.2,2.3,6.1,38.6,4.2,4.9,84.9,2.9,5.4,1.0,0.1,2.4,8,0
