Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Joel Embiid,C,66,34.6,33.1,11.0,20.1,54.8,1.0,3.0,33.0,10.0,11.7,85.7,10.2,4.2,1.0,1.7,3.4,39,1
Luka Doncic,PG,66,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,8.6,8.0,1.4,0.5,3.6,36,10
Damian Lillard,PG,58,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,4.8,7.3,0.9,0.3,3.3,16,2
Shai Gilgeous-Alexander,PG,68,35.5,31.4,10.4,20.3,51.0,0.9,2.5,34.5,9.8,10.9,90.5,4.8,5.5,1.6,1.0,2.8,3,0
Giannis Antetokounmpo,PF,63,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,11.8,5.7,0.8,0.8,3.9,46,6
Jayson Tatum,SF,74,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35.0,7.2,8.4,85.4,8.8,4.6,1.1,0.7,2.9,31,1
Donovan Mitchell,SG,68,35.8,28.3,10.0,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,4.3,4.4,1.5,0.4,2.6,5,0
Kyrie Irving,PG,60,37.4,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,5.1,5.5,1.1,0.8,2.1,5,0
Jaylen Brown,SG,67,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,6.9,3.5,1.1,0.4,2.9,13,0
Trae Young,PG,73,34.8,26.2,8.2,19.0,43.0,2.1,6.3,33.5,7.8,8.8,88.6,3.0,10.2,1.1,0.1,4.1,40,0
Ja Morant,PG,61,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,5.9,8.1,1.1,0.3,3.4,20,7
Lauri Markkanen,PF,66,34.4,25.6,8.7,17.3,49.9,3.0,7.7,39.1,5.3,6.0,87.5,8.6,1.9,0.6,0.6,1.9,28,0
Julius Randle,PF,77,35.5,25.1,8.5,18.6,46.0,2.8,8.3,34.3,5.2,6.9,75.7,10.0,4.1,0.6,0.3,2.8,40,0
De'Aaron Fox,PG,73,33.4,25.0,9.3,18.2,51.2,1.6,5.0,32.4,4.7,6.0,78.0,4.2,6.1,1.1,0.3,2.5,11,0
Zach LaVine,SG,77,35.9,24.8,8.7,18.0,48.5,2.6,7.1,37.5,4.7,5.6,84.8,4.5,4.2,0.9,0.2,2.5,2,0
Anthony Edwards,SG,79,36.0,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4.0,5.3,75.6,5.8,4.4,1.6,0.7,3.3,9,0
DeMar DeRozan,SF,74,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,4.6,5.1,1.1,0.5,2.1,6,0
Nikola Jokic,C,69,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6.0,82.2,11.8,9.8,1.3,0.7,3.6,58,29
Pascal Siakam,PF,71,37.4,24.2,8.9,18.5,48.0,1.3,4.0,32.4,5.2,6.7,77.4,7.8,5.8,0.9,0.5,2.4,24,2
Jalen Brunson,PG,68,35.0,24.0,8.6,17.6,49.1,2.0,4.7,41.6,4.8,5.8,82.9,3.5,6.2,0.9,0.2,2.1,5,0
Kristaps Porzingis,C,65,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,8.4,2.7,0.9,1.5,2.1,20,0
Jimmy Butler III,SF,64,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35.0,7.4,8.7,85.0,5.9,5.3,1.8,0.3,1.6,11,0
Jalen Green,SG,76,34.2,22.1,7.4,17.9,41.7,2.5,7.3,33.8,4.8,6.1,78.6,3.7,3.7,0.8,0.2,2.6,0,0
Keldon Johnson,SF,63,32.7,22.0,8.0,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,5.0,2.9,0.7,0.2,2.1,5,0
Klay Thompson,SG,69,33.0,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,4.1,2.4,0.7,0.4,1.8,2,0
Darius Garland,PG,69,35.5,21.6,7.6,16.4,46.2,2.4,6.0,41.0,4.0,4.7,86.3,2.7,7.8,1.2,0.1,2.9,18,0
Bojan Bogdanovic,SF,59,32.1,21.6,7.3,14.9,48.8,2.5,6.0,41.1,4.5,5.1,88.4,3.8,2.6,0.6,0.1,2.3,0,0
Desmond Bane,SG,58,31.7,21.5,7.8,16.2,47.9,2.9,7.0,40.8,3.1,3.5,88.3,5.0,4.4,1.0,0.4,2.2,1,0
Kyle Kuzma,SF,64,35.0,21.2,8.0,17.8,44.8,2.5,7.5,33.3,2.7,3.7,73.0,7.2,3.7,0.6,0.5,3.0,14,1
Terry Rozier,SG,63,35.3,21.1,7.8,18.9,41.5,2.6,8.0,32.7,2.8,3.5,80.9,4.1,5.1,1.2,0.3,2.1,1,0
Anfernee Simons,SG,62,35.0,21.1,7.5,16.9,44.7,3.4,9.1,37.7,2.6,2.9,89.4,2.6,4.1,0.7,0.2,2.1,0,0
James Harden,SG,58,36.8,21.0,6.4,14.5,44.1,2.8,7.2,38.5,5.4,6.2,86.7,6.1,10.7,1.2,0.5,3.4,36,5
CJ McCollum,SG,75,35.3,20.9,7.8,17.9,43.7,2.8,7.2,38.9,2.4,3.2,76.9,4.4,5.7,0.9,0.5,2.4,6,0
Jordan Clarkson,PG,61,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4.0,81.6,4.0,4.4,0.5,0.2,3.0,3,0
Jerami Grant,SF,63,35.7,20.5,6.9,14.5,47.5,2.3,5.7,40.1,4.4,5.4,81.3,4.5,2.4,0.8,0.8,1.8,2,0
Dejounte Murray,SG,74,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,5.3,6.1,1.5,0.3,2.2,8,1
Jordan Poole,SG,82,30.0,20.4,6.7,15.6,43.0,2.6,7.8,33.6,4.4,5.1,87.0,2.7,4.5,0.8,0.3,3.1,1,0
Bam Adebayo,C,75,34.6,20.4,8.0,14.9,54.0,0.0,0.2,8.3,4.3,5.4,80.6,9.2,3.2,1.2,0.8,2.5,31,0
Tyrese Maxey,PG,60,33.6,20.3,7.3,15.2,48.1,2.7,6.2,43.4,3.0,3.6,84.5,2.9,3.5,0.8,0.1,1.3,0,0
Mikal Bridges,SF,83,35.7,20.1,7.1,15.3,46.8,2.0,5.3,38.2,3.8,4.3,89.5,4.4,3.3,1.1,0.7,1.5,2,0
Tyler Herro,PG,67,34.9,20.1,7.3,16.6,43.9,3.0,8.0,37.8,2.5,2.7,93.4,5.4,4.2,0.8,0.2,2.4,6,1
Jamal Murray,PG,65,32.8,20.0,7.3,16.0,45.4,2.6,6.6,39.8,2.8,3.3,83.3,4.0,6.2,1.0,0.2,2.2,5,1
Paolo Banchero,PF,72,33.8,20.0,6.7,15.6,42.7,1.2,4.0,29.8,5.5,7.4,73.8,6.9,3.7,0.8,0.5,2.8,14,0
RJ Barrett,SG,73,33.9,19.6,7.0,16.1,43.4,1.7,5.3,31.0,4.0,5.4,74.0,5.0,2.8,0.4,0.2,2.2,3,0
Fred VanVleet,PG,69,36.7,19.3,6.3,16.1,39.3,3.0,8.8,34.2,3.7,4.1,89.8,4.1,7.2,1.8,0.6,2.0,10,1
Jrue Holiday,PG,67,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,5.1,7.4,1.2,0.4,2.9,16,0
Kevin Porter Jr.,G,59,34.3,19.2,6.6,15.0,44.2,2.4,6.5,36.6,3.5,4.5,78.4,5.3,5.7,1.4,0.3,3.2,9,1
Domantas Sabonis,PF,79,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,12.3,7.3,0.8,0.5,2.9,65,14
Jaren Jackson Jr.,PF,63,28.4,18.6,6.6,13.0,50.6,1.6,4.5,35.5,3.8,4.9,78.8,6.8,1.0,1.0,3.0,1.7,7,0
Franz Wagner,SF,80,32.6,18.6,6.8,14.0,48.5,1.6,4.5,36.1,3.4,4.0,84.2,4.1,3.5,1.0,0.2,2.1,2,0
