Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2009-10,1,,Marco Rosa,MTB,27,F,80,22,33,55,32,5.0,8,0,2,0.275,0.413,0.688,198.0,11.1%
2009-10,2,,Sergei Shirokov,MTB,23,F,76,22,23,45,32,-1.0,5,1,1,0.289,0.303,0.592,158.0,13.9%
2009-10,3,,Guillaume Desbiens,MTB,24,F,67,19,15,34,144,-5.0,7,0,1,0.284,0.224,0.507,126.0,15.1%
2009-10,4,,Mike Keane,MTB,42,F,75,9,22,31,49,-1.0,0,2,2,0.12,0.293,0.413,106.0,8.5%
2009-10,5,,Matt Pettinger,MTB,29,F,54,14,16,30,31,-1.0,3,1,2,0.259,0.296,0.556,104.0,13.5%
2009-10,6,,Marty Murray,MTB,34,F,59,10,20,30,26,1.0,1,0,1,0.169,0.339,0.508,101.0,9.9%
2009-10,7,,Mario Bliznak,MTB,22,F,76,13,15,28,40,7.0,0,1,4,0.171,0.197,0.368,97.0,13.4%
2009-10,8,,Michael Grabner,MTB,22,F,38,15,11,26,6,-2.0,3,0,4,0.395,0.289,0.684,129.0,11.6%
2009-10,9,,Evan Oberg,MTB,21,D,70,3,23,26,64,-13.0,1,0,1,0.043,0.329,0.371,104.0,2.9%
2009-10,10,,Lawrence Nycholat,MTB,30,D,37,5,17,22,49,-2.0,1,0,2,0.135,0.459,0.595,74.0,6.8%
2009-10,11,,Brian Salcido,MTB,24,D,68,8,10,18,50,-11.0,5,0,0,0.118,0.147,0.265,108.0,7.4%
2009-10,12,,Travis Ramsey,MTB,26,D,80,2,14,16,87,0.0,0,0,0,0.025,0.175,0.2,96.0,2.1%
2009-10,13,,Dan Sexton,MTB,22,F,13,5,7,12,2,7.0,2,0,0,0.385,0.538,0.923,38.0,13.2%
2009-10,14,,Nolan Baumgartner,MTB,33,D,37,3,9,12,22,-9.0,1,0,1,0.081,0.243,0.324,62.0,4.8%
2009-10,15,,Eric Walsky,MTB,25,F,37,2,9,11,6,4.0,1,0,0,0.054,0.243,0.297,46.0,4.4%
2009-10,16,,Tom Maxwell,MTB,24,F,67,2,9,11,256,-10.0,0,0,0,0.03,0.134,0.164,45.0,4.4%
2009-10,17,,Jordan Schroeder,MTB,19,F,11,4,5,9,0,-1.0,3,0,2,0.364,0.455,0.818,17.0,23.5%
2009-10,18,,Matt Pope,MTB,25,F,40,3,5,8,23,-12.0,1,0,1,0.075,0.125,0.2,66.0,4.6%
2009-10,19,,Tom Galvin,MTB,30,D,30,0,8,8,24,13.0,0,0,0,0.0,0.267,0.267,30.0,0.0%
2009-10,20,,Aaron Rome,MTB,26,D,7,6,1,7,15,-1.0,4,0,3,0.857,0.143,1.0,24.0,25.0%
2009-10,21,,Mike Funk,MTB,23,D,19,1,6,7,14,-4.0,0,0,1,0.053,0.316,0.368,25.0,4.0%
2009-10,22,,Pierre-Cedric Labrie,MTB,23,F,45,5,1,6,69,-13.0,0,0,2,0.111,0.022,0.133,57.0,8.8%
2009-10,23,,Yan Stastny,MTB,27,F,16,2,4,6,18,-6.0,1,0,0,0.125,0.25,0.375,25.0,8.0%
2009-10,24,,Mathieu Schneider,MTB,40,D,8,3,2,5,8,-5.0,3,0,1,0.375,0.25,0.625,24.0,12.5%
2009-10,25,,Nathan McIver,MTB,24,D,44,1,4,5,109,-7.0,0,0,0,0.023,0.091,0.114,17.0,5.9%
2009-10,26,,Dusty Collins,MTB,24,F,70,2,2,4,93,-15.0,0,0,1,0.029,0.029,0.057,55.0,3.6%
2009-10,27,,Peter Olvecky,MTB,24,F,8,1,3,4,0,-2.0,0,0,0,0.125,0.375,0.5,11.0,9.1%
2009-10,28,,Taylor Ellington,MTB,21,D,19,1,3,4,9,-3.0,0,0,0,0.053,0.158,0.211,10.0,10.0%
2009-10,29,,Nicholas Boynton,MTB,30,D,9,0,4,4,4,-2.0,0,0,0,0.0,0.444,0.444,20.0,0.0%
2009-10,30,,Kevin Clark,MTB,22,F,9,2,1,3,6,1.0,0,0,0,0.222,0.111,0.333,13.0,15.4%
2009-10,31,,Alexandre Bolduc,MTB,24,F,13,2,1,3,20,-2.0,0,1,0,0.154,0.077,0.231,22.0,9.1%
2009-10,32,,Nikita Kashirsky,MTB,24,F,16,2,1,3,8,-8.0,0,0,0,0.125,0.063,0.188,17.0,11.8%
2009-10,33,,Cory Schneider,MTB,23,G,60,0,3,3,0,,0,0,0,0.0,0.05,0.05,,
2009-10,34,,Erik Christensen,MTB,26,F,6,2,0,2,0,2.0,0,0,0,0.333,0.0,0.333,14.0,14.3%
2009-10,35,,Aaron Volpatti,MTB,24,F,8,1,1,2,17,1.0,0,0,0,0.125,0.125,0.25,8.0,12.5%
2009-10,36,,Darryl Bootland,MTB,28,F,12,1,1,2,49,-1.0,0,0,0,0.083,0.083,0.167,10.0,10.0%
