Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2001-02,1,,Steve Kariya,MTB,24,F,67,25,37,62,48,0.0,9,0,1,0.373,0.552,0.925,179.0,14.0%
2001-02,2,,Andre Savage,MTB,26,F,76,35,26,61,115,14.0,12,0,4,0.461,0.342,0.803,182.0,19.2%
2001-02,3,,Ryan Ready,MTB,23,F,72,23,32,55,73,0.0,9,0,1,0.319,0.444,0.764,182.0,12.6%
2001-02,4,,Justin Kurtz,MTB,24,D,52,10,29,39,64,-10.0,6,0,1,0.192,0.558,0.75,122.0,8.2%
2001-02,5,,Jimmy Roy,MTB,26,F,73,16,22,38,167,22.0,0,4,3,0.219,0.301,0.521,122.0,13.1%
2001-02,6,,Brandon Reid,MTB,20,F,60,18,19,37,6,2.0,3,1,4,0.3,0.317,0.617,125.0,14.4%
2001-02,7,,Josh Holden,MTB,23,F,68,16,17,33,187,-1.0,6,2,2,0.235,0.25,0.485,165.0,9.7%
2001-02,8,,Jason Cipolla,MTB,29,F,67,12,21,33,58,-1.0,2,2,3,0.179,0.313,0.493,115.0,10.4%
2001-02,9,,Brad Leeb,MTB,22,F,60,17,15,32,45,-6.0,3,1,5,0.283,0.25,0.533,155.0,11.0%
2001-02,10,,Pat Kavanagh,MTB,22,F,70,13,19,32,100,4.0,1,1,5,0.186,0.271,0.457,117.0,11.1%
2001-02,11,,Brian Chapman,MTB,33,D,72,2,30,32,95,7.0,1,0,0,0.028,0.417,0.444,96.0,2.1%
2001-02,12,,Herbert Vasiljevs,MTB,25,F,31,12,14,26,10,6.0,1,0,3,0.387,0.452,0.839,81.0,14.8%
2001-02,13,,Bryan Allen,MTB,21,D,68,7,18,25,121,1.0,2,0,1,0.103,0.265,0.368,112.0,6.3%
2001-02,14,,Zenith Komarniski,MTB,23,D,77,5,20,25,153,0.0,0,1,0,0.065,0.26,0.325,150.0,3.3%
2001-02,15,,Bryan Helmer,MTB,29,D,34,6,18,24,69,18.0,1,1,1,0.176,0.529,0.706,76.0,7.9%
2001-02,16,,Todd Warriner,MTB,27,F,30,7,13,20,32,-6.0,1,0,0,0.233,0.433,0.667,101.0,6.9%
2001-02,17,,Justin Morrison,MTB,22,F,64,10,9,19,37,-7.0,0,0,1,0.156,0.141,0.297,85.0,11.8%
2001-02,18,,Artem Chubarov,MTB,22,F,19,7,12,19,4,8.0,3,1,1,0.368,0.632,1.0,55.0,12.7%
2001-02,19,,Mike Brown,MTB,22,F,31,7,9,16,155,1.0,0,0,1,0.226,0.29,0.516,47.0,14.9%
2001-02,20,,Rene Vydareny,MTB,20,D,61,3,11,14,15,18.0,0,0,0,0.049,0.18,0.23,52.0,5.8%
2001-02,21,,Darrell Hay,MTB,21,D,53,5,8,13,29,1.0,1,0,1,0.094,0.151,0.245,77.0,6.5%
2001-02,22,,Alexei Tezikov,MTB,23,D,28,5,6,11,16,-4.0,5,0,0,0.179,0.214,0.393,50.0,10.0%
2001-02,23,,Harold Druken,MTB,22,F,11,2,9,11,4,-5.0,0,0,0,0.182,0.818,1.0,16.0,12.5%
2001-02,24,,Tyler Bouck,MTB,21,F,20,4,4,8,25,-3.0,0,2,1,0.2,0.2,0.4,32.0,12.5%
2001-02,25,,Fedor Fedorov,MTB,20,F,8,2,1,3,6,3.0,1,0,0,0.25,0.125,0.375,8.0,25.0%
2001-02,26,,Denis Martynyuk,MTB,22,F,15,1,2,3,0,3.0,0,0,0,0.067,0.133,0.2,8.0,12.5%
2001-02,27,,Paul Cabana,MTB,23,F,4,0,1,1,4,1.0,0,0,0,0.0,0.25,0.25,4.0,0.0%
2001-02,28,,Ryan Bonni,MTB,22,D,11,0,1,1,33,-6.0,0,0,0,0.0,0.091,0.091,12.0,0.0%
2001-02,29,,Alex Auld,MTB,20,G,21,0,1,1,0,,0,0,0,0.0,0.048,0.048,,
2001-02,30,,Martin Brochu,MTB,28,G,29,0,1,1,2,,0,0,0,0.0,0.034,0.034,,
2001-02,31,,Alfie Michaud,MTB,25,G,32,0,1,1,7,,0,0,0,0.0,0.031,0.031,,
2001-02,32,,Regan Darby,MTB,21,D,39,0,1,1,196,-2.0,0,0,0,0.0,0.026,0.026,26.0,0.0%
2001-02,33,,Andrew Luciuk,MTB,24,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2001-02,34,,Kevin Swanson,MTB,21,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2001-02,35,,Jeff Salajko,MTB,26,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2001-02,36,,Nick Greenough,MTB,21,F,2,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2001-02,37,,Eric Fichaud,MTB,26,G,5,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2001-02,38,,Jeff Scissons,MTB,25,F,7,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
2001-02,39,,Jason Norrie,MTB,24,F,7,0,0,0,22,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
