Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2006-07,1,,Jason Jaffray,MTB,25,F,77,35,46,81,75,12.0,16,2,9,0.455,0.597,1.052,229.0,15.3%
2006-07,2,,Brad Moran,MTB,27,F,69,25,47,72,52,6.0,10,0,3,0.362,0.681,1.043,173.0,14.5%
2006-07,3,,Lee Goren,MTB,29,F,72,26,42,68,86,8.0,7,0,6,0.361,0.583,0.944,241.0,10.8%
2006-07,4,,Nathan Smith,MTB,24,F,72,19,21,40,76,-13.0,6,0,7,0.264,0.292,0.556,120.0,15.8%
2006-07,5,,Jesse Schultz,MTB,24,F,67,18,21,39,35,-7.0,5,0,2,0.269,0.313,0.582,123.0,14.6%
2006-07,6,,Jannik Hansen,MTB,20,F,72,12,22,34,38,3.0,4,1,2,0.167,0.306,0.472,124.0,9.7%
2006-07,7,,Yannick Tremblay,MTB,31,D,45,12,21,33,40,5.0,6,0,1,0.267,0.467,0.733,127.0,9.5%
2006-07,8,,Brandon Reid,MTB,25,F,53,15,17,32,19,-11.0,5,0,2,0.283,0.321,0.604,114.0,13.2%
2006-07,9,,Alexander Edler,MTB,20,D,49,5,21,26,28,9.0,1,1,0,0.102,0.429,0.531,74.0,6.8%
2006-07,10,,Mike Keane,MTB,39,F,74,8,17,25,46,5.0,1,1,2,0.108,0.23,0.338,84.0,9.5%
2006-07,11,,Prestin Ryan,MTB,26,D,58,5,16,21,125,-7.0,2,0,0,0.086,0.276,0.362,118.0,4.2%
2006-07,12,,Maxime Fortunus,MTB,23,D,72,2,18,20,64,-1.0,2,0,1,0.028,0.25,0.278,69.0,2.9%
2006-07,13,,J.J. Hunter,MTB,26,F,48,11,5,16,49,-3.0,2,0,0,0.229,0.104,0.333,110.0,10.0%
2006-07,14,,Dustin Wood,MTB,25,D,62,4,12,16,36,-1.0,1,0,1,0.065,0.194,0.258,59.0,6.8%
2006-07,15,,Colby Genoway,MTB,23,F,32,1,11,12,12,8.0,0,0,0,0.031,0.344,0.375,52.0,1.9%
2006-07,16,,Alexandre Bolduc,MTB,21,F,32,4,5,9,35,3.0,0,0,1,0.125,0.156,0.281,43.0,9.3%
2006-07,17,,Patrick Coulombe,MTB,21,D,44,3,6,9,22,-9.0,2,0,0,0.068,0.136,0.205,55.0,5.5%
