Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2002-03,1,,Brandon Reid,MTB,21,F,73,18,36,54,18,1.0,7,1,4,0.247,0.493,0.74,145.0,12.4%
2002-03,2,,Ryan Ready,MTB,24,F,68,24,26,50,52,1.0,11,1,2,0.353,0.382,0.735,199.0,12.1%
2002-03,3,,Jason King,MTB,21,F,67,20,20,40,15,3.0,5,0,3,0.299,0.299,0.597,151.0,13.3%
2002-03,4,,Justin Kurtz,MTB,25,D,71,11,29,40,65,-3.0,3,0,3,0.155,0.408,0.563,150.0,7.3%
2002-03,5,,Herbert Vasiljevs,MTB,26,F,69,10,29,39,30,-8.0,3,0,1,0.145,0.42,0.565,168.0,6.0%
2002-03,6,,Nolan Baumgartner,MTB,26,D,59,8,31,39,82,15.0,5,0,1,0.136,0.525,0.661,109.0,7.3%
2002-03,7,,Tyler Bouck,MTB,22,F,76,10,28,38,103,8.0,2,2,3,0.132,0.368,0.5,113.0,8.9%
2002-03,8,,Bryan Helmer,MTB,30,D,60,7,24,31,82,-10.0,5,0,1,0.117,0.4,0.517,147.0,4.8%
2002-03,9,,Pat Kavanagh,MTB,23,F,63,15,15,30,96,7.0,3,3,1,0.238,0.238,0.476,127.0,11.8%
2002-03,10,,Steve Kariya,MTB,25,F,38,14,14,28,18,-5.0,5,2,3,0.368,0.368,0.737,103.0,13.6%
2002-03,11,,Jeff Farkas,MTB,24,F,39,11,14,25,28,-4.0,7,0,2,0.282,0.359,0.641,113.0,9.7%
2002-03,12,,Zenith Komarniski,MTB,24,D,53,15,8,23,94,-6.0,2,1,1,0.283,0.151,0.434,127.0,11.8%
2002-03,13,,Fedor Fedorov,MTB,21,F,50,10,13,23,61,-4.0,3,1,3,0.2,0.26,0.46,98.0,10.2%
2002-03,14,,Jaroslav Obsut,MTB,26,D,60,6,13,19,59,5.0,3,0,2,0.1,0.217,0.317,93.0,6.5%
2002-03,15,,Nathan Smith,MTB,20,F,53,9,8,17,30,6.0,3,0,1,0.17,0.151,0.321,47.0,19.2%
2002-03,16,,Brian Chapman,MTB,34,D,60,3,14,17,65,6.0,0,0,0,0.05,0.233,0.283,65.0,4.6%
2002-03,17,,Justin Morrison,MTB,23,F,30,10,6,16,13,-3.0,5,0,1,0.333,0.2,0.533,54.0,18.5%
2002-03,18,,John Craighead,MTB,31,F,47,5,10,15,109,3.0,0,0,2,0.106,0.213,0.319,48.0,10.4%
2002-03,19,,Jimmy Roy,MTB,27,F,50,5,10,15,95,0.0,0,0,2,0.1,0.2,0.3,91.0,5.5%
2002-03,20,,Chris Nielsen,MTB,22,F,33,3,10,13,13,2.0,0,1,0,0.091,0.303,0.394,44.0,6.8%
2002-03,21,,Darrell Hay,MTB,22,D,43,3,10,13,29,3.0,1,0,0,0.07,0.233,0.302,66.0,4.6%
2002-03,22,,Chris Herperger,MTB,28,F,15,6,6,12,12,-8.0,1,0,1,0.4,0.4,0.8,39.0,15.4%
2002-03,23,,Mikko Jokela,MTB,22,D,32,3,7,10,17,0.0,1,0,0,0.094,0.219,0.313,43.0,7.0%
2002-03,24,,Rene Vydareny,MTB,21,D,71,2,8,10,46,-15.0,0,0,0,0.028,0.113,0.141,69.0,2.9%
2002-03,25,,Jason Goulet,MTB,27,F,23,1,2,3,2,1.0,0,0,0,0.043,0.087,0.13,14.0,7.1%
2002-03,26,,Mats Lindgren,MTB,28,F,4,0,1,1,6,-1.0,0,0,0,0.0,0.25,0.25,5.0,0.0%
2002-03,27,,Bryan Allen,MTB,22,D,7,0,1,1,4,3.0,0,0,0,0.0,0.143,0.143,16.0,0.0%
2002-03,28,,Tyler Moss,MTB,27,G,42,0,1,1,20,,0,0,0,0.0,0.024,0.024,,
2002-03,29,,Mike Minard,MTB,26,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2002-03,30,,Peter Skudra,MTB,29,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2002-03,31,,Tim Smith,MTB,21,F,3,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2002-03,32,,Jason Shmyr,MTB,27,F,4,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2002-03,33,,Andre Payette,MTB,26,F,8,0,0,0,67,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2002-03,34,,Denis Martynyuk,MTB,23,F,8,0,0,0,4,-1.0,0,0,0,0.0,0.0,0.0,8.0,0.0%
2002-03,35,,Chris St. Croix,MTB,23,D,10,0,0,0,12,0.0,0,0,0,0.0,0.0,0.0,10.0,0.0%
2002-03,36,,Regan Darby,MTB,22,D,10,0,0,0,30,-7.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2002-03,37,,Alex Auld,MTB,21,G,37,0,0,0,4,,0,0,0,0.0,0.0,0.0,,
