Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2017-18,1,,Mason Appleton,MTB,21,F,76,22,44,66,57,14,8,0,6,0.289,0.579,0.868,190,11.6%
2017-18,2,,Sami Niku,MTB,21,D,76,16,38,54,30,17,10,0,1,0.211,0.5,0.711,139,11.5%
2017-18,3,,Buddy Robinson,MTB,26,F,74,25,28,53,64,17,8,2,2,0.338,0.378,0.716,204,12.3%
2017-18,4,,Nic Petan,MTB,22,F,52,15,37,52,24,15,6,1,3,0.288,0.712,1.0,113,13.3%
2017-18,5,,Patrice Cormier,MTB,27,F,69,22,21,43,126,25,5,3,3,0.319,0.304,0.623,112,19.6%
2017-18,6,,Brendan Lemieux,MTB,21,F,51,19,24,43,170,10,6,1,2,0.373,0.471,0.843,152,12.5%
2017-18,7,,Michael Sgarbossa,MTB,25,F,68,16,24,40,88,8,2,0,0,0.235,0.353,0.588,100,16.0%
2017-18,8,,J.C. Lipon,MTB,24,F,68,17,21,38,103,12,2,0,6,0.25,0.309,0.559,138,12.3%
2017-18,9,,Michael Spacek,MTB,20,F,70,17,21,38,24,-6,10,0,2,0.243,0.3,0.543,111,15.3%
2017-18,10,,Jack Roslovic,MTB,20,F,32,15,20,35,8,16,2,1,3,0.469,0.625,1.094,78,19.2%
2017-18,11,,Chase de Leo,MTB,22,F,69,12,23,35,31,7,2,0,4,0.174,0.333,0.507,166,7.2%
2017-18,12,,Cameron Schilling,MTB,29,D,71,6,26,32,27,25,1,0,1,0.085,0.366,0.451,168,3.6%
2017-18,13,,Peter Stoykewych,MTB,25,D,70,9,18,27,44,28,1,0,0,0.129,0.257,0.386,119,7.6%
2017-18,14,,Brody Sutter,MTB,26,F,58,8,10,18,22,4,0,0,1,0.138,0.172,0.31,92,8.7%
2017-18,15,,Julian Melchiori,MTB,26,D,49,4,10,14,15,14,0,0,1,0.082,0.204,0.286,65,6.2%
2017-18,16,,Cam Maclise,MTB,25,F,67,7,6,13,24,3,0,2,2,0.104,0.09,0.194,77,9.1%
2017-18,17,,Jansen Harkins,MTB,20,F,46,2,11,13,17,6,0,0,0,0.043,0.239,0.283,37,5.4%
2017-18,18,,Kirill Gotovets,MTB,26,D,57,1,12,13,47,10,0,0,0,0.018,0.211,0.228,49,2.0%
2017-18,19,,Tucker Poolman,MTB,24,D,17,1,9,10,4,-2,0,0,0,0.059,0.529,0.588,38,2.6%
2017-18,20,,Francis Beauvillier,MTB,24,F,43,2,6,8,24,1,0,0,1,0.047,0.14,0.186,40,5.0%
2017-18,21,,Charles-David Beaudoin,MTB,23,D,36,1,7,8,25,6,0,0,0,0.028,0.194,0.222,31,3.2%
2017-18,22,,Jan Kostalek,MTB,22,D,37,6,1,7,16,5,0,0,0,0.162,0.027,0.189,53,11.3%
2017-18,23,,Kyle Connor,MTB,21,F,4,3,2,5,0,1,2,0,2,0.75,0.5,1.25,19,15.8%
2017-18,24,,Darren Kramer,MTB,26,F,26,3,0,3,47,2,0,0,0,0.115,0.0,0.115,20,15.0%
2017-18,25,,Jake Kulevich,MTB,24,D,33,0,3,3,15,9,0,0,0,0.0,0.091,0.091,29,0.0%
2017-18,26,,C.J. Suess,MTB,23,F,6,1,1,2,2,2,0,0,0,0.167,0.167,0.333,5,20.0%
2017-18,27,,Elgin Pearce,MTB,25,F,7,1,1,2,6,5,0,0,1,0.143,0.143,0.286,3,33.3%
2017-18,28,,Brett Welychka,MTB,23,F,8,1,1,2,2,-1,0,0,0,0.125,0.125,0.25,3,33.3%
2017-18,29,,Jimmy Lodge,MTB,22,F,6,0,1,1,2,-1,0,0,0,0.0,0.167,0.167,2,0.0%
2017-18,30,,Nelson Nogier,MTB,21,D,13,0,1,1,4,1,0,0,0,0.0,0.077,0.077,10,0.0%
2017-18,31,,Eric Comrie,MTB,22,G,34,0,1,1,0,0,0,0,0,0.0,0.029,0.029,0,0.00%
2017-18,32,,Steve Mason,MTB,29,G,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,33,,Mark Flood,MTB,33,D,1,0,0,0,2,-3,0,0,0,0.0,0.0,0.0,1,0.0%
2017-18,34,,Kale Kessy,MTB,25,F,1,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,35,,Jacob Cederholm,MTB,19,D,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0%
2017-18,36,,Matt Ustaski,MTB,23,F,1,0,0,0,0,-1,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,37,,Christopher Dienes,MTB,24,D,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,38,,Colton Phinney,MTB,24,G,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,39,,Justin Woods,MTB,23,D,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,40,,Garrett Meurs,MTB,24,F,3,0,0,0,0,1,0,0,0,0.0,0.0,0.0,6,0.0%
2017-18,41,,Jamie Phillips,MTB,24,G,16,0,0,0,17,0,0,0,0,0.0,0.0,0.0,0,0.00%
2017-18,42,,Michael Hutchinson,MTB,27,G,26,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0.00%
